Full_sesti,short_alias
CN4147,2POZ-015
CN4148,2POZ-015
CN4149,2POZ-001
CN4150,2POZ-002
CN4151,2POZ-002
CN4152,2POZ-002
CN4153,2POZ-014
CN4154,2POZ-013
CN4154A,2POZ-013
CN4155,2POZ-002
CN4156,2POZ-003
CN4156A,2POZ-003
CN4157,2POZ-003
CN4158,2POZ-004
CN4158A,2POZ-004
CN4159,2POZ-004
CN4160,2POZ-012
CN4160A,2POZ-012
CN4160B,2POZ-012
CN4160C,2POZ-012
CN4161,2POZ-011
CN4161B,2POZ-011
CN4162,2POZ-005
CN4163,2POZ-005
CN4164,2POZ-006
CN4165,2POZ-011
CN4165A,2POZ-010
CN4166,2POZ-010
CN4167,2POZ-006
CN4168,2POZ-006
CN4169,2POZ-009
CN4170,2POZ-009
CN4171,2POZ-007
CN4172,2POZ-007
CN4173,2POZ-007
CN4174,2POZ-008
CN4175,2POZ-008
