short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
2POZ-008,pt,10.41,1.35,147.37
2POZ-007,pt,0.0,1.35,129.19
2POZ-005,B,0.0,1.35,28.88
2POZ-006,B,10.37,1.45,113.77
2POZ-003,B,9.52,1.45,47.5
2POZ-016,C,14.13,1.35,204.5
2POZ-012,Ne,14.03,1.45,162.65
2POZ-009,C,0.0,0.95,219.99
2POZ-010,C,9999.0,1.45,896.41
2POZ-011,Bg,9999.0,1.45,1158.21
2POZ-013,Ne,10.72,1.45,245.67
2POZ-015,C,0.0,1.35,108.25
2POZ-014,A1,0.0,0.0,124.5
2POZ-004,B,10.58,1.45,163.11
2POZ-001,C,9999.0,0.95,459.44
2POZ-002,C,11.69,1.45,218.08
