short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
ALVI-001,Nr,10.7,2.15,183.7
ALVI-002,Ne,13.0,1.65,533.99
ALVI-003,Ne,12.65,1.45,313.59
ALVI-004,Ne,7.0,1.65,60.17
ALVI-005,Po,6.2,1.45,361.47
ALVI-006,A1,6.2,1.45,68.19
ALVI-007,SMo,0.0,1.05,401.75
ALVI-008,SMo,9.05,1.75,288.54
ALVI-009,Nd,0.0,1.65,52.02
ALVI-010,Nd,0.0,1.65,99.01
ALVI-011,Nd,0.0,1.65,80.36
ALVI-012,Ne,7.2,1.65,493.14
ALVI-013,Nr,5.65,1.65,163.27
ALVI-014,SMo,11.0,1.75,294.55
ALVI-015,SMo,0.0,1.05,221.87
ALVI-016,SMo,0.0,0.0,99.74
ALVI-017,pt,8.25,1.05,238.51
ALVI-018,pt,0.0,1.15,145.27
ALVI-019,Knt,0.0,0.0,0.0
ALVI-020,Bg,9999.0,0.95,21895.91
ALVI-021,O,6.92,0.95,221.53
ALVI-022,C,8.12,0.85,125.16
ALVI-023,B,10.38,0.85,137.64
ALVI-024,B,9999.0,1.25,863.28
ALVI-025,B,9999.0,0.85,523.14
ALVI-026,pt,7.7,1.05,235.18
ALVI-027,Nr,0.0,1.05,74.76
ALVI-028,Nr,13.87,1.05,106.87
ALVI-029,Ne,10.64,1.05,173.17
ALVI-030,Bg,9999.0,0.0,890.72
ALVI-031,Ne,12.56,1.15,134.81
ALVI-032,Ne,9.37,1.15,146.85
ALVI-033,fa,10.08,1.15,141.98
ALVI-034,fa,4.9,1.15,33.79
ALVI-035,Nr,5.0,1.15,34.47
ALVI-036,fa,11.0,1.25,12.0
ALVI-037,fa,5.1,1.25,56.2
ALVI-038,Nr,24.53,1.25,18.22
ALVI-039,SU,11.5,1.15,102.56
ALVI-040,fa,14.84,1.15,632.49
ALVI-041,Nr,5.5,1.25,293.71
ALVI-042,Nr,11.2,1.15,401.27
ALVI-043,Nr,0.0,1.05,658.67
ALVI-044,Nr,15.6,1.15,175.89
ALVI-045,pt,0.0,0.0,70.97
ALVI-046,pt,0.0,0.0,69.92
ALVI-047,pt,9.57,1.05,69.67
ALVI-048,Ne,0.0,0.0,70.68
ALVI-049,pt,0.0,0.0,70.0
ALVI-050,Ne,10.16,1.05,68.93
ALVI-051,Nr,13.92,1.05,140.1
ALVI-052,A,7.13,1.05,46.7
ALVI-053,Koa,6.0,1.05,20.34
ALVI-054,Koa,7.12,1.05,72.63
ALVI-055,Koa,7.17,1.05,91.84
ALVI-056,Koa,7.15,1.05,88.29
ALVI-057,Koa,7.27,1.35,1032.26
ALVI-058,pt,6.91,1.35,50.31
ALVI-059,pt,6.0,1.35,55.43
ALVI-060,Koa,5.2,0.75,135.11
ALVI-061,Ne,9.72,1.35,213.68
ALVI-062,Koa,7.1,1.35,1018.74
ALVI-063,Koa,5.38,1.35,97.45
ALVI-064, ,8.1,1.45,90.34
ALVI-065,Kna,9999.0,1.65,21713.29
ALVI-066,Kna,9999.0,1.45,21731.69
ALVI-067,Koa,7.22,1.65,1050.76
ALVI-068, ,3.95,1.25,7.23
ALVI-069,Koa,9999.0,1.05,2300.94
ALVI-070,Nr,15.5,1.15,177.72
ALVI-071,Nr,0.0,1.05,660.16
ALVI-072,Nr,15.5,1.05,215.98
ALVI-073,Nr,15.65,1.05,220.41
ALVI-074,A1,7.56,1.15,98.05
ALVI-075,Nr,10.1,1.15,3152.01
ALVI~NO_BUILDING,,,,
