short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
APOS-001,pt,9999.0,0.95,23940.83
APOS-002,B,11.5,1.05,48.68
APOS-003,C,9.61,1.05,29.94
APOS-004,B,9999.0,0.95,24027.27
APOS-005,C,12.65,1.05,73.98
APOS-006,fa,11.78,0.95,61.02
APOS-007,A,7.39,1.05,55.33
APOS-008,fa,9.94,0.95,64.68
APOS-009,A,9999.0,0.85,24031.73
APOS-010,Bg,9.57,0.85,71.05
APOS-011,A,9999.0,0.85,24116.91
APOS-012,Ne,9.21,0.85,67.72
APOS-013,B,9.48,0.85,70.55
APOS-014,B,0.0,0.0,60.32
APOS-015,Or,9.81,0.85,145.15
APOS-016,Ne,4.68,0.85,25.23
APOS-017,Ne,7.76,0.85,170.92
APOS-018,Or,8.44,0.85,159.79
APOS-019,Bg,0.0,0.0,233.98
APOS-020,Bg,7.35,1.05,52.07
APOS-021,Bg,0.0,0.0,173.51
APOS-022,Bg,14.19,1.15,108.19
APOS-023,Bg,9999.0,0.85,24155.99
APOS-024,C,10.5,0.95,109.85
APOS-025,Bg,9999.0,0.85,238.2
APOS-026,pt,10.36,0.95,119.7
APOS-027,Bg,16.29,1.05,109.37
APOS-028,Bg,0.0,0.0,92.36
APOS-029,A1,0.0,0.0,48.06
APOS-030,Bg,10.18,0.95,71.57
APOS-031,A1,9.49,0.85,57.61
APOS-032,Bg,10.12,0.95,64.99
APOS-033,Nr,4.48,0.85,28.63
APOS-034,D,15.98,0.65,104.3
APOS-035,B,13.98,0.95,75.0
APOS-036,pt,4.48,0.85,21.85
APOS-037,C,10.57,0.95,62.83
APOS-038,B,11.07,0.95,71.28
APOS-039,pt,9.82,0.85,106.26
APOS-040,C,9999.0,0.65,146.59
APOS-041,C,10.18,0.95,67.86
APOS-042,Bg,0.0,0.95,0.94
APOS-043,Bg,10.63,0.75,379.82
APOS-044,C,9.72,0.95,88.07
APOS-045,Bg,9999.0,0.75,194.91
APOS-046,Bg,9.71,0.75,59.06
APOS-047,Bg,10.25,0.75,68.57
APOS-048,O,0.0,0.95,267.53
APOS-049,pt,10.6,0.95,137.02
APOS-050,B1,7.4,0.95,97.25
