Full_sesti,short_alias
CN5038,BIRI-001
CN5039,BIRI-240
CN5039B,BIRI-239
CN5041,BIRI-238
CN5042,BIRI-232
CN5043,BIRI-232
CN5044,BIRI-232
CN5045A,BIRI-229
CN5045D,BIRI-229
CN5045E,BIRI-229
CN5045F,BIRI-229
CN5045G,BIRI-229
CN5045H,BIRI-229
CN5046,BIRI-232
CN5047,
CN5048,BIRI-244
CN5049,BIRI-243
CN5049A,BIRI-243
CN5050M,BIRI-243
CN5051,BIRI-243
CN5052,BIRI-228
CN5053,BIRI-244
CN5054,BIRI-244
CN5055,
CN5056,BIRI-227
CN5056A,BIRI-227
CN5057,BIRI-227
CN5058,BIRI-212
CN5059,BIRI-212
CN5060,BIRI-211
CN5061,BIRI-211
CN5062,BIRI-211
CN5063,BIRI-210
CN5065A,BIRI-242
CN5065B,BIRI-242
CN5065C,BIRI-242
CN5066,BIRI-242
CN5067,BIRI-242
CN5068,BIRI-230
CN5069,BIRI-230
CN5070,BIRI-230
CN5071,BIRI-231
CN5072,BIRI-231
CN5073,BIRI-231
CN5073A,BIRI-231
CN5074,BIRI-231
CN5074A,BIRI-231
CN5075A,BIRI-232
CN5075B,BIRI-232
CN5075C,BIRI-232
CN5076,BIRI-233
CN5077,BIRI-233
CN5077A,
CN5078,BIRI-238
CN5078A,BIRI-238
CN5079,BIRI-237
CN5080,BIRI-236
CN5081,BIRI-235
CN5081A,BIRI-235
CN5082,BIRI-234
CN5082A,BIRI-234
CN5083,BIRI-234
CN5084,BIRI-234
CN5085,BIRI-235
CN5086,BIRI-235
CN5087,BIRI-236
CN5088,BIRI-236
CN5089,BIRI-236
CN5090,BIRI-237
CN5091,BIRI-239
CN5092,BIRI-239
CN5093,BIRI-239
CN5094,BIRI-239
CN5095,BIRI-239
CN5096,BIRI-239
CN5097,BIRI-239
CN5098,BIRI-239
CN5098A,BIRI-239
CN5100,BIRI-240
CN5100A,BIRI-240
CN5100B,BIRI-240
CN5100C,BIRI-240
CN5100D,BIRI-240
CN5100E,BIRI-240
CN5101,
CN5102A,BIRI-184
CN5103,BIRI-002
CN5104,BIRI-186
CN5104A,BIRI-186
CN5104B,BIRI-003
CN5104C,BIRI-186
CN5105,BIRI-003
CN5106,BIRI-003
CN5107,BIRI-185
CN5108,
CN5109,BIRI-183
CN5112,BIRI-004
CN5113,
CN5113A,BIRI-187
CN5114,
CN5115,
CN5115A,
CN5115B,
CN5115C,
CN5116,BIRI-207
CN5117,BIRI-208
CN5118,BIRI-208
CN5119,BIRI-203
CN5119A,BIRI-202
CN5119B,BIRI-202
CN5120,BIRI-209
CN5121,BIRI-209
CN5122,BIRI-201
CN5123,BIRI-201
CN5124,BIRI-200
CN5126,BIRI-200
CN5127,BIRI-204
CN5127A,BIRI-204
CN5128,BIRI-199
CN5129,BIRI-199
CN5130,BIRI-204
CN5131,BIRI-198
CN5132,BIRI-204
CN5133,BIRI-198
CN5134,BIRI-196
CN5135,BIRI-197
CN5136,BIRI-196
CN5137,BIRI-197
CN5138,BIRI-197
CN5139,BIRI-198
CN5140,BIRI-199
CN5140B,BIRI-147
CN5141,BIRI-148
CN5141A,BIRI-196
CN5142,BIRI-147
CN5144,BIRI-147
CN5144A,BIRI-147
CN5145,BIRI-146
CN5145A,BIRI-146
CN5146,BIRI-148
CN5146A,BIRI-148
CN5147,BIRI-149
CN5148,BIRI-149
CN5149,BIRI-145
CN5150,BIRI-145
CN5150A,BIRI-145
CN5150B,BIRI-144
CN5151A,BIRI-144
CN5152,BIRI-143
CN5153,BIRI-149
CN5153A,
CN5154,BIRI-194
CN5155,BIRI-194
CN5156,BIRI-194
CN5157,BIRI-194
CN5158,BIRI-195
CN5158A,BIRI-195
CN5158B,BIRI-195
CN5159A,BIRI-205
CN5159B,BIRI-205
CN5159C,BIRI-205
CN5160,BIRI-207
CN5160A,BIRI-206
CN5161,BIRI-241
CN5161A,BIRI-192
CN5161B,BIRI-191
CN5161C,BIRI-191
CN5161D,BIRI-241
CN5161E,BIRI-241
CN5161F,BIRI-241
CN5161G,BIRI-192
CN5161H,BIRI-241
CN5162,BIRI-012
CN5162A,BIRI-012
CN5165,BIRI-013
CN5166,BIRI-013
CN5167,BIRI-013
CN5167A,BIRI-013
CN5168,BIRI-013
CN5169,BIRI-013
CN5170,BIRI-013
CN5171,BIRI-013
CN5171A,BIRI-013
CN5172,BIRI-013
CN5173,BIRI-012
CN5173A,BIRI-012
CN5174,BIRI-012
CN5175,
CN5175A,BIRI-193
CN5176,BIRI-011
CN5177,BIRI-010
CN5178,BIRI-010
CN5179,BIRI-009
CN5180,BIRI-009
CN5181,BIRI-008
CN5182,BIRI-008
CN5183,BIRI-007
CN5184,
CN5185,
CN5186,BIRI-177
CN5187,BIRI-175
CN5188,BIRI-176
CN5189,BIRI-176
CN5190,BIRI-169
CN5191,BIRI-169
CN5192,BIRI-169
CN5193,BIRI-170
CN5194,BIRI-164
CN5195,BIRI-164
CN5196,BIRI-163
CN5198,BIRI-163
CN5199,BIRI-160
CN5199A,BIRI-161
CN5199B,BIRI-161
CN5200,BIRI-160
CN5201,BIRI-160
CN5202,BIRI-161
CN5203,BIRI-162
CN5204,BIRI-162
CN5205,BIRI-165
CN5208,BIRI-166
CN5209,BIRI-166
CN5210,BIRI-166
CN5210A,BIRI-166
CN5211,BIRI-165
CN5212,BIRI-164
CN5213,BIRI-170
CN5214,BIRI-170
CN5215,BIRI-175
CN5216,BIRI-177
CN5217,BIRI-177
CN5218,BIRI-180
CN5219,BIRI-180
CN5220,BIRI-179
CN5220A,BIRI-178
CN5221,BIRI-174
CN5222,BIRI-171
CN5223,BIRI-171
CN5224,BIRI-171
CN5225,BIRI-172
CN5226,BIRI-172
CN5228,BIRI-173
CN5229,BIRI-173
CN5231,BIRI-173
CN5232,BIRI-174
CN5236,BIRI-180
CN5236A,BIRI-180
CN5237,BIRI-180
CN5238A,
CN5238B,
CN5239,BIRI-182
CN5240,BIRI-182
CN5241,BIRI-182
CN5242,BIRI-182
CN5243,BIRI-182
CN5245,BIRI-181
CN5245A,BIRI-181
CN5245B,BIRI-181
CN5246,BIRI-058
CN5247,BIRI-058
CN5248,BIRI-058
CN5249,BIRI-057
CN5250,BIRI-059
CN5251,BIRI-059
CN5252,BIRI-059
CN5253,
CN5254,BIRI-055
CN5255,BIRI-054
CN5256,BIRI-054
CN5257,BIRI-054
CN5258,BIRI-060
CN5259,
CN5259A,BIRI-063
CN5259B,
CN5259C,
CN5259D,BIRI-167
CN5259E,BIRI-167
CN5259F,
CN5259G,
CN5259H,
CN5259K,BIRI-167
CN5259L,BIRI-167
CN5260,
CN5260B,BIRI-064
CN5261,BIRI-064
CN5261A,BIRI-052
CN5261B,BIRI-051
CN5261C,BIRI-050
CN5262,BIRI-050
CN5263,BIRI-065
CN5264,BIRI-066
CN5265,BIRI-066
CN5266,BIRI-067
CN5267,BIRI-067
CN5268,BIRI-069
CN5269,BIRI-069
CN5270,BIRI-069
CN5271,BIRI-067
CN5272,BIRI-066
CN5272A,BIRI-066
CN5275,BIRI-049
CN5276,BIRI-070
CN5277,BIRI-071
CN5278,BIRI-072
CN5279,BIRI-073
CN5280,BIRI-156
CN5281,BIRI-155
CN5282,BIRI-074
CN5283,BIRI-153
CN5284,BIRI-157
CN5285,BIRI-157
CN5286,BIRI-157
CN5287,BIRI-158
CN5288A,BIRI-159
CN5289,BIRI-168
CN5290,BIRI-168
CN5291,BIRI-014
CN5292,BIRI-014
CN5292A,BIRI-014
CN5294,BIRI-015
CN5295,BIRI-015
CN5296,BIRI-015
CN5297,BIRI-150
CN5298,BIRI-142
CN5299,BIRI-142
CN5299A,BIRI-140
CN5300,BIRI-139
CN5300A,BIRI-139
CN5301,BIRI-138
CN5302A,BIRI-136
CN5302B,BIRI-136
CN5302C,BIRI-138
CN5303,BIRI-141
CN5304,BIRI-219
CN5305,BIRI-143
CN5306,BIRI-150
CN5306A,BIRI-150
