short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
BIRI-001,Ne,9999.0,1.35,3856.65
BIRI-002,fa,9999.0,1.35,3510.09
BIRI-003,fa,0.0,0.0,112.49
BIRI-004,fa,9999.0,1.35,676.7
BIRI-005,fa,14.0,0.95,127.48
BIRI-006,Or,9.39,0.95,117.07
BIRI-007,B,0.0,0.0,31.63
BIRI-008,B,12.3,0.95,77.94
BIRI-009,fa,13.68,0.95,166.47
BIRI-010,Or,10.7,0.95,44.92
BIRI-011,B,0.0,0.0,71.93
BIRI-012,B,10.35,0.95,216.56
BIRI-013,fa,9999.0,1.15,4215.89
BIRI-014,Or,10.05,1.35,70.49
BIRI-015,Or,0.0,1.35,69.81
BIRI-016,Or,9.65,1.35,83.12
BIRI-017,fa,7.0,1.15,192.89
BIRI-018,fa,9.46,1.25,74.45
BIRI-019,Bg,10.08,1.35,128.18
BIRI-020,pt,14.25,1.35,104.06
BIRI-021,pt,10.3,1.35,34.95
BIRI-022,B1,0.0,1.15,77.51
BIRI-023,Bg,9999.0,0.0,554.49
BIRI-024,Nd,4.27,1.35,6.89
BIRI-025,fa,9.35,1.05,135.9
BIRI-026,Bg,9999.0,1.35,139.71
BIRI-027,pt,10.12,1.35,90.7
BIRI-028,Bg,0.0,0.0,130.03
BIRI-029, ,9.4,1.35,368.07
BIRI-030,Bg,0.0,0.0,102.08
BIRI-031,Ne,9999.0,1.35,1298.66
BIRI-032,Bg,0.0,0.0,120.07
BIRI-033,B1,9.94,0.95,50.4
BIRI-034,Kna,0.0,1.35,158.18
BIRI-035,B1,12.03,0.95,50.82
BIRI-036,Kt,5.66,1.05,186.31
BIRI-037,Or,12.14,1.35,119.38
BIRI-038,fa,9999.0,1.05,1439.62
BIRI-039,B,0.0,1.05,75.07
BIRI-040,Or,9999.0,1.05,2124.42
BIRI-041,C,0.0,0.0,245.03
BIRI-042,SU,9.09,1.05,28.2
BIRI-043,C,16.0,1.05,376.38
BIRI-044,B,9999.0,1.05,298.19
BIRI-045,B1,0.0,0.0,139.09
BIRI-046,Ne,5.82,1.05,129.32
BIRI-047,Ne,10.39,0.95,147.17
BIRI-048,Nr,9.2,0.95,92.06
BIRI-049,pt,8.7,0.95,152.52
BIRI-050,Nr,16.44,0.95,626.97
BIRI-051,C,0.0,0.0,145.15
BIRI-052,C,0.0,0.0,142.4
BIRI-053,C,12.5,0.95,135.75
BIRI-054,Nr,13.71,0.95,430.4
BIRI-055,Nr,12.2,1.05,209.36
BIRI-056,Nr,14.0,0.95,154.14
BIRI-057,Nr,19.35,0.95,591.82
BIRI-058,C,17.08,0.85,1056.78
BIRI-059,Kt,9999.0,0.95,2047.26
BIRI-060,Ka,0.0,0.85,225.02
BIRI-061,Ka,5.61,0.85,286.62
BIRI-062,Ka,8.59,0.85,120.71
BIRI-063,pt,9.3,0.85,46.87
