short_alias,TP_CLS_ED,Qu_Gronda,Superficie,list_of_addresses,floors_est
BRAZ-001,C,9999.0,4184.27,CN3295,3333
BRAZ-002,Kt,9999.0,3899.17,none,3333
BRAZ-003,Ne,13.5,90.59,CN3307,5
BRAZ-004,Kna,5.0,113.42,none,2
BRAZ-005,N,0.0,47.31,none,1
BRAZ-006,O,9999.0,3844.21,"CN3296, CN3296A",3333
BRAZ-007,Bg,13.13,97.3,"CN3298, CN3298A, CN3299",5
BRAZ-008,Nr,7.4,49.57,CN3305A,3
BRAZ-009,Nr,9999.0,3579.57,"CN3300, CN3300A",3333
BRAZ-010,Ne,9.28,59.12,none,4
BRAZ-011,Ne,0.0,97.19,CN3304,1
BRAZ-012,fa,15.5,248.37,"CN3317A, CN3318",6
BRAZ-013,fa,9999.0,3614.67,"CN3316A, CN3317",3333
BRAZ-014,A,9999.0,3562.67,"CN3318A, CN3319, CN3319A",3333
BRAZ-015,A,7.7,77.91,"CN3320, CN3320A",3
BRAZ-016,C,12.06,143.79,CN3316,5
BRAZ-017,Nr,5.21,111.74,none,2
BRAZ-018,Nr,4.54,46.34,none,2
BRAZ-019,Nr,10.14,208.13,"CN3322, CN3322A, CN3323, CN3325, CN3326",4
BRAZ-020,Nr,11.48,298.59,none,4
BRAZ-021,Nr,9999.0,2839.51,none,3333
BRAZ-022,Nr,9999.0,2736.35,CN3328,3333
BRAZ-023,Nr,9999.0,2724.37,"CN3329, CN3330",3333
BRAZ-024,C,13.76,369.89,CN3335,5
BRAZ-025,Nr,11.8,161.15,none,4
BRAZ-026,Nr,0.0,15.54,none,1
BRAZ-027,Nr,15.06,188.24,"CN3331, CN3332",6
BRAZ-028,Nr,0.0,0.07,none,1
BRAZ-029,C,13.3,344.14,CN3336,5
BRAZ-030,Koa,5.3,48.2,none,2
BRAZ-031,B1,10.63,159.34,"CN3340, CN3341, CN3342, CN3343",4
BRAZ-032,B1,7.41,44.71,CN3339,3
BRAZ-033,pt,8.73,45.74,CN3338,3
BRAZ-034,pt,10.23,100.03,"CN3343A, CN3344",4
BRAZ-035,pt,0.0,64.27,none,1
BRAZ-036,pt,8.0,127.96,CN3345B,3
BRAZ-037,O,9999.0,2503.97,none,3333
BRAZ-038,Or,7.34,148.67,"CN3345D, CN3345E, CN3345F",3
BRAZ-039,Bg,10.37,61.34,CN3354A,4
BRAZ-040,C,0.0,62.88,CN3354,1
BRAZ-041,C,0.0,242.81,"CN3351, CN3351A, CN3352, CN3352A, CN3353",1
BRAZ-042,C,5.9,56.94,none,2
BRAZ-043, ,0.0,239.75,"CN3348, CN3349, CN3350, CN3350A",1
BRAZ-044, ,4.32,57.47,CN3347,2
BRAZ-045,C,12.71,218.88,CN3346,5
BRAZ-046,pt,9.5,709.76,"CN3308, CN3309, CN3310, CN3311, CN3312, CN3313, CN3314, CN3314A, CN3314B, CN3314C, CN3314D, CN3314E, CN3315",4
BRAZ~NO_BUILDING,,,,"CN3299A, CN3300B, CN3301, CN3302, CN3303, CN3305, CN3306, CN3316B, CN3316C, CN3327, CN3333, CN3334, CN3337A, CN3345, CN3345C, CN3355",
