Full_sesti,short_alias
CN5504,
CN5505,CANC-125
CN5506,CANC-125
CN5507,
CN5508,
CN5509,CANC-121
CN5509A,CANC-121
CN5510,CANC-120
CN5511,CANC-120
CN5512,CANC-121
CN5513,CANC-119
CN5515,CANC-118
CN5515A,CANC-118
CN5515B,CANC-118
CN5516,CANC-115
CN5516A,CANC-116
CN5516B,CANC-116
CN5517,CANC-121
CN5517A,CANC-121
CN5518,
CN5519,
CN5520,
CN5521,CANC-003
CN5522,CANC-004
CN5522B,CANC-004
CN5523,CANC-123
CN5524,CANC-123
CN5525,CANC-123
CN5527,CANC-122
CN5528,CANC-122
CN5529,CANC-122
CN5530,CANC-006
CN5531,CANC-006
CN5532,CANC-007
CN5533,CANC-007
CN5534,CANC-008
CN5536,CANC-103
CN5537,CANC-104
CN5537A,CANC-104
CN5538,CANC-104
CN5539,CANC-010
CN5540,CANC-011
CN5541,CANC-011
CN5542,CANC-011
CN5543,CANC-011
CN5544,CANC-011
CN5545,CANC-011
CN5546,CANC-011
CN5547,
CN5548,CANC-100
CN5549,CANC-100
CN5550,CANC-056
CN5551,CANC-100
CN5552,
CN5553,CANC-098
CN5554,CANC-099
CN5554A,CANC-099
CN5555,
CN5555A,CANC-057
CN5557,CANC-099
CN5558,CANC-058
CN5559,CANC-058
CN5560,CANC-058
CN5561,CANC-058
CN5562,CANC-058
CN5564,CANC-099
CN5564B,CANC-099
CN5565,CANC-098
CN5565A,CANC-098
CN5566,CANC-098
CN5567,CANC-097
CN5567A,CANC-097
CN5568,CANC-097
CN5568A,CANC-097
CN5569,CANC-097
CN5570,CANC-093
CN5571,CANC-092
CN5572,CANC-092
CN5573,CANC-091
CN5574A,CANC-091
CN5575,CANC-091
CN5576,CANC-091
CN5576A,CANC-090
CN5577,CANC-090
CN5578,CANC-089
CN5579,CANC-089
CN5580,CANC-087
CN5581,CANC-087
CN5582,CANC-087
CN5583,CANC-087
CN5584,CANC-087
CN5585,CANC-087
CN5586,CANC-087
CN5587,CANC-086
CN5588,CANC-086
CN5589,CANC-086
CN5590,
CN5590A,CANC-095
CN5591,CANC-083
CN5592,CANC-083
CN5593,CANC-083
CN5594,CANC-083
CN5595,CANC-083
CN5595A,CANC-096
CN5596,CANC-096
CN5596A,CANC-096
CN5597,CANC-096
CN5597A,CANC-096
CN5598A,CANC-096
CN5599,CANC-096
CN5600,CANC-085
CN5601,CANC-085
CN5602,CANC-085
CN5604,CANC-084
CN5606,CANC-084
CN5607,CANC-084
CN5608,CANC-084
CN5609,CANC-084
CN5610,CANC-084
CN5611,CANC-084
CN5612,CANC-084
CN5613,CANC-084
CN5614,CANC-084
CN5615,CANC-084
CN5616,CANC-084
CN5617,CANC-084
CN5618,CANC-083
CN5618A,CANC-083
CN5619,CANC-083
CN5620,CANC-083
CN5620A,CANC-083
CN5620B,CANC-083
CN5621,CANC-083
CN5622,CANC-083
CN5623,CANC-082
CN5624,CANC-082
CN5625,CANC-081
CN5626,CANC-080
CN5626A,CANC-080
CN5627,CANC-080
CN5628,CANC-079
CN5629,CANC-079
CN5630,CANC-078
CN5630A,CANC-077
CN5631,CANC-077
CN5632,CANC-077
CN5634,CANC-077
CN5635,CANC-077
CN5638,CANC-072
CN5639,CANC-072
CN5640,CANC-071
CN5640A,CANC-071
CN5641,CANC-070
CN5642,CANC-070
CN5643,CANC-070
CN5644,CANC-070
CN5645,CANC-070
CN5648,CANC-070
CN5648A,CANC-070
CN5649,CANC-070
CN5650,
CN5651,CANC-070
CN5652,CANC-071
CN5653,CANC-072
CN5654,CANC-072
CN5654A,CANC-073
CN5655,CANC-076
CN5656,CANC-074
CN5657,CANC-074
CN5658,CANC-069
CN5659,CANC-069
CN5661,CANC-069
CN5662,CANC-068
CN5664,CANC-068
CN5665,CANC-068
CN5666,CANC-068
CN5669,CANC-066
CN5670,CANC-066
CN5671,CANC-066
CN5672,CANC-066
