short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
CANC-001,A1,11.94,1.05,54.83
CANC-002,A1,10.64,1.08,36.63
CANC-003,A1,10.8,1.08,75.22
CANC-004,Nr,0.0,1.05,41.18
CANC-005,B1,10.31,1.05,202.26
CANC-006,pt,10.75,1.05,105.93
CANC-007,B1,10.66,1.05,591.67
CANC-008,pt,10.36,1.05,93.68
CANC-009,pt,9.6,1.05,122.49
CANC-010,Bg,14.66,0.85,290.36
CANC-011,Bg,14.62,0.85,110.09
CANC-012,Bg,18.5,0.85,535.51
CANC-013,C,18.36,0.85,337.68
CANC-014,pt,14.0,0.85,176.07
CANC-015,pt,16.51,0.85,333.9
CANC-016,C,6.57,0.85,48.18
CANC-017,Bg,15.02,0.85,98.41
CANC-018,fa,7.08,0.85,66.69
CANC-019,fa,14.5,0.83,117.4
CANC-020,C,13.95,0.85,53.38
CANC-021,C,0.0,0.75,188.14
CANC-022,C,0.0,0.0,390.84
CANC-023,Or,9999.0,0.0,308.08
CANC-024,Bg,14.99,0.85,163.45
CANC-025,Or,12.07,0.85,61.91
CANC-026,C,16.23,0.85,88.15
CANC-027,C,0.0,0.0,85.97
CANC-028,C,17.21,0.95,68.64
CANC-029,C,18.1,0.95,382.11
CANC-030,A,14.69,0.95,61.52
CANC-031,Bg,16.22,0.95,121.11
CANC-032,C,14.63,0.95,301.83
CANC-033,C,17.1,1.05,341.52
CANC-034,fa,12.4,0.95,154.71
CANC-035,Bg,12.72,0.95,58.85
CANC-036,B,9.64,0.95,44.31
CANC-037,Bg,0.0,0.0,85.32
CANC-038,B,7.04,0.95,96.19
CANC-039,Bg,0.0,0.0,77.87
CANC-040,B,15.65,0.95,138.29
CANC-041,C,12.93,0.95,200.87
CANC-042,C,13.69,0.95,129.52
CANC-043,C,13.69,0.95,129.52
CANC-044,B,15.4,0.95,137.47
CANC-045,A1,13.63,0.95,104.94
CANC-046,C,12.0,0.95,125.83
CANC-047,A,11.61,0.95,71.34
CANC-048,A,13.32,0.95,38.23
CANC-049,A,5.73,0.95,65.64
CANC-050,A,0.0,0.0,34.76
CANC-051,fa,11.48,0.95,112.7
CANC-052,C,17.08,1.05,264.95
CANC-053,C,14.25,1.05,222.43
CANC-054,C,0.0,0.0,240.57
CANC-055,C,15.47,1.05,231.57
CANC-056,C,14.95,1.05,89.14
CANC-057,C,17.76,1.05,257.33
CANC-058,pt,11.52,1.05,153.09
CANC-059,A,0.0,0.0,49.25
CANC-060,A,14.27,0.95,73.6
CANC-061,A,0.0,0.0,51.83
CANC-062,B,6.08,0.95,53.82
CANC-063,Or,12.5,0.95,148.92
CANC-064, ,0.0,0.95,44.44
CANC-065,Bg,16.0,0.95,286.21
CANC-066,Or,6.08,0.95,131.54
CANC-067,Or,18.0,0.95,435.89
CANC-068,pt,10.57,0.95,144.67
CANC-069,A,14.02,0.95,47.59
CANC-070,A,9.75,0.95,42.35
CANC-071,pt,11.58,0.95,143.21
CANC-072,C,13.61,1.35,246.93
CANC-073,C,14.21,1.15,194.66
CANC-074,pt,10.6,1.15,41.41
CANC-075,pt,12.41,1.15,53.84
CANC-076,C,14.42,1.15,57.73
CANC-077,fa,13.27,1.15,103.48
CANC-078,B1,9.23,1.15,50.84
CANC-079,pt,9.96,1.15,65.78
CANC-080,fa,11.35,1.15,186.33
CANC-081,B1,8.96,1.15,63.43
CANC-082,fa,12.96,1.15,206.25
CANC-083,C,17.91,0.75,288.36
CANC-084,C,0.0,0.0,73.22
CANC-085,C,0.0,0.85,417.96
CANC-086,C,15.62,0.95,77.64
CANC-087,C,18.0,0.85,534.4
CANC-088,C,11.43,0.95,178.62
CANC-089,C,9.56,0.85,83.86
CANC-090,A1,13.0,0.95,137.6
CANC-091,C,5.87,1.05,78.0
CANC-092,A1,13.06,0.95,135.43
CANC-093,Bg,13.6,1.05,119.19
CANC-094,C,13.93,1.05,214.03
CANC-095,A1,9.6,1.05,135.87
CANC-096,C,10.2,1.05,44.17
CANC-097,C,14.42,1.05,99.83
CANC-098,C,0.0,1.05,331.79
CANC-099,C,16.13,1.05,386.05
CANC-100,C,15.23,1.05,96.9
CANC-101,C,14.15,1.05,264.47
CANC-102,B,9.46,1.05,44.07
CANC-103,C,0.0,0.0,32.05
CANC-104,Ne,4.33,1.05,50.27
CANC-105,C,17.81,1.05,381.36
CANC-106,B,9.48,1.05,172.58
CANC-107,C,17.08,1.05,351.23
CANC-108,C,14.82,1.05,242.8
CANC-109,C,0.0,0.0,25.45
CANC-110,pt,0.0,0.0,228.23
CANC-111,pt,14.66,0.95,276.05
CANC-112,A,10.0,0.95,73.15
CANC-113,fa,12.77,0.95,241.72
CANC-114,A,0.0,0.0,72.15
CANC-115,fa,13.2,0.95,206.58
CANC-116,A,12.05,1.05,88.61
CANC-117,Ne,15.61,1.03,167.65
CANC-118,C,16.0,1.05,386.42
CANC-119,Ne,11.25,1.05,186.86
CANC-120,D,16.1,1.15,212.76
CANC-121,Bg,5.48,1.05,36.95
CANC-122,Bg,13.05,1.05,213.18
CANC-123,pt,11.1,1.05,95.61
CANC-124,B,4.35,1.05,21.91
CANC-125,pt,11.1,1.05,130.13
CANC-126,B,17.0,1.05,171.47
CANC-127,Ne,6.82,1.05,54.24
CANC-128,Ne,13.0,1.05,111.55
CANC-129,Bg,15.0,1.05,184.9
CANC~NO_BUILDING,,,,
