short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
CHIO-001,Nr,0.0,1.15,179.54
CHIO-002,Nr,12.0,1.25,145.76
CHIO-003,Nr,0.0,0.0,126.13
CHIO-004,Nr,15.25,1.25,173.76
CHIO-005,Nr,15.1,1.15,170.09
CHIO-006,Nr,15.25,1.25,173.17
CHIO-007,Nr,9999.0,1.15,8912.85
CHIO-008,Nr,9999.0,1.15,8582.79
CHIO-009,Nr,14.45,1.15,178.4
CHIO-010,A1,9999.0,1.25,8574.53
CHIO-011,Nr,12.35,1.15,217.24
CHIO-012,A1,6.8,1.35,59.36
CHIO-013,pt,9999.0,0.95,8529.85
CHIO-014,Or,9999.0,1.15,7910.79
CHIO-015,Nr,14.48,0.95,286.73
CHIO-016,Kna,4.97,1.15,218.94
CHIO-017,Kna,4.27,1.15,51.98
CHIO-018, ,4.8,0.95,60.99
CHIO-019,Kna,3.75,1.15,30.49
CHIO-020,Kna,0.0,1.15,162.97
CHIO-021,fa,7.5,0.95,141.04
CHIO-022,Nd,3.75,1.25,32.77
CHIO-023,fa,10.2,0.85,279.7
CHIO-024,SM,9999.0,1.25,7901.11
CHIO-025,fa,0.0,0.85,96.18
CHIO-026,SM,5.67,1.45,117.33
CHIO-027,SM,9.2,1.45,1139.23
CHIO-028,SM,9999.0,1.25,7664.49
CHIO-029,SM,9999.0,0.75,6903.69
CHIO-030,SU,13.02,1.05,380.3
CHIO-031,SM,9999.0,0.65,5840.13
CHIO-032, ,8.48,1.55,39.46
CHIO-033,Nr,10.7,1.15,270.5
CHIO-034,Nd,10.05,1.25,198.77
CHIO-035,Nd,0.0,1.05,17.19
CHIO-036,Nr,0.0,1.15,640.81
CHIO-037,Nr,0.0,1.15,183.22
CHIO-038,Nr,0.0,1.15,512.73
CHIO-039,Nr,0.0,1.25,352.2
CHIO-040,Nr,0.0,1.25,316.85
CHIO-041,Nr,12.0,1.25,184.86
CHIO-042,Nr,15.0,1.25,134.41
CHIO-043,Nr,11.0,1.25,130.18
CHIO-044,Nr,8.7,1.25,80.31
CHIO-045,Nr,15.75,1.25,221.17
CHIO-046,Nr,0.0,1.25,276.92
CHIO-047,Nr,0.0,1.25,176.18
CHIO-048,Nr,15.15,1.25,132.1
CHIO-049,Nr,0.0,1.15,220.04
CHIO-050,Nr,15.15,1.25,130.33
CHIO-051,Nr,0.0,1.15,102.56
CHIO-052,Nr,0.0,1.15,197.41
CHIO-053,Nr,12.35,1.15,125.43
CHIO-054,Nr,15.4,1.15,135.21
CHIO-055,Nr,8.9,1.15,119.22
CHIO-056,Nr,15.45,1.15,158.52
CHIO-057,Nr,18.85,1.15,136.53
CHIO-058,Nr,12.2,1.35,137.89
CHIO-059,Bg,10.35,1.15,82.05
CHIO-060,A,7.35,1.15,67.12
CHIO-061,Bg,0.0,0.0,67.07
CHIO-062, ,12.95,1.15,17.98
CHIO-063,pt,6.8,0.85,70.58
CHIO-064,Bg,0.0,0.0,70.29
CHIO-065,Nr,0.0,1.15,207.08
CHIO-066,B,9.35,1.15,68.18
CHIO-067,pt,4.8,0.85,68.43
CHIO-068,B,0.0,1.15,71.08
CHIO-069,C,14.65,0.85,239.78
CHIO~NO_BUILDING,,,,
