Full_sesti,short_alias
CN4014,CORR-028
CN4014A,CORR-028
CN4015,CORR-029
CN4016,CORR-029
CN4016A,CORR-029
CN4017,CORR-030
CN4018,CORR-030
CN4019,CORR-031
CN4020,CORR-031
CN4021,CORR-032
CN4022,CORR-032
CN4023,CORR-048
CN4024,CORR-048
CN4025,
CN4026,CORR-047
CN4027,CORR-040
CN4029,CORR-033
CN4029B,CORR-033
CN4030,CORR-034
CN4030A,CORR-027
CN4031,CORR-027
CN4032,CORR-026
CN4033,CORR-026
CN4034,CORR-024
CN4036,CORR-025
CN4037,CORR-036
CN4038,CORR-035
CN4039,CORR-035
CN4040,CORR-040
CN4041,CORR-047
CN4041A,CORR-047
CN4041B,CORR-047
CN4042,CORR-047
CN4042A,CORR-047
CN4043,CORR-045
CN4044,CORR-045
CN4045,CORR-044
CN4046,CORR-041
CN4047,CORR-041
CN4048,CORR-039
CN4048B,CORR-039
CN4049,CORR-039
CN4049A,CORR-039
CN4050,CORR-037
CN4051,CORR-037
CN4052,CORR-023
CN4053,CORR-023
CN4054,CORR-023
CN4055,CORR-038
CN4056,CORR-038
CN4056A,CORR-038
CN4057,CORR-008
CN4058,CORR-007
CN4059,CORR-007
CN4060,CORR-007
CN4061,CORR-006
CN4061A,CORR-006
CN4062,
CN4062A,CORR-009
CN4063,CORR-008
CN4064,CORR-011
CN4064A,CORR-011
CN4065,CORR-010
CN4066,CORR-010
CN4067,CORR-012
CN4068,CORR-012
CN4069,CORR-013
CN4070,CORR-013
CN4071,CORR-014
CN4071A,
CN4072,CORR-004
CN4074,CORR-016
CN4075,CORR-017
CN4076,CORR-018
CN4077,CORR-018
CN4077B,CORR-019
CN4078,CORR-017
CN4079,CORR-016
CN4080,CORR-015
CN4080A,CORR-015
CN4080B,CORR-015
CN4081,
CN4082,CORR-022
CN4082A,CORR-022
CN4083,CORR-021
CN4084,CORR-021
CN4085,CORR-020
CN4086,CORR-020
CN4087,CORR-005
CN4089,CORR-005
CN4090,
CN4091,CORR-005
CN4092,CORR-004
CN4093,CORR-042
CN4094,CORR-042
CN4095,CORR-003
CN4096,CORR-043
CN4097,CORR-002
CN4098,CORR-002
CN4098A,CORR-002
CN4099,CORR-043
CN4100,CORR-046
CN4100A,CORR-046
CN4101,CORR-001
CN4102,CORR-001
CN4177,CORR-028
