short_alias,list_of_addresses
CORR-001,CN4034
CORR-002,CN4036
CORR-003,"CN4032, CN4033"
CORR-004,CN4037
CORR-005,"CN4030A, CN4031"
CORR-006,"CN4038, CN4039"
CORR-007,"CN4027, CN4040"
CORR-008,CN4030
CORR-009,"CN4029, CN4029B"
CORR-010,CN4071
CORR-011,CN4077B
CORR-012,"CN4087, CN4089, CN4091"
CORR-013,"CN4072, CN4092"
CORR-014,CN4095
CORR-015,"CN4097, CN4098, CN4098A"
CORR-016,"CN4101, CN4102"
CORR-017,"CN4064, CN4064A"
CORR-018,"CN4065, CN4066"
CORR-019,"CN4067, CN4068"
CORR-020,"CN4069, CN4070"
CORR-021,CN4062A
CORR-022,"CN4057, CN4063"
CORR-023,"CN4058, CN4059, CN4060"
CORR-024,"CN4061, CN4061A"
CORR-025,"CN4055, CN4056, CN4056A"
CORR-026,"CN4082, CN4082A"
CORR-027,"CN4052, CN4053, CN4054"
CORR-028,"CN4083, CN4084"
CORR-029,"CN4085, CN4086"
CORR-030,"CN4050, CN4051"
CORR-031,"CN4093, CN4094"
CORR-032,"CN4048, CN4048B, CN4049, CN4049A"
CORR-033,"CN4096, CN4099"
CORR-034,"CN4046, CN4047"
CORR-035,"CN4100, CN4100A"
CORR-036,CN4045
CORR-037,"CN4043, CN4044"
CORR-038,"CN4014, CN4014A, CN4177"
CORR-039,"CN4015, CN4016, CN4016A"
CORR-040,"CN4017, CN4018"
CORR-041,"CN4019, CN4020"
CORR-042,"CN4026, CN4041, CN4041A, CN4041B, CN4042, CN4042A"
CORR-043,"CN4021, CN4022"
CORR-044,"CN4023, CN4024"
CORR-045,none
CORR-046,"CN4080, CN4080A, CN4080B"
CORR-047,"CN4074, CN4079"
CORR-048,"CN4075, CN4078"
CORR-049,"CN4076, CN4077"
