Full_sesti,short_alias
CN4876,GESU-094
CN4876A,GESU-094
CN4877,GESU-094
CN4878,GESU-094
CN4879,GESU-094
CN4880,GESU-094
CN4881,GESU-094
CN4882,GESU-094
CN4883,GESU-098
CN4885,GESU-098
CN4886,GESU-099
CN4887,GESU-099
CN4887A,GESU-099
CN4888A,GESU-085
CN4888B,GESU-085
CN4888C,GESU-099
CN4888D,GESU-099
CN4888E,GESU-099
CN4888F,GESU-099
CN4889,GESU-083
CN4889A,GESU-083
CN4889B,GESU-083
CN4890,GESU-080
CN4890A,GESU-080
CN4891,GESU-079
CN4891A,GESU-079
CN4891B,GESU-079
CN4892,GESU-078
CN4892A,GESU-078
CN4892B,GESU-078
CN4893,GESU-080
CN4893A,GESU-080
CN4894,GESU-082
CN4894A,
CN4895,GESU-086
CN4895A,GESU-086
CN4896,GESU-086
CN4897,GESU-086
CN4898,GESU-087
CN4898A,GESU-088
CN4899,GESU-087
CN4900,GESU-088
CN4901,GESU-089
CN4901A,GESU-089
CN4902,GESU-089
CN4903,GESU-093
CN4904,GESU-092
CN4905,GESU-092
CN4906,GESU-073
CN4907,GESU-073
CN4907A,GESU-073
CN4908,GESU-073
CN4909,GESU-073
CN4910,GESU-071
CN4911,GESU-071
CN4911A,
CN4912,GESU-090
CN4913,GESU-091
CN4914,GESU-090
CN4915,GESU-090
CN4915A,GESU-090
CN4916,GESU-070
CN4916A,GESU-070
CN4917,GESU-070
CN4918,GESU-068
CN4919,GESU-076
CN4919A,GESU-074
CN4920,GESU-074
CN4921,GESU-074
CN4922,GESU-074
CN4923,GESU-075
CN4924,GESU-075
CN4925,GESU-076
CN4927,GESU-068
CN4927A,GESU-068
CN4928,GESU-068
CN4929,
CN4929A,GESU-069
CN4929B,GESU-070
CN4929C,GESU-070
CN4929D,GESU-070
CN4929E,GESU-070
CN4929G,
CN4930,GESU-067
CN4931,GESU-063
CN4933,GESU-062
CN4933A,GESU-062
CN4934,GESU-061
CN4935,GESU-061
CN4936,GESU-061
CN4937,GESU-061
CN4938,GESU-059
CN4939,GESU-059
CN4940A,
CN4941,GESU-054
CN4941A,GESU-055
CN4942,GESU-056
CN4942A,GESU-056
CN4944,GESU-021
CN4945,GESU-021
CN4947,GESU-022
CN4947A,GESU-022
CN4948,GESU-022
CN4949,GESU-022
CN4950,GESU-022
CN4951,GESU-023
CN4952,GESU-019
CN4953,GESU-019
CN4954,GESU-020
CN4955,GESU-020
CN4956,GESU-020
CN4957,GESU-020
CN4958,GESU-019
CN4959,GESU-019
CN4960,GESU-018
CN4961,GESU-018
CN4961A,GESU-017
CN4962,GESU-017
CN4963,GESU-017
CN4964,
CN4965,GESU-014
CN4965A,GESU-029
CN4966,GESU-014
CN4967,GESU-014
CN4968,GESU-015
CN4969,GESU-015
CN4970,GESU-015
CN4971,GESU-025
CN4972,GESU-025
CN4973,GESU-025
CN4974,GESU-026
CN4974A,GESU-026
CN4975,
CN4976,
CN4977,GESU-013
CN4978,GESU-013
CN4979,GESU-028
CN4980,GESU-028
CN4982,GESU-010
CN4982A,GESU-010
CN4983,GESU-009
CN4984,GESU-008
CN4985,GESU-008
CN4986,GESU-008
CN4987,GESU-008
CN4988,GESU-007
CN4989,GESU-007
CN4990,GESU-006
CN4990A,GESU-006
CN4990B,GESU-006
CN4990C,GESU-006
CN4991A,GESU-033
CN4993,GESU-031
CN4994,GESU-031
CN4995,GESU-030
CN4996,GESU-030
CN4997,GESU-030
CN4998,GESU-030
CN4998A,GESU-032
CN4999,GESU-035
CN5000,GESU-035
CN5000A,
CN5001,GESU-036
CN5001A,GESU-034
CN5001B,GESU-044
CN5001C,GESU-044
CN5001D,GESU-048
CN5002,GESU-036
CN5003,GESU-036
CN5004,GESU-043
CN5005,GESU-043
CN5006,GESU-043
CN5007,GESU-042
CN5008,GESU-042
CN5009,GESU-042
CN5010,GESU-045
CN5010A,GESU-045
CN5011,GESU-001
CN5011A,GESU-001
CN5012,GESU-001
CN5012A,GESU-048
CN5013,GESU-045
CN5014,GESU-042
CN5015,GESU-042
CN5015A,GESU-042
CN5017,GESU-043
CN5018,GESU-036
CN5018A,GESU-036
CN5019,GESU-037
CN5019A,GESU-037
CN5020,GESU-038
CN5021,GESU-038
CN5022,GESU-039
CN5023,GESU-040
CN5024,GESU-040
CN5024E,
CN5025,GESU-041
CN5026,GESU-046
CN5027,GESU-047
CN5030,GESU-102
CN5030A,GESU-102
CN5030B,
CN5030C,
CN5031,GESU-101
CN5032,GESU-100
CN5032A,GESU-100
CN5032B,
CN5033,GESU-099
CN5034,GESU-098
CN5035,GESU-098
CN5036,
