short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
GESU-001,SU,0.0,0.95,3010.97
GESU-002,SU,0.0,1.15,489.1
GESU-003,Nr,6.7,1.15,126.46
GESU-004,SU,0.0,1.05,1872.6
GESU-005,SU,40.29,1.15,73.64
GESU-006,Nd,8.43,1.15,12.77
GESU-007,Ka,9.15,1.15,93.83
GESU-008,Nr,10.3,1.25,196.63
GESU-009,C,12.07,1.05,391.82
GESU-010,Kot,5.6,1.25,126.06
GESU-011,C,11.52,1.05,201.36
GESU-012,B,0.0,0.0,544.42
GESU-013,B,0.0,0.0,403.51
GESU-014,Nr,11.56,1.05,178.11
GESU-015,fa,0.0,0.95,462.57
GESU-016,fa,10.6,1.05,176.1
GESU-017,pt,10.92,1.15,83.95
GESU-018,Ne,4.81,1.15,65.26
GESU-019,Ne,8.48,1.05,372.27
GESU-020,Ne,11.64,1.15,131.13
GESU-021,SM,13.09,0.95,216.06
GESU-022,Nr,14.54,0.95,369.6
GESU-023,SU,9.93,0.95,691.68
GESU-024,pt,16.4,0.95,288.71
GESU-025,SU,17.78,1.15,30.32
GESU-026,SU,11.73,0.95,176.94
GESU-027,pt,8.87,1.05,222.54
GESU-028,Nr,0.0,1.15,2416.89
GESU-029,B1,11.04,1.05,83.16
GESU-030,Nr,9.9,1.3,43.94
GESU-031,SP,5.86,1.3,66.34
GESU-032,A1,12.39,0.85,135.25
GESU-033,B,5.15,1.05,47.35
GESU-034,A1,15.3,0.85,97.85
GESU-035,B,0.0,1.05,103.42
GESU-036, ,10.68,0.85,51.98
GESU-037,C,11.9,0.85,96.71
GESU-038,Ne,10.57,1.5,35.87
GESU-039,Nr,14.32,1.3,626.06
GESU-040,Ne,9.07,0.85,124.2
GESU-041,Nr,14.0,1.3,192.56
GESU-042,Ne,16.75,1.05,113.49
GESU-043,Nd,5.59,1.05,20.75
GESU-044,Ne,7.1,1.05,81.13
GESU-045,C,14.41,0.85,235.74
GESU-046,C,14.06,0.85,234.27
GESU-047,fa,11.5,0.95,91.97
GESU-048,fa,9.56,0.95,118.14
GESU-049,B,6.82,0.95,86.76
GESU-050,C,13.75,0.85,292.48
GESU-051,B,10.89,0.95,92.12
GESU-052,C,13.37,0.95,133.23
GESU-053,pt,10.24,0.95,81.58
GESU-054,pt,14.04,0.95,112.89
GESU-055,C,0.0,0.0,124.27
GESU-056,C,0.0,0.0,132.77
GESU-057,Nd,14.29,1.55,11.0
GESU-058,Nr,17.73,1.25,208.8
GESU-059,Nr,10.54,1.25,267.54
GESU-060,C,6.59,0.95,189.38
GESU-061,C,0.0,0.0,211.12
GESU-062,C,9.0,0.95,61.84
GESU-063,B,5.98,0.95,22.98
GESU-064,C,15.82,0.85,163.5
GESU-065,pt,9.0,0.95,51.05
GESU-066,pt,11.52,0.95,77.78
GESU-067,C,16.3,0.85,159.84
GESU-068,B,0.0,0.0,76.54
GESU-069,pt,6.73,0.95,55.11
GESU-070,B,15.68,0.85,245.41
GESU-071,B,0.0,0.0,87.09
GESU-072,C,0.0,0.0,265.91
GESU-073,Ne,15.47,0.85,105.93
GESU-074,C,11.6,0.85,169.63
GESU-075,pt,8.37,0.85,215.77
GESU-076,Knt,4.3,0.85,34.66
GESU-077,pt,7.82,0.95,96.67
GESU-078,B1,0.0,0.0,18.85
GESU-079,B,5.09,0.85,800.59
GESU-080,B1,0.0,0.0,94.92
GESU-081,B1,12.3,0.95,100.12
GESU-082,Ka,4.61,0.95,152.1
GESU-083,fa,7.66,1.15,123.94
GESU-084,C,13.4,1.05,184.23
GESU-085,Nr,7.62,1.15,37.79
GESU-086,fa,5.54,1.1,15.69
GESU-087,fa,14.21,1.15,404.97
GESU-088,C,0.0,0.0,212.09
GESU-089,C,0.0,0.0,183.47
GESU-090,C,16.22,0.95,223.64
GESU-091,C,9.76,1.05,99.35
GESU-092,B,10.95,1.05,93.59
GESU-093,Ka,8.25,0.95,256.39
GESU-094,Ka,7.0,1.05,85.41
GESU-095,Ka,7.16,0.95,70.86
GESU-096,Ka,5.32,0.95,110.4
GESU-097,Ka,8.59,0.95,226.8
GESU-098,Nr,14.62,1.25,313.96
GESU-099,Nr,14.68,1.15,309.97
GESU-100,Nr,11.42,1.25,311.16
GESU-101,Nr,11.33,1.25,317.76
GESU-102,Ne,11.51,1.25,230.14
GESU-103,Nr,11.34,1.25,315.02
GESU-104,Nr,11.42,1.25,309.75
GESU-105,Ne,0.0,0.0,0.0
GESU~NO_BUILDING,,,,
