Full_sesti,short_alias
CN2873,
CN2873C,
CN2874,GHET-025
CN2874A,
CN2874B,
CN2875,GHET-005
CN2876,GHET-005
CN2877,GHET-005
CN2878,GHET-005
CN2879,GHET-006
CN2880,GHET-006
CN2881,GHET-006
CN2881A,GHET-006
CN2882,GHET-006
CN2883,GHET-007
CN2884,GHET-007
CN2884A,GHET-007
CN2885,GHET-007
CN2886,GHET-007
CN2887,GHET-008
CN2888,GHET-008
CN2889,GHET-008
CN2890,GHET-008
CN2891,GHET-008
CN2892,GHET-009
CN2893,GHET-009
CN2894,GHET-010
CN2895,GHET-010
CN2896,GHET-010
CN2897,GHET-010
CN2898,GHET-012
CN2899,GHET-012
CN2900,GHET-012
CN2901,GHET-012
CN2902,GHET-015
CN2902A,GHET-015
CN2902B,GHET-016
CN2903,GHET-017
CN2904,GHET-018
CN2904A,GHET-018
CN2905,GHET-018
CN2906,GHET-019
CN2907,GHET-019
CN2908,GHET-020
CN2909,GHET-020
CN2910,GHET-021
CN2911,GHET-021
CN2912,GHET-021
CN2913,GHET-022
CN2914,GHET-022
CN2915,GHET-022
CN2916,GHET-022
CN2917,GHET-023
CN2918,GHET-023
CN2919,GHET-023
CN2919A,GHET-024
CN2920,GHET-024
CN2921,GHET-024
