short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
GHET-001,B,16.24,1.05,152.57
GHET-002,B,11.76,1.05,103.46
GHET-003,B/SU,15.44,1.05,154.12
GHET-004,fa,11.5,1.25,29.38
GHET-005,B,18.1,1.25,156.1
GHET-006,B,11.5,1.22,37.27
GHET-007,SU,11.5,1.22,37.27
GHET-008,SU,14.05,1.25,212.78
GHET-009,SU,7.6,1.25,105.83
GHET-010,B,16.0,1.25,69.5
GHET-011,B,0.0,1.15,151.58
GHET-012,B,9999.0,1.15,24165.09
GHET-013,B,9999.0,0.85,23844.57
GHET-014,B,9999.0,0.85,23732.35
GHET-015,C,17.78,0.85,186.02
GHET-016,B,0.0,0.0,121.6
GHET-017,B,16.83,1.25,125.43
GHET-018,B,18.1,1.25,120.33
GHET-019,B,0.0,0.0,202.27
GHET-020,B,14.61,1.05,136.37
GHET-021,Nd,4.1,1.25,10.77
GHET-022,Kna,5.45,1.05,78.96
GHET-023,Nd,5.12,1.15,129.49
GHET-024,Nd,3.9,1.15,28.54
GHET-025,Ne,4.82,1.15,18.97
GHET-026,Ne,14.35,1.15,423.11
GHET~NO_BUILDING,,,,
