Full_sesti,short_alias
CN96A,GIOB-013
CN96B,GIOB-013
CN96C,GIOB-014
CN96D,
CN96E,
CN96F,GIOB-016
CN96G,GIOB-016
CN96H,GIOB-016
CN96I,GIOB-016
CN96L,GIOB-016
CN96P,GIOB-017
CN564,GIOB-022
CN564A,GIOB-022
CN564B,GIOB-022
CN564C,GIOB-022
CN564D,GIOB-022
CN564E,GIOB-022
CN565,GIOB-021
CN566,GIOB-025
CN566A,GIOB-025
CN566B,GIOB-019
CN566C,GIOB-019
CN566E,GIOB-025
CN567,GIOB-023
CN568,GIOB-028
CN575,GIOB-029
CN576,GIOB-029
CN578,GIOB-029
CN579,GIOB-029
CN579A,GIOB-029
CN580,GIOB-029
CN581,GIOB-029
CN582,GIOB-029
CN583,GIOB-029
CN584,GIOB-029
CN585,GIOB-029
CN586,GIOB-029
CN587,GIOB-029
CN588,GIOB-029
CN589,GIOB-029
CN590,GIOB-029
CN591,GIOB-029
CN592,GIOB-029
CN593,GIOB-029
CN594,GIOB-029
CN595,GIOB-029
CN596,GIOB-029
CN597,GIOB-029
CN598,GIOB-029
CN599,GIOB-029
CN600,GIOB-029
CN601,GIOB-029
CN602,GIOB-029
CN603,GIOB-029
CN604,GIOB-029
CN605,GIOB-029
CN606,GIOB-029
CN607,GIOB-029
CN608,GIOB-029
CN609,GIOB-029
CN610,GIOB-029
CN611,GIOB-029
CN612,GIOB-029
CN613,GIOB-029
CN613A,GIOB-030
CN614,GIOB-031
CN615,GIOB-032
CN616,GIOB-032
CN617,GIOB-032
CN617A,
CN618,
CN619,GIOB-034
CN619A,GIOB-002
CN619B,GIOB-002
CN619C,GIOB-002
CN619D,GIOB-002
CN619E,GIOB-002
CN620,
CN620A,
CN621,
CN621A,
CN621B,
CN621C,
CN621D,
CN621E,
CN622,GIOB-001
CN623,GIOB-001
CN624,GIOB-001
CN625,GIOB-001
CN626,GIOB-001
CN627,GIOB-001
