short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
GIOB-001,Nr,14.45,0.95,425.61
GIOB-002,A1,6.85,1.05,159.23
GIOB-003,SU,0.0,1.15,979.66
GIOB-004,SU,11.34,1.25,593.55
GIOB-005,Nr,10.67,1.25,251.44
GIOB-006,Kna,4.1,1.35,11.87
GIOB-007,Nr,16.73,1.45,316.34
GIOB-008,Nr,18.7,1.45,635.6
GIOB-009,Nr,5.83,1.45,66.94
GIOB-010,Knt,6.2,1.45,82.61
GIOB-011,Knt,6.2,1.45,82.61
GIOB-012,Kna,0.0,1.45,280.84
GIOB-013,Nr,15.55,1.45,424.04
GIOB-014,Nr,22.35,3.15,270.87
GIOB-015,Nr,17.88,3.15,1515.42
GIOB-016,Nr,18.66,1.35,937.08
GIOB-017,Nr,7.97,1.55,123.39
GIOB-018,Nr,5.08,1.55,1054.37
GIOB-019,Nr,13.0,1.25,489.55
GIOB-020,Knt,4.4,1.25,60.29
GIOB-021,fa,9.32,1.15,143.19
GIOB-022,fa,9999.0,1.25,15083.02
GIOB-023,SU,9999.0,0.0,15180.48
GIOB-024,SU,0.0,1.15,27.89
GIOB-025,O,11.19,1.15,125.81
GIOB-026,O,9999.0,1.15,15604.26
GIOB-027,SU,0.0,1.15,0.0
GIOB-028,SU,10.91,1.15,197.53
GIOB-029,D,16.1,0.95,308.59
GIOB-030,SU,6.62,0.95,78.34
GIOB-031,SU,9999.0,0.95,15932.84
GIOB-032,B1,9999.0,0.85,16279.22
GIOB-033,O,10.87,1.05,187.63
GIOB-034,A1,7.08,1.05,47.73
GIOB-035,SM,0.0,1.35,446.6
GIOB-036, ,4.61,1.95,23.94
GIOB-037,Nr,5.04,1.35,169.7
GIOB-038,Nr,5.08,1.35,47.35
GIOB-039,Nr,7.75,1.45,233.83
GIOB-040,Nr,0.0,1.45,30.42
GIOB-041,Ne,0.0,1.45,774.08
GIOB-042,Ne,0.0,1.45,156.43
GIOB-043,Ne,11.56,1.35,553.31
GIOB-044,Ne,0.0,1.35,971.22
GIOB-045,Ne,0.0,1.35,971.22
GIOB-046,Ne,12.37,1.55,559.38
GIOB-047,Nr,8.28,1.45,565.6
GIOB~NO_BUILDING,,,,
