short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
GIRO-001,Nr,4.3,1.55,107.56
GIRO-002,Nr,6.4,1.75,72.18
GIRO-003,Nr,5.8,1.85,71.25
GIRO-004,Nr,5.0,1.85,99.42
GIRO-005,Nr,5.5,1.85,42.86
GIRO-006,Knt,5.5,1.85,93.2
GIRO-007,Knt,6.0,1.75,412.08
GIRO-008,Nr,5.0,1.45,52.11
GIRO-009,C,0.0,1.15,55.93
GIRO-010,Bg,0.0,1.15,266.53
GIRO-011,Nr,12.21,2.05,256.33
GIRO-012,Bg,0.0,0.0,117.86
GIRO-013,Bg,0.0,0.0,122.31
GIRO-014,Bg,0.0,0.0,119.53
GIRO-015,Bg,0.0,0.0,122.97
GIRO-016,Nr,0.0,2.05,829.23
GIRO-017,Bg,0.0,0.0,113.05
GIRO-018,Bg,0.0,0.0,119.92
GIRO-019,Knt,6.85,1.85,86.74
GIRO-020,Nr,6.55,2.05,126.22
GIRO-021,Bg,0.0,0.0,113.9
GIRO-022,Nr,14.8,2.05,151.79
GIRO-023,C,0.0,0.0,110.33
GIRO-024,C,0.0,0.95,204.04
GIRO-025,Nr,13.3,1.25,39.03
GIRO-026,Nr,0.0,1.25,847.83
GIRO-027,Knt,5.2,1.25,108.31
GIRO-028,C,4.3,0.95,160.72
GIRO-029,Nr,11.45,1.25,224.5
GIRO-030,C,11.1,0.85,259.85
GIRO-031,Knt,7.9,1.25,166.63
GIRO-032,C,15.9,0.75,209.46
GIRO-033,fa,17.0,0.75,202.14
GIRO-034,A,0.0,0.0,51.3
GIRO-035,A,0.0,0.0,50.11
GIRO-036,A,0.0,0.0,44.29
GIRO-037,A,7.2,1.15,35.96
GIRO-038,Ne,7.2,1.15,46.3
GIRO-039,fa,10.25,0.75,159.26
GIRO-040,Ne,0.0,1.15,126.0
GIRO-041,A,9.05,1.15,66.08
GIRO-042,A,0.0,0.0,39.92
GIRO-043,Knt,4.05,1.35,18.83
GIRO-044,Nr,6.2,1.25,326.9
GIRO-045,Nr,0.0,1.35,137.39
GIRO-046,Nr,4.65,1.35,47.66
GIRO-047,Knt,0.0,1.35,246.52
GIRO-048,Knt,3.8,1.35,36.64
GIRO-049,Knt,0.0,1.25,28.25
GIRO-050,Ka,6.0,1.35,165.27
GIRO-051,Knt,0.0,1.35,156.74
GIRO-052,Ne,5.7,1.35,572.07
GIRO-053,B1,0.0,1.15,408.48
GIRO-054,Knt,7.0,1.15,87.84
GIRO-055,Knt,0.0,0.0,0.0
GIRO-056,B1,6.25,1.15,63.85
GIRO-057,SU,16.25,0.65,158.31
GIRO-058,Ne,0.0,0.95,1800.97
GIRO-059,SU,10.35,0.65,158.37
GIRO-060,B,12.0,0.75,71.92
GIRO-061,Nd,18.8,0.75,234.11
GIRO-062,Nd,0.0,0.95,65.05
GIRO-063,Nr,17.05,0.95,707.46
GIRO-064,fa,14.65,0.75,241.42
GIRO-065,Nr,17.05,1.15,593.16
GIRO-066,fa,16.75,1.15,104.77
GIRO-067,fa,10.3,1.15,107.3
GIRO-068,fa,10.3,1.25,62.88
GIRO-069,Bg,0.0,0.0,72.01
GIRO-070,B,9.5,0.75,72.27
GIRO-071,Ne,0.0,0.0,51.72
GIRO-072,Nr,10.15,1.15,152.18
GIRO-073,Bg,0.0,0.0,122.65
GIRO-074,Ne,9.5,1.05,70.17
GIRO-075,Nr,17.3,1.35,223.84
GIRO-076,Nr,12.25,1.35,165.76
GIRO-077,Ne,10.5,0.77,232.7
GIRO-078,B,10.65,0.77,123.65
GIRO-079, ,7.4,1.35,30.56
GIRO-080,B,0.0,1.35,72.79
GIRO-081,pt,7.6,1.35,71.43
GIRO-082, ,0.0,1.05,13.87
GIRO-083,Bg,10.2,0.75,140.01
GIRO-084,Bg,0.0,0.0,57.62
GIRO-085,Bg,0.0,0.0,84.09
GIRO-086,pt,11.0,1.35,97.12
GIRO-087,Ne,13.75,0.75,62.96
GIRO-088,Or,11.0,1.05,57.31
GIRO-089,fa,10.25,1.05,120.14
GIRO-090,fa,10.6,1.05,231.13
GIRO-091,Bg,10.3,1.15,146.98
GIRO-092,Bg,8.95,0.75,89.19
GIRO-093,B,0.0,0.75,105.68
GIRO-094,B1,0.0,0.0,121.36
GIRO-095,Bg,0.0,0.0,68.87
GIRO-096,Knt,0.0,1.05,16.8
GIRO-097,Knt,0.0,1.05,94.01
GIRO-098,B1,0.0,0.75,94.96
GIRO-099,Knt,0.0,1.15,319.55
GIRO-100,fa,0.0,1.15,135.89
GIRO-101,B,0.0,0.75,231.22
GIRO-102,Knt,0.0,0.0,622.85
GIRO-103,Kt,0.0,1.15,15.41
GIRO-104,Ne,9.5,1.15,315.72
GIRO-105,Kt,0.0,1.15,154.94
GIRO-106,O,10.15,0.75,203.27
GIRO-107,Nd,6.3,1.15,11.33
GIRO-108,B,10.7,1.15,101.46
GIRO-109,Ne,7.4,1.15,45.89
GIRO-110,B,0.0,0.0,100.9
GIRO-111,B,0.0,0.0,103.68
GIRO-112,Ne,0.0,0.0,98.11
GIRO-113,Ne,11.7,1.15,109.45
