short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
GRIS-001,Ka,3.47,0.95,30.24
GRIS-002,pt,7.28,0.95,47.3
GRIS-003,pt,0.0,0.95,16.8
GRIS-004,B,13.5,0.95,69.26
GRIS-005,A1,0.0,0.95,10.5
GRIS-006,B,0.0,0.95,89.28
GRIS-007,fa,12.9,1.25,103.3
GRIS-008,fa,0.0,1.25,60.53
GRIS-009,fa,14.62,1.35,369.33
GRIS-010,Bg,0.0,1.35,274.87
GRIS-011,pt,14.48,1.35,143.59
GRIS-012,B,10.45,1.45,117.75
GRIS-013,B,10.45,1.45,117.75
GRIS-014, ,5.5,1.45,9.55
GRIS-015, ,7.5,1.45,14.85
GRIS-016,Or,22.34,1.45,560.91
GRIS-017, ,5.5,1.45,12.58
GRIS-018,B,14.15,1.45,73.63
GRIS-019,pt,12.55,1.45,80.67
GRIS-020,pt,18.0,1.35,260.4
GRIS-021,B1,0.0,1.45,363.51
GRIS-022,Or,19.3,1.45,213.7
GRIS-023,fa,0.0,1.45,20.52
GRIS-024,Bg,18.46,1.25,391.0
GRIS-025,Bg,15.98,1.25,49.84
GRIS-026,Bg,0.0,1.25,32.22
GRIS-027,Bg,17.0,1.25,588.55
GRIS-028,Bg,0.0,0.0,267.2
GRIS-029,Bg,14.64,0.95,181.61
GRIS-030,pt,15.38,0.95,211.17
GRIS-031,pt,17.2,0.95,536.94
GRIS-032,pt,15.35,0.95,127.78
GRIS-033,A1,0.0,0.0,10.98
GRIS-034,B,15.98,0.95,161.31
GRIS-035,B,13.59,0.95,193.37
GRIS-036,Or,13.62,0.95,115.12
GRIS-037,B,17.84,0.95,160.99
GRIS-038,B,0.0,1.15,412.27
GRIS-039,fa,8.98,1.15,95.83
GRIS-040,fa,10.0,1.15,41.49
GRIS-041,Ne,14.3,1.35,136.56
GRIS-042,C,17.2,1.45,324.73
GRIS-043,Ne,16.62,1.45,404.35
GRIS-044,pt,13.05,0.85,347.69
GRIS-045,pt,16.78,0.85,280.5
GRIS-046,pt,16.43,0.85,378.13
GRIS-047,C,14.4,0.85,236.73
GRIS-048,A1,9.49,0.95,44.46
GRIS-049,A1,16.03,0.95,113.65
GRIS-050,pt,0.0,0.95,204.38
GRIS-051,Bg,0.0,0.0,81.59
GRIS-052,Bg,0.0,0.0,39.2
GRIS-053,Bg,13.5,0.95,38.08
GRIS-054,Bg,10.1,0.95,56.8
GRIS-055,pt,10.38,0.85,218.92
GRIS-056,A,0.0,0.0,24.35
GRIS-057,pt,13.2,1.15,180.77
GRIS-058,Bg,11.09,1.15,67.87
GRIS-059,B,11.5,0.85,79.97
GRIS-060,B,11.9,0.85,35.59
GRIS-061,Bg,12.65,0.95,90.86
GRIS-062,B,12.76,0.85,88.45
GRIS-063,B,0.0,0.0,66.96
GRIS-064,B,14.28,0.85,30.03
GRIS-065,B,15.03,0.85,185.18
GRIS-066,B,14.43,0.85,70.91
GRIS-067,B,15.55,0.85,97.68
GRIS-068,SUo,15.0,0.85,112.45
GRIS-069,SUo,14.35,0.85,1018.17
GRIS-070,SUo,16.67,0.95,178.19
GRIS-071,fa,10.73,0.95,230.17
GRIS-072,SUo,18.2,0.95,148.89
GRIS-073,SUo,16.73,0.95,335.7
GRIS~NO_BUILDING,,,,
