short_alias,TP_CLS_ED,Qu_Gronda,Superficie,list_of_addresses,floors_est
LEON-001,fa,0.0,38.88,CN1793,1
LEON-002,C,9.0,92.47,"CN1778, CN1792",3
LEON-003,C,12.12,254.1,"CN1794, CN1795, CN1796",5
LEON-004,B,12.49,221.22,"CN1797, CN1797A, CN1797B",5
LEON-005, ,6.15,85.01,"CN1798, CN1799",3
LEON-006, ,4.27,65.29,none,2
LEON-007,Nr,6.95,29.37,CN1800,3
LEON-008,Ka,16.28,217.09,"CN1771, CN1772",6
LEON-009,C,14.36,127.81,"CN1775, CN1776, CN1777",5
LEON-010,A,13.15,36.23,CN1801,5
LEON-011,Ka,0.0,344.92,none,1
LEON-012,Or,12.37,46.55,CN1802,5
LEON-013,Ka,14.64,60.09,"CN1768, CN1769, CN1770",5
LEON-014,A,8.52,53.9,CN1803,3
LEON-015,Bg,13.48,57.24,"CN1824, CN1825",5
LEON-016,pt,10.33,135.77,"CN1828, CN1830, CN1831, CN1832, CN1833, CN1834, CN1835",4
LEON-017,A,6.65,27.96,none,3
LEON-018,Ka,15.69,394.35,"CN1764, CN1765, CN1766, CN1767",6
LEON-019,A,0.0,4.19,none,1
LEON-020,Ka,7.4,69.49,none,3
LEON-021,Ka,5.04,171.77,none,2
LEON-022, ,14.92,99.27,"CN1804, CN1809, CN1810",5
LEON-023,B,9.25,67.8,none,4
LEON-024, ,0.0,26.89,none,1
LEON-025,Nd,14.65,127.15,"CN1822, CN1823",5
LEON-026,pt,0.0,41.94,none,1
LEON-027,B,7.76,48.15,"CN1972, CN1973, CN1974, CN1975, CN1975A, CN1975B",3
LEON-028,Ka,4.83,67.91,none,2
LEON-029,Bg,9.75,52.37,"CN1807, CN1808",4
LEON-030,Or,10.55,95.56,CN1976,4
LEON-031,Nd,5.15,15.96,none,2
LEON-032,pt,12.82,98.16,"CN1977, CN1978",5
LEON-033,pt,11.03,444.8,"CN1806, CN1979, CN1980, CN1981, CN1981A",4
LEON-034,Bg,14.61,90.02,"CN1114, CN1115, CN1115A, CN1116, CN1117",5
LEON-035,fa,11.28,119.16,"CN1111, CN1112, CN1113",4
LEON-036,A1,8.02,70.53,CN1110,3
LEON-037,fa,10.68,175.3,"CN1118, CN1118A, CN1119, CN1120, CN1121, CN1122, CN1122A",4
LEON-038,fa,23.0,245.36,"CN1123, CN1124, CN1125",8
LEON-039,pt,9.05,186.51,none,4
LEON-040,A,12.92,35.73,CN1249,5
LEON-041,fa,7.79,54.06,none,3
LEON-042,P,7.31,157.79,"CN1108, CN1108A",3
LEON-043,fa,10.05,65.53,"CN1250, CN1251",4
LEON-044,Nd,4.39,32.16,CN1107,2
LEON-045,Bg,12.35,89.94,"CN1126, CN1129, CN1130, CN1131, CN1132",5
LEON-046,Ne,14.43,140.82,"CN1244, CN1245, CN1246, CN1247, CN1248, CN1248A",5
LEON-047,Knt,4.71,77.01,none,2
LEON-048,fa,0.0,79.34,"CN1252, CN1253",1
LEON-049,Bg,18.11,195.04,"CN1133, CN1134, CN1135, CN1135A",7
LEON-050,fa,0.0,44.95,"CN1254, CN1255",1
LEON-051,SU,4.78,46.81,none,2
LEON-052,fa,16.24,231.34,"CN1257, CN1258, CN1259, CN1265, CN1266, CN1268",6
LEON-053,Ne,17.65,110.23,"CN1240, CN1241, CN1242, CN1243",6
LEON-054,A,18.11,83.41,"CN1136, CN1137, CN1138, CN1139, CN1140, CN1141",7
LEON-055,fa,21.44,308.39,"CN1107A, CN1155, CN1156, CN1156A, CN1156B, CN1156C",8
LEON-056,SU,14.18,51.62,"CN1142, CN1143",5
LEON-057,fa,18.23,332.52,"CN1144, CN1145, CN1146, CN1147, CN1148, CN1149",7
