short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
MACE-001,Po,0.0,0.0,330.24
MACE-002,Po,7.0,1.15,257.55
MACE-003,Po,7.0,1.15,279.72
MACE-004,Po,7.0,1.15,266.39
MACE-005,Po,9999.0,1.15,19277.79
MACE-006,Po,9999.0,1.15,140.44
MACE-007,B1,7.2,1.15,46.89
MACE-008,A,0.0,0.0,34.58
MACE-009,A,7.27,1.25,34.94
MACE-010,A,7.18,1.25,36.39
MACE-011,A,7.14,1.25,38.23
MACE-012,A1,0.0,0.0,37.05
MACE-013,A1,0.0,0.0,43.71
MACE-014,A1,7.65,1.35,44.75
MACE-015,A1,0.0,0.0,37.09
MACE-016,A1,0.0,0.0,31.86
MACE-017,A1,9.53,1.35,35.84
MACE-018,A1,7.8,1.35,36.25
MACE-019,A1,9.5,1.35,34.4
MACE-020,A,10.7,1.35,33.49
MACE-021,A,11.32,1.35,34.72
MACE-022,A,10.66,1.35,35.05
MACE-023,A,0.0,0.0,34.22
MACE-024,O,13.93,1.35,67.92
MACE-025,A,0.0,1.25,98.78
MACE-026,A,0.0,0.0,73.06
MACE-027,,0.0,0.0,107.96
MACE-028,Po,4.81,1.25,45.64
MACE-029,Po,4.68,1.25,208.97
MACE-030,,5.96,1.25,12.53
MACE-031,Po,11.91,1.35,159.59
MACE-032,O,0.0,1.15,126.61
MACE-033,O,10.8,1.15,194.75
MACE-034,Nr,8.5,1.05,49.42
MACE-035,Nr,8.5,1.05,54.55
MACE-036,Nr,0.0,0.0,57.03
MACE-037,A,8.2,1.25,50.67
MACE-038,Or,9.78,1.25,170.31
MACE-039,Nr,5.05,1.25,86.86
MACE-040,Nr,18.59,1.25,108.6
MACE-041,Nr,0.0,1.35,826.59
MACE-042,Nr,0.0,0.0,124.72
MACE-043,fa,10.06,1.25,84.59
MACE-044,O,11.76,1.25,108.26
MACE-045,B1,0.0,0.0,61.06
MACE-046,B1,0.0,0.0,51.71
MACE-047,B,10.25,1.25,69.51
MACE-048,A,9.73,1.25,64.95
MACE-049,A,0.0,0.0,45.24
MACE-050,O,0.0,1.25,156.7
MACE-051, ,5.9,1.55,197.33
MACE-052,Nr,9.18,1.65,168.8
MACE-053,Nr,5.0,1.75,16.77
MACE-054,Nr,9.23,1.75,70.09
MACE-055,Nr,12.29,1.55,208.1
MACE-056,Nr,15.64,1.45,321.79
MACE-057,B,0.0,1.45,71.21
MACE-058,B,0.0,0.0,46.7
MACE-059,B,4.78,1.44,55.29
MACE-060,Ne,18.0,1.25,208.78
MACE-061,Po,15.88,1.19,217.4
MACE-062,,5.62,1.35,26.83
MACE-063,Nr,6.4,0.85,35.62
MACE-064,Nr,4.7,0.85,113.31
MACE-065,Kna,5.0,0.85,133.84
MACE-066,Kna,5.44,0.85,335.22
MACE-067,Ne,8.1,1.25,177.45
MACE-068,Kna,6.0,1.05,187.22
MACE-069,Nr,7.5,0.95,287.35
MACE-070,Po,9999.0,0.95,19357.71
MACE-071,Po,7.0,0.95,206.22
MACE-072,Po,4.3,0.95,67.33
MACE-073,Nd,9.15,0.95,97.81
