Full_sesti,short_alias
CN2000,MADD-006
CN2001,MADD-006
CN2002,MADD-006
CN2003,MADD-006
CN2004,MADD-006
CN2005,MADD-006
CN2006,MADD-006
CN2007,MADD-007
CN2008,MADD-007
CN2009,MADD-007
CN2009A,
CN2009B,
CN2009C,
CN2010,MADD-008
CN2010A,MADD-008
CN2011,MADD-008
CN2011A,MADD-008
CN2012,MADD-009
CN2013,MADD-009
CN2013A,MADD-011
CN2013B,MADD-011
CN2014,MADD-105
CN2015,MADD-105
CN2016,MADD-105
CN2017,
CN2018,
CN2019,
CN2020,
CN2021,
CN2022,
CN2023,MADD-012
CN2023A,MADD-012
CN2024,MADD-012
CN2025,MADD-012
CN2026,MADD-081
CN2027,MADD-080
CN2028,MADD-079
CN2029,MADD-082
CN2029A,MADD-082
CN2030,MADD-084
CN2030B,MADD-084
CN2031,MADD-084
CN2031A,MADD-084
CN2032,MADD-084
CN2032A,MADD-083
CN2032B,MADD-083
CN2033,MADD-082
CN2034,MADD-082
CN2035,MADD-079
CN2036,MADD-079
CN2037,MADD-080
CN2038,MADD-081
CN2038A,MADD-081
CN2039,MADD-014
CN2040,
CN2041,MADD-017
CN2041A,MADD-017
CN2041B,MADD-016
CN2042,MADD-018
CN2043,MADD-018
CN2044,MADD-078
CN2045,MADD-078
CN2046,MADD-078
CN2047,MADD-078
CN2049,MADD-019
CN2050,MADD-019
CN2051,MADD-020
CN2051A,MADD-019
CN2052,MADD-020
CN2053,MADD-021
CN2054,MADD-021
CN2055,MADD-022
CN2056,MADD-023
CN2057,MADD-023
CN2058,MADD-025
CN2059,MADD-025
CN2060,MADD-025
CN2061,MADD-026
CN2062,MADD-026
CN2063,MADD-026
CN2064,MADD-026
CN2065,MADD-026
CN2066,MADD-026
CN2067,MADD-026
CN2068,MADD-024
CN2069,MADD-027
CN2070,MADD-027
CN2070A,MADD-027
CN2071,MADD-027
CN2072,MADD-027
CN2073,MADD-027
CN2074,MADD-028
CN2075,MADD-028
CN2076,MADD-029
CN2077,MADD-029
CN2078,MADD-029
CN2079,
CN2079A,MADD-065
CN2080,MADD-077
CN2081,MADD-075
CN2082,MADD-075
CN2083,MADD-074
CN2084,MADD-074
CN2085,MADD-074
CN2086,MADD-074
CN2086A,MADD-074
CN2087,MADD-074
CN2088,MADD-075
CN2089,MADD-076
CN2090,MADD-076
CN2091,MADD-076
CN2092,MADD-076
CN2093,MADD-076
CN2094,MADD-076
CN2095,MADD-076
CN2096,MADD-076
CN2096A,
CN2097,MADD-071
CN2098,MADD-071
CN2099,MADD-072
CN2100,MADD-073
CN2100A,MADD-073
CN2101,MADD-094
CN2102,MADD-094
CN2103,MADD-094
CN2104,MADD-094
CN2105,MADD-094
CN2106,MADD-094
CN2107,MADD-094
CN2107A,MADD-094
CN2108,MADD-094
CN2108A,MADD-094
CN2109,MADD-073
CN2110,MADD-073
CN2111,MADD-072
CN2112,MADD-071
CN2113,MADD-071
CN2114,MADD-070
CN2115,MADD-069
CN2116,MADD-069
CN2117,MADD-067
CN2118,MADD-067
CN2119,MADD-067
