short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
MARZ-001,fa,9.25,1.05,125.84
MARZ-002,fa,8.64,1.05,62.8
MARZ-003,C,4.52,0.85,45.07
MARZ-004,A,12.0,0.85,68.51
MARZ-005,fa,9.76,0.85,33.38
MARZ-006,pt,12.9,0.85,57.26
MARZ-007,pt,14.0,0.85,48.29
MARZ-008,fa,7.37,1.05,22.75
MARZ-009,pt,13.42,1.05,89.06
MARZ-010,B1,14.03,1.05,125.91
MARZ-011,C,12.09,1.05,257.83
MARZ-012,SU,17.53,0.85,645.15
MARZ-013,Bg,12.09,0.85,121.68
MARZ-014,A1,9.72,0.85,95.83
MARZ-015,B,11.13,0.85,95.43
MARZ-016,B1,10.26,0.85,204.27
MARZ-017,B1,0.0,0.85,7.84
MARZ-018,B,10.04,0.85,86.64
MARZ-019,Kna,7.6,0.85,85.4
MARZ-020, ,3.54,0.85,6.04
MARZ-021,fa,10.63,0.75,186.43
MARZ-022,Knt,4.42,0.75,37.56
MARZ-023,Ne,12.93,0.75,78.07
MARZ-024,pt,9999.0,0.85,3774.54
MARZ-025,B,9999.0,0.75,111.76
MARZ-026,B,14.31,0.85,67.14
MARZ-027,pt,13.4,0.85,100.72
MARZ-028,pt,9.46,0.85,105.37
MARZ-029,fa,9999.0,0.85,3923.98
MARZ-030,C,9999.0,0.85,116.86
MARZ-031,fa,0.0,0.0,30.22
MARZ-032,B,0.0,0.0,70.46
MARZ-033,Kna,13.5,0.85,104.52
MARZ-034,Kna,12.13,0.85,180.69
MARZ-035,Or,9.93,0.85,60.59
MARZ-036,fa,9.69,0.85,34.93
MARZ-037,fa,10.07,0.85,260.15
MARZ-038,B,6.77,0.85,58.61
MARZ~NO_BUILDING,,,,
