short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
MIRA-001,B,13.18,0.95,220.36
MIRA-002, ,16.45,0.85,612.78
MIRA-003, ,11.07,0.85,103.62
MIRA-004, ,0.0,1.5,11.15
MIRA-005, ,13.0,1.25,326.97
MIRA-006,Or,15.4,1.15,158.72
MIRA-007,C,16.35,1.15,264.9
MIRA-008,fa,7.15,1.15,177.51
MIRA-009,fa,15.92,1.15,92.79
MIRA-010,Kt,0.0,1.15,419.77
MIRA-011,Kt,4.64,1.15,45.09
MIRA-012,SU,13.36,0.85,391.96
MIRA-013, ,7.49,0.85,70.4
MIRA-014,C,16.66,1.15,639.02
MIRA-015,pt,7.7,1.15,22.88
MIRA-016,A1,11.65,1.15,228.48
MIRA-017,A1,11.04,1.15,116.38
MIRA-018,Nd,3.76,0.94,52.48
MIRA~NO_BUILDING,,,,
