short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
MISE-001,Kna,7.2,1.05,198.38
MISE-002,Knt,10.94,1.05,131.71
MISE-003,Nr,15.0,0.85,162.88
MISE-004,Bg,17.16,0.75,371.98
MISE-005,Ne,13.25,0.75,229.13
MISE-006,Ne,13.15,0.75,229.46
MISE-007,Ne,10.78,0.75,483.13
MISE-008,Ne,11.3,0.75,282.58
MISE-009,C,11.69,1.05,303.08
MISE-010,Nr,14.27,0.65,568.75
MISE-011,pt,11.6,0.65,162.9
MISE-012,C,0.0,0.65,204.34
MISE-013,C,10.45,0.65,226.57
MISE-014,A,0.0,0.85,129.55
MISE-015,A,0.0,0.85,117.3
MISE-016,A,12.68,0.85,71.77
MISE-017,B,8.31,0.75,99.36
MISE-018,A,11.35,0.75,64.64
MISE-019,A,9.23,0.75,40.07
MISE-020,A,0.0,0.0,41.38
MISE-021,B1,5.0,0.85,48.4
MISE-022,pt,11.11,0.85,121.4
MISE-023,Ne,12.36,0.85,50.66
MISE-024,Nr,10.74,0.75,217.41
MISE-025,Nr,16.66,0.75,124.46
MISE-026,Nd,16.92,0.85,97.06
MISE-027,Nd,2.3,0.9,27.56
MISE-028,Nr,14.35,0.85,40.86
MISE-029,Nr,0.0,0.0,334.54
MISE-030,Nd,0.0,0.85,426.18
MISE-031,Bg,13.18,0.85,148.88
MISE-032,pt,16.06,0.75,259.08
MISE-033,fa,13.78,0.75,161.41
MISE-034,fa,12.23,0.75,89.73
MISE-035,Or,13.0,0.75,144.29
MISE-036,Or,11.2,0.75,154.23
MISE-037,Kna,15.17,0.75,500.97
MISE-038,A1,13.12,0.75,120.63
MISE-039,C,10.58,1.05,62.35
MISE-040,Or,14.73,0.75,222.42
MISE-041,Or,14.33,0.75,237.18
MISE-042,Or,12.24,0.75,163.79
MISE-043,Knt,9999.0,0.75,5655.78
MISE-044,B,11.18,0.95,140.64
MISE-045,B,4.1,0.95,11.6
MISE-046,B,11.03,0.95,100.45
MISE-047,D,17.19,0.95,520.96
MISE-048,D,9999.0,1.05,5532.18
MISE-049,SU,18.27,1.85,320.28
MISE-050,SU,25.73,1.85,1217.6
MISE-051,Nd,5.78,1.85,53.82
MISE-052,Po,5.85,0.95,133.98
MISE-053,B,9.14,0.95,90.65
MISE-054,Or,4.55,1.05,65.41
MISE-055,C,14.0,1.05,103.03
MISE-056,pt,13.6,1.05,100.38
MISE-057,pt,11.2,0.95,172.03
MISE-058,Kna,5.8,0.95,271.25
MISE-059,C,14.57,1.05,163.92
MISE-060,Kna,4.7,0.75,387.98
MISE-061,Kna,5.43,1.05,202.02
MISE-062,C,11.17,1.15,114.41
MISE-063,B,9.49,1.05,78.12
MISE-064,Nr,9.92,1.15,93.66
MISE-065,Kna,12.47,1.15,268.0
MISE-066,B,10.12,1.15,88.17
MISE-067,Nd,0.0,1.3,6.39
MISE-068,fa,8.58,0.85,18.45
MISE-069,Nr,4.36,1.15,61.52
MISE-070,B,11.08,1.05,210.07
MISE-071,Bg,17.37,0.75,132.67
MISE-072,Kna,4.02,1.15,51.29
MISE-073,Kna,3.95,1.15,107.35
MISE-074,Kna,7.38,0.95,178.64
MISE-075,C,13.45,1.05,191.89
MISE-076,Kna,5.76,1.05,179.6
MISE-077,Nd,3.78,1.05,23.87
MISE-078,Nd,11.1,1.05,22.9
MISE-079,Nr,8.41,0.85,47.28
MISE-080,Nr,5.49,0.85,91.28
MISE-081,B1,10.3,0.85,83.83
MISE-082, ,4.15,0.92,6.81
MISE-083, ,4.34,0.92,26.42
MISE-084,D,9.59,0.85,74.31
MISE-085,pt,6.53,0.85,81.93
MISE-086,A,9.28,0.85,14.15
MISE-087, ,7.28,0.85,30.49
MISE-088, ,11.32,0.85,30.02
MISE-089,A,0.0,0.0,50.17
MISE-090, ,7.5,0.85,56.66
MISE-091,Kt,5.61,0.85,172.78
MISE-092, ,12.46,0.65,158.28
MISE-093,Kna,5.5,0.95,230.68
MISE-094,Nr,3.46,0.8,14.68
MISE-095,Nr,9.67,0.85,63.07
MISE-096,C,10.12,0.85,97.75
MISE-097,Nr,3.71,0.7,46.82
MISE-098,Nr,7.05,0.95,48.12
MISE-099,C,11.9,0.65,529.17
MISE-100,D,14.45,0.95,499.6
MISE-101,Knt,5.64,1.05,56.42
MISE-102,Nr,13.26,0.85,65.94
MISE-103,Ne,14.8,1.4,94.72
MISE-104,Knt,7.07,1.05,281.87
MISE-105,Nr,5.44,0.95,594.77
MISE-106, ,9.45,0.95,113.93
MISE-107,C,7.91,0.85,79.78
MISE-108,C,16.66,0.85,152.55
MISE-109,A,12.37,0.85,134.64
MISE-110,pt,7.03,0.75,96.0
MISE-111,D,10.79,0.85,101.98
MISE-112,D,10.65,0.75,122.83
MISE-113,Nd,7.15,0.75,277.85
MISE~NO_BUILDING,,,,
