Full_sesti,short_alias
CN3356,MORI-011
CN3356A,MORI-011
CN3357,MORI-011
CN3357A,MORI-012
CN3358,MORI-012
CN3359,MORI-012
CN3359A,
CN3360,MORI-013
CN3361,MORI-002
CN3362,
CN3362A,MORI-013
CN3363,MORI-010
CN3363A,MORI-010
CN3364,MORI-009
CN3365,MORI-009
CN3366,MORI-008
CN3367,MORI-008
CN3368,MORI-007
CN3369,MORI-007
CN3370,MORI-007
CN3371,MORI-006
CN3372,MORI-005
CN3373,MORI-005
CN3374,MORI-004
CN3374A,MORI-005
CN3375,MORI-002
CN3376,MORI-002
CN3377,MORI-071
CN3377A,MORI-071
CN3378,MORI-070
CN3378A,MORI-070
CN3378B,MORI-070
CN3379,MORI-070
CN3379A,MORI-070
CN3380,MORI-068
CN3381,
CN3382,MORI-067
CN3383,MORI-067
CN3383A,MORI-067
CN3384,MORI-067
CN3384A,MORI-016
CN3384B,MORI-016
CN3385,MORI-017
CN3386,MORI-017
CN3387,MORI-017
CN3388,MORI-016
CN3389,MORI-066
CN3390,MORI-066
CN3391,MORI-065
CN3392A,MORI-065
CN3393,MORI-020
CN3394,MORI-019
CN3395,MORI-018
CN3397,MORI-018
CN3397A,MORI-018
CN3398,
CN3399,MORI-021
CN3399A,MORI-021
CN3400,MORI-022
CN3400A,MORI-022
CN3401,MORI-060
CN3402,MORI-054
CN3403,MORI-054
CN3405,MORI-057
CN3405A,MORI-056
CN3406,MORI-056
CN3407,MORI-056
CN3408,MORI-055
CN3408A,MORI-053
CN3409,MORI-052
CN3410,MORI-052
CN3411,MORI-061
CN3412,MORI-061
CN3414,MORI-023
CN3415,MORI-023
CN3416,MORI-023
CN3417,MORI-023
CN3418,MORI-023
CN3419,MORI-061
CN3420,MORI-061
CN3421,MORI-061
CN3422,MORI-051
CN3423,MORI-051
CN3424,MORI-050
CN3425,MORI-050
CN3426,MORI-049
CN3427,MORI-048
CN3428,MORI-048
CN3429,MORI-047
CN3430,MORI-063
CN3431,MORI-025
CN3432,MORI-025
CN3432A,MORI-024
CN3433,MORI-024
CN3434,MORI-024
CN3434A,MORI-024
CN3434B,MORI-062
CN3434C,
CN3434D,MORI-062
CN3435,MORI-026
CN3436,MORI-037
CN3436A,MORI-037
CN3436B,MORI-037
CN3437,
CN3437A,MORI-039
CN3437B,MORI-038
CN3438,MORI-040
CN3438B,MORI-042
CN3439,MORI-031
CN3440,
CN3440A,MORI-032
CN3441,MORI-032
CN3442,MORI-033
CN3443,MORI-033
CN3443A,
CN3444,MORI-036
CN3445,MORI-036
CN3446,MORI-036
CN3447,MORI-035
CN3447A,MORI-035
CN3447B,MORI-035
CN3448,MORI-026
CN3449,MORI-027
CN3450,
CN3450A,MORI-034
CN3450B,MORI-034
CN3451,MORI-029
CN3451A,MORI-029
CN3452,MORI-028
CN3453,MORI-028
CN3454,
CN3455A,MORI-029
CN3455B,MORI-030
