short_alias,list_of_addresses
MORI-001,"CN3356, CN3356A, CN3357"
MORI-002,"CN3363, CN3363A"
MORI-003,"CN3357A, CN3358, CN3359"
MORI-004,"CN3364, CN3365"
MORI-005,"CN3366, CN3367"
MORI-006,"CN3360, CN3362A"
MORI-007,"CN3368, CN3369, CN3370"
MORI-008,none
MORI-009,CN3371
MORI-010,none
MORI-011,"CN3372, CN3373, CN3374A"
MORI-012,none
MORI-013,"CN3361, CN3375, CN3376"
MORI-014,none
MORI-015,CN3374
MORI-016,"CN3377, CN3377A"
MORI-017,"CN3385, CN3386, CN3387"
MORI-018,"CN3395, CN3397, CN3397A"
MORI-019,"CN3384A, CN3384B, CN3388"
MORI-020,CN3394
MORI-021,"CN3382, CN3383, CN3383A, CN3384"
MORI-022,CN3393
MORI-023,"CN3399, CN3399A"
MORI-024,"CN3391, CN3392A"
MORI-025,CN3380
MORI-026,"CN3389, CN3390"
MORI-027,none
MORI-028,"CN3400, CN3400A"
MORI-029,"CN3378, CN3378A, CN3378B, CN3379, CN3379A"
MORI-030,none
MORI-031,"CN3414, CN3415, CN3416, CN3417, CN3418"
MORI-032,none
MORI-033,CN3401
MORI-034,"CN3411, CN3412, CN3419, CN3420, CN3421"
MORI-035,none
MORI-036,"CN3432A, CN3433, CN3434, CN3434A"
MORI-037,"CN3409, CN3410"
MORI-038,"CN3431, CN3432"
MORI-039,"CN3402, CN3403"
MORI-040,CN3408A
MORI-041,"CN3422, CN3423"
MORI-042,CN3405
MORI-043,"CN3434B, CN3434D"
MORI-044,"CN3424, CN3425"
MORI-045,CN3408
MORI-046,"CN3405A, CN3406, CN3407"
MORI-047,CN3426
MORI-048,CN3430
MORI-049,"CN3427, CN3428"
MORI-050,"CN3436, CN3436A, CN3436B"
MORI-051,CN3429
MORI-052,CN3437B
MORI-053,none
MORI-054,CN3437A
MORI-055,none
MORI-056,none
MORI-057,CN3438
MORI-058,CN3438B
MORI-059,none
MORI-060,none
MORI-061,"CN3447, CN3447A, CN3447B"
MORI-062,"CN3444, CN3445, CN3446"
MORI-063,"CN3450A, CN3450B"
MORI-064,"CN3442, CN3443"
MORI-065,"CN3451, CN3451A, CN3455A"
MORI-066,"CN3440A, CN3441"
MORI-067,CN3455B
MORI-068,CN3439
MORI-069,"CN3435, CN3448"
MORI-070,CN3449
MORI-071,"CN3452, CN3453"
