short_alias,TP_CLS_ED,Qu_Gronda,Superficie,list_of_addresses,floors_est
ORME-001,pt,9999.0,5835.93,"CN2845, CN2847, CN2873A",3333
ORME-002,pt,7.95,44.98,CN2847A,3
ORME-003,C,0.0,90.35,"CN2848, CN2849, CN2850A",1
ORME-004,C,0.0,138.8,"CN2850, CN2851",1
ORME-005,C,9999.0,5802.33,"CN2842, CN2843, CN2844",3333
ORME-006,C,0.0,155.56,"CN2852, CN2853, CN2854",1
ORME-007,C,0.0,142.23,CN2855,1
ORME-008,C,0.0,165.7,"CN2856A, CN2860",1
ORME-009,Knt,9999.0,5479.01,"CN2835, CN2836, CN2837, CN2838, CN2839, CN2840, CN2841",3333
ORME-010,C,0.0,157.76,"CN2858A, CN2859, CN2859A",1
ORME-011,fa,9999.0,5472.77,none,3333
ORME-012,Nr,11.1,153.98,"CN2832A, CN2833, CN2833A, CN2834",4
ORME-013,Knt,4.7,229.76,none,2
ORME-014,Nr,9999.0,5452.57,none,3333
ORME-015,Nr,0.0,21.91,none,1
ORME-016,C,9999.0,39.23,CN2858,3333
ORME-017,Nd,3.7,17.02,none,2
ORME-018,Nr,9999.0,23536.41,CN2832,3333
ORME-019,Ne,9999.0,23542.63,CN2831,3333
ORME-020,Ne,6.66,33.94,none,3
ORME-021,Ne,12.71,119.31,"CN2824, CN2825",5
ORME-022,Ne,8.28,11.95,none,3
ORME-023,Or,5.3,68.9,none,2
ORME-024,Ne,11.65,155.87,"CN2826, CN2827, CN2828, CN2829, CN2830",4
ORME-025,B,15.16,112.66,CN2820,6
ORME-026,Ne,9999.0,5267.31,"CN2822, CN2823",3333
ORME-027,Ne,0.0,64.59,CN2821,1
ORME-028,Or,8.2,188.66,none,3
ORME-029,Or,9.43,71.66,"CN2819, CN2819A, CN2819C",4
ORME-030,Or,14.67,296.68,"CN2805, CN2805A, CN2806, CN2807, CN2808, CN2809, CN2810",5
ORME-031,B,8.75,68.5,"CN2811, CN2812",3
ORME-032,B,9999.0,5158.35,"CN2813, CN2813A",3333
ORME-033,pt,7.38,104.36,CN2814A,3
ORME-034,pt,0.0,87.79,"CN2815, CN2815A",1
ORME-035,Or,7.6,107.36,CN2816,3
ORME-036,Or,13.36,231.21,"CN2817, CN2818, CN2818A",5
ORME-037,Or,8.34,67.0,"CN2803, CN2804",3
ORME-038,fa,11.63,197.99,none,4
ORME-039,fa,12.65,191.6,none,5
ORME-040,pt,11.65,152.74,"CN2800, CN2801, CN2802",4
ORME-041,Nr,0.0,105.57,none,1
ORME-042,fa,11.59,23.78,none,4
ORME-043,pt,9999.0,4981.45,none,3333
ORME-044,Ne,11.03,132.4,"CN2796, CN2797, CN2797A, CN2798, CN2799, CN2799A",4
ORME-045,B,9.77,89.64,"CN2793, CN2794, CN2795",4
ORME-046,Ne,9.72,86.4,"CN2790, CN2791B",4
ORME-047,B,0.0,56.75,"CN2791A, CN2792",1
ORME-048,Nr,7.9,136.14,none,3
ORME-049,Ne,9999.0,5094.75,"CN2789A, CN2789B",3333
ORME-050,Bg,0.0,204.84,"CN2747, CN2748, CN2749, CN2750, CN2751, CN2752, CN2752A, CN2753, CN2754, CN2755, CN2756, CN2757",1
ORME-051,C,0.0,124.79,"CN2758, CN2759, CN2759A",1
ORME-052,fa,12.68,69.15,"CN2738, CN2739, CN2740, CN2741",5
ORME-053,C,0.0,165.41,"CN2759B, CN2760, CN2761, CN2761A",1
ORME-054, ,6.29,57.3,"CN2743, CN2745",3
ORME-055,C,0.0,160.06,"CN2762, CN2763",1
ORME-056, ,6.33,34.07,none,3
ORME-057,C,9999.0,424.49,"CN2725, CN2764, CN2765",3333
ORME-058, ,11.52,215.36,"CN2732, CN2733, CN2734, CN2735, CN2736, CN2737, CN2741A, CN2741B, CN2742",4
ORME-059,Ne,13.42,140.97,"CN2726, CN2726A, CN2726B",5
ORME-060,fa,9.54,117.01,"CN2728, CN2729, CN2730, CN2731",4
ORME-061,fa,13.97,84.88,"CN2711, CN2712, CN2712A",5
ORME-062,D,15.85,261.45,"CN2716, CN2717, CN2718, CN2719, CN2719A, CN2720, CN2721, CN2721A, CN2722, CN2723",6
ORME-063,fa,10.78,94.13,"CN2713, CN2713A",4
ORME-064,Knt,7.55,103.68,CN2714A,3
ORME-065,pt,4.16,35.82,none,2
ORME-066,fa,9.29,79.27,"CN2708, CN2710",4
ORME-067,Knt,0.0,246.61,"CN2723A, CN2723B, CN2724",1
ORME-068,D,9.64,82.57,"CN2714, CN2715",4
ORME-069,Nd,8.93,58.33,none,3
ORME-070,Nd,13.53,22.19,none,5
ORME-071,pt,6.73,67.7,CN2706,3
ORME-072,fa,10.1,84.45,CN2705,4
ORME-073,O,5.54,110.18,CN2704,2
ORME-074,Nr,10.63,204.93,"CN2704D, CN2704F",4
ORME-075,Nr,8.6,193.77,"CN2686, CN2687, CN2689",3
ORME-076,O,11.02,200.47,none,4
ORME-077,B,6.77,172.63,"CN2704B, CN2704E",3
ORME-078,C,8.74,180.21,"CN2681, CN2682, CN2683, CN2684, CN2685",3
ORME-079,B,7.66,79.3,none,3
ORME-080,O,11.43,142.86,none,4
ORME-081,Ne,10.98,230.29,none,4
ORME-082, ,12.88,175.86,"CN2675A, CN2676, CN2677, CN2678, CN2679, CN2680",5
ORME-083, ,0.0,16.65,none,1
ORME-084,pt,7.52,251.38,"CN2670, CN2671, CN2672, CN2673, CN2674, CN2675",3
ORME-085,B,12.58,121.85,"CN2668, CN2669, CN2669A",5
ORME-086,Nr,14.0,267.99,"CN2666, CN2666B",5
ORME-087,B,12.5,124.57,"CN2668A, CN2668B, CN2668C",5
ORME-088,A,10.67,56.92,CN2667,4
ORME-089,B1,10.04,44.32,CN2655,4
ORME-090,Bg,12.58,80.47,"CN2652, CN2653, CN2654",5
ORME-091,B,10.8,165.79,"CN2648, CN2656, CN2657",4
ORME-092,Bg,14.1,87.79,"CN2650, CN2651",5
ORME-093,B,0.0,100.28,"CN2646A, CN2647, CN2657A, CN2658",1
ORME-094,B,0.0,103.78,"CN2645, CN2646, CN2646B, CN2658A, CN2659",1
ORME-095,B,0.0,91.72,"CN2643, CN2644, CN2659A, CN2660",1
ORME-096,A,10.9,60.38,"CN2661, CN2662",4
ORME-097,Bg,12.69,152.51,"CN2629, CN2630, CN2630A, CN2631",5
ORME-098,Bg,10.75,70.36,"CN2632, CN2633",4
ORME-099,C,0.0,97.84,CN2634,1
ORME-100,B,10.9,225.12,"CN2663, CN2664, CN2665, CN2665A",4
ORME-101,C,0.0,64.48,"CN2635, CN2636",1
ORME-102,A,9.47,38.91,CN2642,4
ORME-103,C,11.0,143.04,"CN2627, CN2628",4
ORME-104,D,0.0,108.61,CN2638,1
ORME-105,B,4.31,251.07,none,2
