short_alias,TP_CLS_ED,Qu_Gronda,Superficie,list_of_addresses,floors_est
ORTO-001,Nr,14.3,771.48,CN3458,5
ORTO-002,C,15.9,355.36,CN3459,6
ORTO-003,Nr,14.3,77.61,none,5
ORTO-004,Nr,0.0,86.18,none,1
ORTO-005,Nr,9.6,105.85,CN3461A,4
ORTO-006,Nr,0.0,1133.22,none,1
ORTO-007,Nr,11.5,70.03,none,4
ORTO-008,C,10.18,127.12,CN3482,4
ORTO-009,Nr,0.0,282.58,none,1
ORTO-010,B1,9.53,105.93,"CN3481, CN3481A, CN3484, CN3485",4
ORTO-011,B,9.35,144.1,"CN3480, CN3486, CN3487, CN3488",4
ORTO-012,A,7.2,78.17,"CN3478, CN3479, CN3489",3
ORTO-013,Nr,0.0,137.95,"CN3463, CN3464, CN3465, CN3466, CN3467, CN3468",1
ORTO-014,A1,9999.0,259.74,CN3490,3333
ORTO-015,Nr,0.0,59.72,none,1
ORTO-016,fa,0.0,0.0,none,1
ORTO-017, ,5.44,73.43,none,2
ORTO-018,A1,0.0,82.11,"CN3491, CN3492, CN3493",1
ORTO-019,fa,0.0,229.67,"CN3495, CN3496",1
ORTO-020,pt,9.23,187.95,none,4
ORTO-021,A1,9.8,60.37,none,4
ORTO-022,A1,12.26,271.69,CN3494,5
ORTO-023,B,7.85,138.57,none,3
ORTO-024,Nr,8.4,866.24,none,3
ORTO-025,Kt,5.65,239.8,none,2
ORTO-026,Kt,7.7,400.53,none,3
ORTO-027,Ka,5.4,412.19,none,2
ORTO-028,Ne,12.3,190.79,CN3502A,5
ORTO-029,Ne,12.2,190.62,CN3503A,5
ORTO-030,pt,11.38,207.23,none,4
ORTO-031,Nr,15.5,543.92,"CN3504A, CN3504B, CN3504C, CN3504D",6
ORTO-032,Nr,0.0,603.26,"CN3505A, CN3505B, CN3505C",1
ORTO-033,fa,10.53,89.61,none,4
ORTO-034,C,14.8,564.54,"CN3498, CN3499",5
ORTO-035,C,14.8,564.54,none,5
ORTO-036,Ne,12.32,160.95,CN3500,5
ORTO-037,Knt,5.7,136.67,none,2
ORTO-038,Knt,0.0,0.0,none,1
ORTO-039,Ne,0.0,0.0,none,1
ORTO-040,Ne,6.9,97.03,"CN3501, CN3502, CN3503",3
ORTO-041,Ne,8.5,159.37,"CN3501A, CN3501B, CN3504, CN3505, CN3506",3
ORTO-042,Ne,0.0,403.13,"CN3501C, CN3501D, CN3501E, CN3501F",1
ORTO-043,SU,12.376,206.07,"CN3510, CN3511, CN3512, CN3513, CN3517",5
ORTO-044,Ne,12.6,161.94,"CN3509, CN3509A, CN3509B, CN3509C",5
ORTO-045,C,14.7,296.17,none,5
ORTO-046,SU,9999.0,1669.61,"CN3518, CN3519, CN3520",3333
ORTO-047,Ne,12.5,190.79,CN3508,5
ORTO-048,Nd,0.0,29.14,none,1
ORTO-049,Nd,0.0,54.91,none,1
ORTO-050,Nr,15.45,389.94,"CN3507, CN3507A, CN3507B, CN3507C",6
ORTO-051,Knt,0.0,89.35,none,1
ORTO-052,Knt,5.44,90.35,none,2
ORTO-053,SM,12.3,1634.96,none,5
ORTO-054,Knt,5.95,94.1,none,2
ORTO-055,Knt,8.11,88.22,none,3
ORTO-056,Knt,7.6,39.89,none,3
ORTO-057,Knt,5.0,28.4,none,2
ORTO-058,B,8.76,111.01,CN3524,3
ORTO-059,pt,10.69,111.15,CN3525,4
ORTO-060,Nr,8.32,72.57,none,3
