short_alias,list_of_addresses
PANA-001,"CN6275, CN6276, CN6276A, CN6277, CN6277A, CN6277C"
PANA-002,"CN6278, CN6279, CN6280, CN6280A"
PANA-003,"CN6281, CN6285"
PANA-004,"CN6281A, CN6282, CN6283"
PANA-005,"CN6287, CN6288, CN6289"
PANA-006,none
PANA-007,"CN6286, CN6290, CN6291, CN6292, CN6292A"
PANA-008,"CN6296, CN6296B, CN6296C, CN6297"
PANA-009,none
PANA-010,"CN6293, CN6293A, CN6294, CN6295, CN6296A"
PANA-011,CN6223
PANA-012,"CN6220, CN6221, CN6222"
PANA-013,"CN6208, CN6209, CN6210, CN6211, CN6212, CN6212A, CN6213, CN6214, CN6215, CN6216"
PANA-014,CN6224
PANA-015,none
PANA-016,CN6225
PANA-017,none
PANA-018,"CN6216A, CN6216B, CN6217, CN6217A, CN6218"
PANA-019,none
PANA-020,"CN6226, CN6227, CN6227A"
PANA-021,none
PANA-022,"CN6243, CN6243A"
PANA-023,none
PANA-024,CN6234A
PANA-025,"CN6241, CN6242"
PANA-026,CN6234
PANA-027,none
PANA-028,"CN6237, CN6238, CN6239, CN6240"
PANA-029,"CN6343A, CN6344, CN6344A, CN6345, CN6346"
PANA-030,none
PANA-031,"CN6337, CN6338, CN6339, CN6340, CN6341, CN6342, CN6343"
PANA-032,CN6347
PANA-033,none
PANA-034,"CN6321, CN6322, CN6323, CN6324, CN6325, CN6326, CN6327, CN6328, CN6329, CN6330, CN6331, CN6332, CN6333"
PANA-035,"CN6351, CN6352, CN6352A, CN6352B"
PANA-036,"CN6317, CN6318, CN6318A"
PANA-037,"CN6349, CN6350"
PANA-038,"CN6315, CN6315A, CN6316, CN6319, CN6319A, CN6319B"
PANA-039,CN6336
PANA-040,"CN6334, CN6334A"
PANA-041,"CN6314, CN6320, CN6320A"
PANA-042,"CN6308A, CN6308B, CN6308C"
PANA-043,CN6308
PANA-044,"CN6307, CN6307A, CN6307B, CN6307C"
PANA-045,"CN6309, CN6310, CN6311"
PANA-046,none
PANA-047,"CN6312, CN6313"
PANA-048,CN6306
PANA-049,none
PANA-050,none
PANA-051,none
PANA-052,none
PANA-053,none
PANA-054,CN6304
PANA-055,none
PANA-056,none
PANA-057,none
PANA-058,none
PANA-059,CN6303A
PANA-060,none
PANA-061,none
PANA-062,none
PANA-063,none
PANA-064,"CN6300A, CN6301, CN6302"
PANA-065,"CN6298, CN6299"
PANA-066,none
PANA-067,none
PANA-068,"CN6262, CN6262A"
PANA-069,"CN6272, CN6273, CN6274, CN6274A"
PANA-070,none
PANA-071,none
PANA-072,CN6269B
PANA-073,"CN6270A, CN6270B, CN6271, CN6271A"
PANA-074,"CN6244, CN6245, CN6254A"
PANA-075,"CN6247, CN6254"
PANA-076,"CN6255, CN6256, CN6260"
