short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
RACC-001,pt,9.0,0.85,157.29
RACC-002,pt,0.0,0.85,103.68
RACC-003,B,19.4,0.95,522.39
RACC-004,C,12.6,0.95,90.3
RACC-005,B,9.7,0.95,79.42
RACC-006,Or,13.26,0.95,139.85
RACC-007,B,13.02,0.85,201.69
RACC-008,Bg,15.17,0.85,246.87
RACC-009,Bg,12.48,0.85,145.97
RACC-010,B,9.46,0.85,50.48
RACC-011,A,6.47,0.85,41.86
RACC-012,A,13.58,0.85,180.56
RACC-013,B1,14.58,0.85,183.32
RACC-014,C,8.18,0.85,249.27
RACC-015,Or,10.65,0.85,211.32
RACC-016,A,10.35,0.85,199.02
RACC-017,C,0.0,0.0,36.02
RACC-018,A,13.28,0.85,59.69
RACC-019,A,0.0,0.0,28.17
RACC-020,C,10.04,0.85,86.26
RACC-021,fa,8.5,0.85,34.38
RACC-022,B,9.6,0.85,52.61
RACC-023,C,14.34,0.85,94.35
RACC-024,C,12.01,0.85,128.54
RACC-025,B,11.78,0.85,135.36
RACC-026,Bg,9.85,0.85,62.78
RACC-027,pt,13.85,0.85,98.55
RACC-028,Ne,8.44,0.85,87.09
RACC-029,B,13.05,0.85,90.1
RACC-030,B,11.74,0.85,6.9
RACC-031,Ne,11.2,0.85,148.1
RACC-032,B,0.0,0.0,66.4
RACC-033,B,0.0,0.0,72.27
RACC-034,B,10.42,0.95,80.5
RACC-035,C,14.42,0.85,144.44
RACC-036,Nr,9.88,0.85,147.93
RACC-037,B,10.68,0.85,89.35
RACC-038,Or,8.7,0.85,155.72
RACC~NO_BUILDING,,,,
