short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
SART-001,Kna,3.96,0.85,53.56
SART-002,A,9999.0,0.0,149.35
SART-003,A,3.3,0.85,17.91
SART-004,A,15.05,0.85,148.61
SART-005,pt,4.28,0.85,41.03
SART-006,Nr,9.97,0.85,138.77
SART-007,B1,11.02,1.05,159.77
SART-008,Bg,13.9,1.05,238.23
SART-009,C,10.4,1.05,222.62
SART-010,Or,14.0,1.05,187.3
SART-011,A,6.02,1.05,26.14
SART-012,fa,7.12,1.05,107.65
SART-013,fa,16.03,1.05,88.66
SART-014,C,9.62,1.05,183.25
SART-015,fa,8.21,1.05,125.03
SART-016,fa,16.35,1.05,240.75
SART-017,Ne,5.02,0.95,116.22
SART-018,Ne,12.8,0.95,295.61
SART-019,Ka,13.5,0.95,320.69
SART-020,Ka,5.27,0.95,131.64
SART-021,B,9.42,0.85,140.59
SART-022,fa,9.32,1.05,252.15
SART-023,C,17.54,1.05,645.35
SART-024,Nr,5.3,1.05,131.14
SART-025,D,0.0,1.05,1292.94
SART~NO_BUILDING,,,,
