short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
SENS-001,Nr,0.0,1.75,413.71
SENS-002,Nr,13.45,1.75,145.77
SENS-003,Nr,0.0,1.75,102.04
SENS-004,Nr,0.0,1.35,183.7
SENS-005,Nr,0.0,1.35,234.4
SENS-006,Nr,13.6,1.75,285.7
SENS-007,Nr,6.7,1.75,609.0
SENS-008,Nr,16.65,2.15,715.37
SENS-009,Nr,16.8,2.15,495.98
SENS-010,Nr,0.0,0.0,461.39
SENS-011,Nr,10.6,2.15,229.23
SENS-012,Nr,9.55,1.45,61.17
SENS-013,Nr,0.0,1.45,108.66
SENS-014,Knt,0.0,1.45,697.23
SENS-015,Nr,12.0,1.45,225.06
SENS-016,Kot,7.4,1.45,132.71
SENS-017,B1,7.4,1.45,94.68
SENS-018,C,12.45,1.45,220.48
SENS-019,Knt,8.7,0.95,101.94
SENS-020,Kot,9.4,1.15,75.21
SENS-021,Knt,0.0,0.75,245.85
SENS-022,A,9.6,1.15,53.06
SENS-023,C,15.25,0.65,275.48
SENS-024,Nr,9999.0,0.85,23500.47
SENS-025,Bg,10.1,0.85,91.61
SENS-026,C,5.26,0.85,30.7
SENS-027,A1,6.79,0.85,80.37
SENS-028,Or,11.4,0.85,165.27
SENS-029,C,9.11,0.85,60.79
SENS-030,C,12.53,0.85,25.42
SENS-031,fa,9999.0,0.85,1318.27
SENS-032,A1,8.23,0.85,73.61
SENS-033,fa,0.0,0.85,109.39
SENS-034,Ne,9.68,1.25,29.56
SENS-035,fa,12.6,1.25,27.34
SENS-036,fa,3.55,1.25,15.35
SENS-037,O,10.0,1.25,116.36
SENS-038,fa,7.63,0.85,179.1
SENS-039,fa,9.95,1.25,130.13
SENS-040,A,9.51,1.25,31.21
SENS-041,A1,9.58,1.35,65.49
SENS-042,A1,9.85,1.35,67.04
SENS-043,A,0.0,0.0,31.06
SENS-044,A,6.52,1.15,32.59
SENS-045,A,0.0,0.0,56.65
SENS-046,A,9.66,1.15,84.76
SENS-047,A,0.0,0.0,38.32
SENS-048,A,9.66,1.15,43.55
SENS-049,A,10.63,1.15,115.38
SENS-050,Ne,10.91,1.15,90.17
SENS-051,Or,4.15,1.15,7.7
SENS-052,Ka,10.22,1.15,58.57
SENS-053,Nr,3.8,1.16,33.05
SENS-054,C,9.86,1.15,52.49
SENS-055,Ne,4.48,1.05,23.33
SENS-056,C,5.9,1.05,124.31
SENS-057,Ka,7.82,1.05,167.88
SENS-058,Ka,4.05,1.15,37.79
SENS-059,Ka,6.8,1.15,158.29
SENS-060,Ne,11.7,0.85,278.28
SENS-061,Koa,9999.0,0.9,23348.23
SENS-062,Ka,9999.0,1.15,22588.23
SENS-063,Koa,9.45,1.15,334.39
SENS-064,Kot,7.65,0.95,225.55
SENS-065,Kot,12.1,0.95,141.42
SENS-066,B,7.0,0.95,289.42
SENS-067,Koa,9.65,0.95,68.17
SENS-068,Koa,8.45,0.95,177.6
SENS-069,Koa,9.45,0.85,428.89
SENS-070,Ka,9999.0,0.0,22095.97
SENS-071,Ka,9.48,0.95,148.02
SENS-072,Kna,5.84,0.95,141.29
SENS-073,Ka,0.0,1.05,375.81
SENS-074,Ka,5.04,1.05,262.87
SENS-075,Or,5.85,1.15,181.7
SENS-076,Knt,4.1,1.15,123.0
SENS-077,Ne,10.17,1.15,121.61
SENS-078,Ne,12.0,1.2,101.72
SENS-079,Ka,13.2,0.75,152.91
SENS-080,Ne,0.0,1.25,52.27
SENS-081,fa,10.4,1.25,49.89
SENS-082,C,7.69,0.75,105.46
SENS-083,C,0.0,0.0,160.18
SENS-084,C,10.66,0.75,159.3
SENS-085,Ne,4.93,0.85,45.18
SENS-086,A,7.68,0.85,60.75
SENS-087,C,11.13,0.85,104.28
SENS-088,B1,8.22,0.85,6.34
SENS-089,C,10.5,0.75,158.68
SENS-090,C,9999.0,0.75,4834.63
SENS-091,fa,7.16,1.15,81.93
SENS-092, ,3.77,1.25,57.07
SENS-093,C,9999.0,1.25,550.87
SENS-094,C,9999.0,0.85,549.19
SENS-095,C,11.77,0.85,198.93
SENS-096,Ka,5.52,0.75,172.56
SENS-097,Ne,13.24,1.25,98.92
SENS-098,Koa,3.62,1.25,59.61
SENS-099,Kot,9.2,1.85,200.7
SENS-100,Kt,5.1,1.75,160.76
SENS-101,Nr,15.2,2.15,372.17
SENS-102,Nr,14.8,2.15,468.76
SENS-103,Nr,0.0,1.75,508.32
SENS~NO_BUILDING,,,,
