short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
SERV-001,Ne,0.0,1.25,32.74
SERV-002,Ne,6.42,1.25,48.27
SERV-003,Knt,0.0,1.25,124.06
SERV-004,Ne,0.0,1.25,154.71
SERV-005,SM,12.5,1.35,276.72
SERV-006,Nr,7.95,1.15,98.08
SERV-007,Nr,8.57,1.25,120.44
SERV-008,SM,5.24,1.15,62.24
SERV-009,Nr,18.52,1.25,258.79
SERV-010,Nr,5.3,1.25,70.11
SERV-011,Nr,4.3,1.25,29.09
SERV-012,SM,10.05,1.3,1070.02
SERV-013,Nr,5.55,1.25,26.97
SERV-014,SM,0.0,1.15,1042.54
SERV-015,C,15.62,1.05,275.69
SERV-016,C,4.5,1.05,27.65
SERV-017,Knt,6.1,1.47,114.83
SERV-018,pt,0.0,0.0,223.12
SERV-019,SM,0.0,0.0,158.32
SERV-020,SM,0.0,0.0,359.14
SERV-021,pt,13.67,1.05,308.12
SERV-022,Nd,6.18,1.35,17.03
SERV~NO_BUILDING,,,,
