Full_sesti,short_alias
CN2386,VEND-031
CN2386A,VEND-031
CN2386B,VEND-002
CN2387,VEND-030
CN2388,VEND-030
CN2389,VEND-030
CN2390,VEND-029
CN2391,VEND-003
CN2392,VEND-003
CN2392A,VEND-003
CN2393,VEND-006
CN2393A,VEND-006
CN2394,VEND-016
CN2394A,VEND-018
CN2395,VEND-016
CN2396,VEND-016
CN2397,VEND-015
CN2397A,VEND-015
CN2398,VEND-015
CN2399,VEND-014
CN2400,VEND-014
CN2401,VEND-014
CN2402,VEND-013
CN2403,VEND-013
CN2404,VEND-012
CN2405,VEND-012
CN2406,VEND-011
CN2407,VEND-011
CN2408,VEND-010
CN2409,VEND-010
CN2410,VEND-009
CN2411,VEND-007
CN2412,VEND-007
CN2413,VEND-007
CN2414,VEND-007
CN2415,VEND-007
CN2416,VEND-007
CN2417,VEND-007
CN2418,VEND-007
CN2419,VEND-008
CN2420,VEND-006
CN2420A,VEND-006
CN2421,VEND-005
CN2422,VEND-008
CN2423,VEND-005
CN2424,VEND-004
CN2425,VEND-008
CN2426,VEND-008
CN2427,VEND-004
CN2428,VEND-008
CN2429,VEND-008
CN2429A,VEND-008
CN2430,VEND-028
CN2431,VEND-028
CN2432,VEND-027
CN2432A,VEND-027
CN2433,VEND-025
CN2433A,VEND-025
CN2433B,VEND-025
CN2434,VEND-027
CN2435,VEND-027
CN2436,VEND-026
CN2437A,VEND-025
CN2438,VEND-026
CN2439,VEND-026
