short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
ANA-001,B1,15.62,1.05,125.93
ANA-002,fa,0.0,0.0,152.11
ANA-003,fa,0.0,0.0,164.1
ANA-004,B,15.84,1.25,114.18
ANA-005,fa,4.43,1.15,8.06
ANA-006,B1,11.28,1.05,177.34
ANA-007,fa,14.02,1.15,36.45
ANA-008,fa,13.35,1.15,27.8
ANA-009,Bg,12.51,1.05,107.63
ANA-010,Bg,9.62,1.15,99.09
ANA-011,C,10.48,1.15,59.97
ANA-012,pt,0.0,0.0,38.27
ANA-013,pt,0.0,0.0,45.07
ANA-014,pt,8.58,1.15,43.01
ANA-015,B,12.82,1.05,191.93
ANA-016,Nd,5.18,1.35,286.32
ANA-017,pt,13.68,1.05,123.54
ANA-018,A1,11.44,1.15,329.07
ANA-019,pt,10.36,1.05,286.49
ANA-020,pt,10.35,1.15,97.88
ANA-021,A1,10.1,1.15,96.79
ANA-022,Ne,0.0,1.15,9.82
ANA-023,Kt,10.1,1.15,80.03
ANA-024,B,9.38,1.05,139.05
ANA-025,pt,0.0,1.15,135.19
ANA-026,B,5.1,1.15,25.44
ANA-027,D,7.4,1.15,73.89
ANA-028,D,7.99,1.15,77.14
ANA-029,Nd,0.0,0.0,215.6
ANA-030,A,16.14,1.05,121.21
ANA-031,Nd,4.38,1.25,12.75
ANA-032,pt,12.84,1.15,157.13
ANA-033,B,13.11,1.15,152.02
ANA-034,A,16.14,1.05,52.28
ANA-035,Bg,7.7,1.25,24.73
ANA-036,Bg,10.94,1.35,85.06
ANA-037,Nr,4.9,1.45,104.89
ANA-038,A,0.0,1.15,99.71
ANA-039,B,0.0,0.0,252.4
ANA-040,pt,0.0,0.0,50.47
ANA-041,B,10.14,1.15,39.46
ANA-042,Bg,0.0,0.0,86.72
ANA-043,B,11.86,1.15,39.73
ANA-044,Bg,0.0,0.0,89.06
ANA-045,Nr,10.87,1.25,204.24
ANA-046,pt,7.22,1.35,23.78
ANA-047,Bg,0.0,0.0,74.11
ANA-048,pt,0.0,0.0,92.72
ANA-049,Nr,4.6,1.25,45.03
ANA-050,pt,0.0,0.0,82.15
ANA-051,pt,13.9,1.15,85.27
ANA-052,pt,13.9,1.15,171.19
ANA-053,fa,7.18,1.25,143.72
ANA-054,pt,14.1,1.25,176.62
ANA-055,fa,7.42,1.05,165.31
ANA-056,Nr,15.68,1.25,258.72
ANA-057,fa,10.4,1.05,75.22
ANA-058,fa,16.03,1.15,31.72
ANA-059,A,0.0,0.0,36.58
ANA-060,A,7.92,1.15,52.08
ANA-061,A,0.0,0.0,63.15
ANA-062,B,13.44,1.15,98.45
ANA-063,fa,14.03,1.05,108.11
ANA-064,B,11.34,1.15,143.87
ANA-065,Nr,15.62,1.25,270.59
ANA-066,Ne,0.0,1.25,226.03
ANA-067,A,6.84,1.25,80.11
ANA-068,A,11.63,1.25,51.62
ANA-069,A,9.39,1.25,79.53
ANA-070,Or,13.11,1.25,200.63
ANA-071,Nd,3.3,1.05,19.07
ANA-072,Nr,6.68,1.15,82.08
ANA-073,B,12.92,1.15,142.0
ANA-074,A1,10.42,1.05,56.55
ANA-075,A,9.36,1.05,39.2
ANA-076,Nr,10.06,1.05,123.0
ANA-077,B1,13.5,1.05,59.72
ANA-078,A,11.9,1.05,41.78
ANA-079,B1,12.27,1.05,61.39
ANA-080,B,13.19,1.05,54.54
ANA-081,B,0.0,0.0,76.46
ANA-082,B1,10.96,1.05,120.55
ANA-083,B,13.36,1.15,57.41
ANA-084,Or,14.08,1.15,148.63
ANA-085,B1,13.24,1.15,50.08
ANA-086,Or,12.12,1.05,42.68
ANA-087,pt,0.0,0.0,49.4
ANA-088,B1,0.0,0.0,46.65
ANA-089,A1,13.1,1.05,134.94
ANA-090,A,0.0,0.0,37.89
ANA-091,A,6.28,1.05,10.82
ANA-092,pt,0.0,0.0,12.33
ANA-093,pt,13.6,1.15,57.11
ANA-094,pt,13.72,1.15,120.25
ANA-095,Or,9.97,1.15,214.81
ANA-096,A1,9.96,0.95,29.22
ANA-097,B,9.68,1.05,60.49
ANA-098,B1,12.1,0.95,60.98
ANA-099,A1,9.48,0.95,29.38
ANA-100,pt,9.46,1.05,13.74
ANA-101,A1,11.9,1.05,42.02
ANA-102,B,0.0,0.0,45.07
ANA-103,C,0.0,0.0,64.88
ANA-104,A,9.67,1.05,28.27
ANA-105,Kt/B,10.93,0.95,49.22
ANA-106,A,12.31,1.05,56.85
ANA-107,Kt/B,13.76,0.95,85.44
ANA-108,Ne,9.79,0.95,26.39
ANA-109,A,12.67,1.05,28.72
ANA-110,B,0.0,0.0,27.92
ANA-111,B,12.81,1.05,64.39
ANA-112,C,12.0,1.05,278.08
ANA-113,pt,5.84,0.95,74.83
ANA-114,B,13.76,1.05,74.78
ANA-115,B,14.48,1.05,62.68
ANA-116,C,10.0,0.95,69.45
ANA-117,C,6.4,1.05,34.6
ANA-118,pt,13.99,0.95,114.25
ANA-119,Bg,13.4,1.05,108.82
ANA-120,B,14.77,1.05,120.7
ANA-121,B,0.0,0.0,74.08
ANA-122,A1,12.92,1.05,72.89
ANA-123,A1,9.92,1.05,86.81
ANA-124,Nd,9.1,0.95,19.88
ANA-125,Nd,4.06,0.95,25.42
ANA-126, ,10.0,0.95,73.64
ANA-127,Nd,0.0,0.95,11.47
ANA-128,pt,11.24,1.05,110.98
ANA-129,Bg,11.38,1.05,125.36
ANA-130,B,8.79,0.95,43.13
ANA-131, ,3.7,0.95,16.39
ANA-132, ,11.97,0.95,31.69
ANA-133,Or,9.77,0.95,54.85
ANA-134,A1,10.13,1.05,70.95
ANA-135,B1,9.43,0.95,59.68
ANA-136,Or,12.24,1.05,74.99
ANA-137,Or,3.5,1.05,26.07
ANA-138,fa,11.41,1.05,224.51
ANA-139,pt,0.0,0.0,37.19
ANA-140,pt,8.03,1.15,88.75
ANA-141,fa,11.98,1.05,123.56
ANA-142,fa,9.68,1.05,107.35
ANA-143,A,0.0,0.0,39.19
ANA-144,B1,10.7,1.05,95.83
ANA-145,pt,9.71,1.05,56.24
ANA-146,pt,11.49,1.15,141.35
ANA-147,fa,9.88,1.05,152.22
ANA-148,fa,9.6,1.05,85.11
ANA-149,fa,14.52,1.05,251.92
ANA-150,C,11.01,1.05,40.97
ANA-151, ,4.12,1.05,34.16
ANA-152,fa,11.32,1.05,193.39
ANA-153,C,10.51,1.05,177.23
ANA-154,A,0.0,0.0,36.26
