short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
ARSE-001,Ka,0.0,1.65,16.09
ARSE-002,Ka,0.0,1.65,15.01
ARSE-003,Ka,0.0,1.65,25.32
ARSE-004,Ka,0.0,0.0,662.85
ARSE-005,Ka,0.0,0.0,730.69
ARSE-006,Ka,9.5,1.55,789.76
ARSE-007,Nd,11.0,1.55,29.23
ARSE-008,Ka,8.3,1.57,707.9
ARSE-009,Nr,7.34,1.25,477.71
ARSE-010,Nr,7.25,1.25,374.41
ARSE-011,Nd,4.6,1.25,123.87
ARSE-012,Nd,7.0,1.25,247.53
ARSE-013,Ka,0.0,0.0,591.43
ARSE-014,Ka,12.92,1.25,896.9
ARSE-015,Ka,0.0,0.0,870.57
ARSE-016,Ka,9.0,1.25,971.93
ARSE-017,Ka,0.0,1.35,1274.12
ARSE-018,Ka,9999.0,0.0,2532.92
ARSE-019,Ka,0.0,0.0,964.88
ARSE-020,Ka,0.0,0.0,971.76
ARSE-021,Ka,0.0,0.0,972.37
ARSE-022,Ka,0.0,0.0,966.12
ARSE-023,Ka,8.98,1.35,1062.2
ARSE-024,Ka,8.5,1.45,1240.37
ARSE-025,Ka,0.0,0.0,1324.27
ARSE-026,Ka,0.0,0.0,299.09
ARSE-027,SUo,10.5,1.55,661.91
ARSE-028,Ka,0.0,0.0,427.02
ARSE-029,Nd,4.0,2.45,129.65
ARSE-030,SM,8.3,2.55,898.05
ARSE-031,Nr,0.0,0.0,2382.55
ARSE-032,fa,9999.0,1.15,18843.54
ARSE-033,D,9999.0,1.35,19321.42
ARSE-034,fa,12.62,1.25,243.84
ARSE-035,fa,12.69,1.25,59.42
ARSE-036,SU,0.0,1.25,191.47
ARSE-037,fa,17.68,1.25,124.0
ARSE-038,fa,10.91,1.25,162.11
ARSE-039,Ne,13.73,1.25,172.9
ARSE-040,Ne,16.2,1.25,105.58
ARSE-041,SU,15.64,1.25,451.64
ARSE-042, ,19.61,1.05,1453.1
ARSE-043,A1,10.38,1.05,111.96
ARSE-044,A1,10.6,1.05,81.39
ARSE-045, ,9999.0,1.05,19459.82
ARSE-046, ,0.0,1.05,13.74
ARSE-047,Or,9999.0,1.05,18855.48
ARSE-048,A1,9999.0,1.15,19476.14
ARSE-049,Or,15.0,1.25,266.11
ARSE-050,SM,7.63,1.25,131.63
ARSE-051,Nr,13.58,1.25,347.44
ARSE-052,Nr,0.0,0.0,302.56
ARSE-053,O,0.0,0.95,593.04
ARSE-054,Kt,0.0,0.0,745.46
ARSE-055,Kt,0.0,0.0,732.12
ARSE-056,Kt,9.2,0.95,689.16
ARSE-057,Or,0.0,0.0,337.36
ARSE-058,Or,9.5,1.2,533.83
ARSE-059,Or,14.84,1.3,29.16
ARSE-060,SU,0.0,0.0,470.91
ARSE-061,Nd,7.5,1.35,359.75
ARSE-062,Nr,6.6,1.75,404.6
ARSE-063,fa,9999.0,1.25,18816.04
ARSE-064,fa,12.96,1.25,36.87
ARSE-065,Ne,9999.0,1.25,18635.02
ARSE-066,Nd,12.59,1.25,637.39
ARSE-067,D,7.1,1.25,32.98
ARSE-068,D,15.94,1.25,344.07
ARSE-069, ,7.48,1.25,91.92
ARSE-070, ,5.07,1.25,7.62
ARSE-071,P,12.0,1.55,1072.37
ARSE-072,Nr,0.0,0.0,220.36
ARSE-073,Nr,0.0,1.45,1012.78
ARSE-074,Nr,0.0,0.0,362.05
ARSE-075,SM,0.0,0.0,498.03
ARSE-076,Nr,16.02,1.15,2543.82
ARSE-077,Nr,0.0,0.0,304.32
ARSE-078,SM,0.0,0.0,595.39
ARSE-079,SU,9999.0,1.45,3811.94
ARSE-080,SU,9999.0,1.25,17815.36
ARSE-081,SU,5.6,1.35,136.03
ARSE-082,SU,14.0,1.35,1154.97
ARSE-083,SU,0.0,1.35,272.0
ARSE-084,SU,6.5,1.35,616.52
ARSE-085,Ne,8.5,1.35,734.33
ARSE-086,Ka,0.0,0.0,563.5
ARSE-087,Ka,0.0,0.0,617.34
ARSE-088,SM,0.0,0.0,3813.65
ARSE-089,Po,8.18,1.15,289.41
ARSE-090,Ka,0.0,0.0,610.8
ARSE-091,Ka,0.0,1.55,61.99
ARSE-092,Ka,0.0,0.0,1787.97
ARSE-093,Ka,9.36,1.65,1946.53
ARSE-094,Nr,4.88,1.45,57.16
ARSE-095,Nr,6.95,1.45,375.78
ARSE-096,Nr,10.0,1.55,205.1
ARSE-097,Koa,5.08,1.75,63.74
ARSE-098,Nd,4.0,1.55,63.87
ARSE-099,Knt,5.3,1.45,408.33
ARSE-100,Nd,4.93,1.45,34.62
ARSE-101,SUo,19.0,1.55,57.78
ARSE-102,Ka,9.4,1.65,1245.88
ARSE-103,Ka,0.0,0.0,1065.12
ARSE-104,Or,0.0,1.35,1680.48
ARSE~NO_BUILDING,,,,
