short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
BACI-006,Nd,4.0,1.25,74.18
BACI-007,Nd,7.0,1.25,339.42
BACI-015, ,14.5,1.55,86.25
BACI-019, ,14.6,1.55,1039.98
BACI-017,Ka,14.95,1.55,1001.57
BACI-014,Ka,14.95,1.15,994.64
BACI-013,Ka,7.95,1.15,987.44
BACI-012,Ka,7.2,1.35,261.15
BACI-010,Ka,23.95,1.35,48.85
BACI-009, ,18.32,1.35,2331.28
BACI-002,Kna,3.9,1.25,188.43
BACI-003,Kna,11.78,1.25,961.42
BACI-001,Ka,11.87,1.25,1082.63
BACI-008, ,3.2,1.15,89.82
BACI-046,Nd,3.5,1.65,36.11
BACI-047,Knt,13.5,1.65,0.77
BACI-055,P,30.0,1.25,306.04
BACI-062,Knt,9.14,1.55,139.59
BACI-074,SUo,14.35,1.65,58.04
BACI-076,Nd,4.45,1.65,38.36
BACI-075,Nr,6.4,1.65,110.52
BACI-070,,0.0,1.65,13.07
BACI-072,,0.0,1.65,5.59
BACI-065,Nr,4.1,1.65,387.67
BACI-064,Nr,6.0,1.65,90.66
BACI-077,,4.9,1.65,6.62
BACI-057,Kot,6.9,1.65,133.23
BACI-058,Nd,4.9,1.65,46.85
BACI-059,Nd,4.1,1.65,23.14
BACI-049,Ne,10.58,1.65,511.7
BACI-028,Nd,0.0,1.25,12.38
BACI-071,,0.0,1.65,10.43
BACI-054,Nd,6.0,1.65,31.37
BACI-082,Knt,5.45,1.55,52.68
BACI-089,SUo,10.12,1.55,535.82
BACI-103,Nd,4.13,1.55,36.51
BACI-097,SUo,10.42,1.55,95.91
BACI-107,SUo,14.8,1.55,59.08
BACI-084,Nd,0.0,1.55,10.83
BACI-104,Nd,4.6,1.55,41.71
BACI-021,Ka,9999.0,1.65,3843.26
BACI-124,Nd,0.0,1.75,69.75
BACI-024,Nd,0.0,4.25,8.77
BACI-078,Nd,9999.0,1.65,7571.11
BACI-080,Knt,9999.0,1.65,7574.67
BACI-011,Nd,9999.0,1.65,2300.58
BACI-127,Nd,9999.0,1.75,1428.48
BACI-130,Nr,9999.0,1.65,1501.22
BACI-038,Nd,9999.0,1.65,1758.72
BACI-043,Knt,0.0,0.0,1015.13
BACI-041,Knt,9999.0,1.65,1016.67
BACI-120,Nd,6.0,1.45,61.62
BACI-123,Nd,6.1,1.55,277.64
BACI-125,Nd,6.0,1.55,201.89
BACI-126,Nd,6.15,1.65,242.18
BACI-128,Nd,6.2,1.65,268.07
BACI-129,Nd,6.2,1.65,264.52
BACI-131,Nd,6.2,1.75,293.8
BACI-132,Kna,6.0,1.55,230.56
BACI-044,Nd,4.4,1.55,8.57
BACI-042,Nd,3.2,1.55,7.96
BACI-133,Kna,3.8,1.55,39.24
BACI-050,Nr,12.95,1.45,568.05
BACI-051,Nr,12.95,1.45,20.43
BACI-122,Nd,6.12,1.55,703.44
BACI-108,Nd,0.0,0.0,57.22
BACI-121,Nd,6.15,1.45,397.61
BACI-060,Kot,5.73,1.65,104.55
BACI-066,Knt,8.43,1.55,462.97
BACI-063,Knt,8.55,1.65,476.67
BACI-061,Nd,4.2,1.55,15.1
BACI-069,Kot,9.22,1.55,937.05
BACI-068,Kot,8.3,1.55,219.9
BACI-073,Kot,0.0,1.55,175.7
BACI-067,Nr,9999.0,1.55,7814.24
BACI-020, ,19.88,1.35,1738.87
BACI-016,Ka,0.0,0.0,1695.29
BACI-018, ,12.85,1.35,52.01
BACI-102,Nd,9999.0,0.0,2839.06
BACI-023,Ka,9999.0,4.25,1322.77
BACI-088,Knt,10.1,1.65,2384.91
BACI-022,Ka,9999.0,0.0,2953.65
BACI-091,Knt,15.67,1.65,1242.41
BACI-081,Nd,9.25,1.65,182.6
BACI-086,Nd,5.55,1.65,28.37
BACI-087,Nd,4.12,1.65,27.15
BACI-101,Nr,5.7,1.65,1220.67
BACI-092,Nr,6.08,1.65,425.65
BACI-083,Nr,6.1,1.65,86.54
BACI-106,Knt,7.1,1.65,1218.17
BACI-094,Nd,9999.0,1.65,4296.99
BACI-115,Ne,12.0,1.65,362.21
BACI-137,Nd,1.75,1.75,6.86
BACI-144,Nd,3.0,1.75,18.65
BACI-145,Nd,3.0,1.75,16.87
BACI-146,Nd,3.0,1.75,17.1
BACI-147,Nd,3.0,1.75,17.38
BACI-113,Nd,3.0,1.75,17.93
BACI-119,Nd,4.5,1.65,24.15
BACI-118, ,0.0,1.55,4.08
BACI-116,Nd,4.5,1.55,31.91
BACI-117, ,0.0,1.55,3.31
BACI-143,Nd,3.0,1.55,16.38
BACI-142,Nd,0.0,1.55,13.28
BACI-112,Nd,4.87,1.55,131.66
BACI-141,Nd,5.55,1.55,153.61
BACI-111,Nd,5.62,1.55,114.17
BACI-140,Knt,5.82,1.65,361.26
BACI-139,Nd,3.5,1.45,44.29
BACI-138,Nd,5.07,1.75,111.31
BACI-135,Nd,10.0,1.75,11.76
BACI-134,Nd,1.75,1.75,23.32
BACI-109,Knt,5.4,1.65,279.33
BACI-110,Knt,10.44,1.65,403.03
BACI-096,Nd,0.0,1.65,21.54
BACI-079,Nd,3.6,1.65,11.4
BACI-085,Nd,6.26,1.65,40.74
BACI-100,Knt,0.0,1.65,852.83
BACI-105,Knt,6.5,1.65,382.82
BACI-114,Nd,4.52,1.55,108.3
BACI-099,Knt,0.0,1.65,59.49
BACI-093,Knt,5.75,1.65,40.28
BACI-095,Nd,0.0,1.65,14.08
BACI-090,Knt,6.55,1.65,360.83
