Full_sesti,short_alias
CS5867,BORG-006
CS5868,BORG-020
CS5868A,BORG-020
CS5869,BORG-020
CS5870,BORG-018
CS5870A,BORG-019
CS5871,
CS5871A,BORG-016
CS5872,BORG-010
CS5873,BORG-007
CS5874,BORG-007
CS5875,BORG-009
CS5876,BORG-010
CS5877,BORG-010
CS5877A,BORG-010
CS5878,BORG-009
CS5878A,BORG-009
CS5879,BORG-008
CS5880,BORG-008
CS5881,BORG-013
CS5881A,BORG-013
CS5882,BORG-012
CS5883,BORG-014
CS5884,BORG-014
CS5884A,BORG-015
CS5885,BORG-015
CS5886,BORG-015
CS6108,
CS6109,
CS6110,BORG-021
CS6111,BORG-021
CS6111A,BORG-021
CS6111B,BORG-022
CS6112,BORG-022
CS6113,BORG-022
CS6113A,
CS6114,BORG-001
CS6115,BORG-002
CS6116,BORG-003
CS6117,BORG-004
CS6118,BORG-004
CS6119,BORG-005
CS6120,BORG-005
