short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
BORG-001,A,9999.0,0.95,16106.14
BORG-002,A,0.0,1.05,48.85
BORG-003,C,0.0,1.05,294.76
BORG-004,C,0.0,1.05,192.82
BORG-005,C,9999.0,0.75,16097.34
BORG-006,C,15.12,0.95,133.32
BORG-007,C,15.47,1.05,248.07
BORG-008,fa,15.7,1.05,215.1
BORG-009,C,17.33,1.05,216.68
BORG-010,Bg,14.05,1.05,135.01
BORG-011,Nr,6.36,0.95,40.46
BORG-012,Bg,16.96,1.05,169.02
BORG-013,Nr,13.9,1.05,233.82
BORG-014,pt,14.15,1.05,168.56
BORG-015,pt,13.0,1.05,155.41
BORG-016,B,4.21,1.05,35.02
BORG-017,C,7.0,1.05,161.17
BORG-018,Or,4.53,1.05,50.89
BORG-019,Or,11.64,1.05,40.08
BORG-020,C,11.48,0.95,196.44
BORG-021,fa,0.0,0.0,169.15
BORG-022,fa,13.03,0.95,476.83
BORG-023,C,17.07,0.95,701.74
BORG~NO_BUILDING,,,,
