short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
BRAG-001,C,0.0,0.85,405.42
BRAG-002,C,9999.0,0.85,5280.01
BRAG-003,fa,15.07,0.65,145.38
BRAG-004,fa,11.12,0.65,117.74
BRAG-005,Kt,13.46,0.85,214.49
BRAG-006,C,13.9,0.85,238.36
BRAG-007,Bg,10.95,0.75,157.6
BRAG-008,Bg,0.0,0.0,96.19
BRAG-009,Bg,0.0,0.0,87.13
BRAG-010,Kt,0.0,0.0,93.12
BRAG-011,Kt,5.65,0.75,31.19
BRAG-012,Ne,13.41,0.75,89.89
BRAG-013,Bg,11.92,0.75,99.9
BRAG-014,Bg,0.0,0.0,95.13
BRAG-015,Bg,2.85,0.75,18.1
BRAG-016, ,4.62,0.75,111.51
BRAG-017,Bg,5.13,0.75,39.17
BRAG-018,Bg,10.92,0.75,104.45
BRAG-019,B,9999.0,0.75,133.55
BRAG-020,Bg,12.9,0.75,22.01
BRAG-021,Bg,0.0,0.0,109.77
BRAG-022,Bg,0.0,0.0,100.87
BRAG-023,Bg,0.0,0.0,103.32
BRAG-024,Bg,0.0,0.0,101.29
BRAG-025,Bg,0.0,0.0,105.1
BRAG-026,Bg,0.0,0.75,46.22
BRAG-027,SM,0.0,0.85,1382.01
BRAG-028,SM,0.0,0.0,547.33
BRAG-029,A1,14.6,0.95,82.16
BRAG-030,A,15.12,0.95,77.57
BRAG-031,Bg,14.55,0.95,77.73
BRAG-032,Bg,13.25,0.95,78.72
BRAG-033,Bg,12.15,0.95,77.37
BRAG-034,A1,13.66,0.95,111.57
BRAG-035,B,14.07,0.95,126.54
BRAG-036,A1,9.62,0.95,49.08
BRAG-037,B,13.13,0.95,74.26
BRAG-038, ,0.0,0.95,10.72
BRAG-039,A,0.0,0.95,49.39
BRAG-040,A1,9999.0,0.75,426.41
BRAG-041,A1,9.65,0.75,61.96
BRAG-042,C,9999.0,1.15,330.95
BRAG-043,D,16.9,0.85,168.6
BRAG-044,D,3.7,0.85,33.68
BRAG-045,D,18.6,0.85,58.17
BRAG-046,A1,16.66,0.75,393.28
BRAG-047, ,11.55,0.85,191.59
BRAG-048, ,0.0,0.0,0.0
BRAG-049,SU,35.03,0.95,30.16
BRAG-050,A,0.0,0.0,46.88
BRAG-051,A,11.99,0.85,104.64
BRAG-052,B,10.08,0.85,98.34
BRAG-053,C,4.7,0.85,40.55
BRAG-054,Bg,8.4,0.85,66.4
BRAG-055,Bg,9.9,0.85,75.53
BRAG-056,A1,14.62,0.75,82.86
BRAG-057,A1,17.6,0.75,149.34
BRAG-058,A1,11.73,0.75,60.4
BRAG-059,D,13.42,0.75,52.9
BRAG-060,pt,6.4,0.85,69.53
BRAG-061, ,0.0,0.0,0.0
BRAG-062,fa,0.0,0.0,0.0
BRAG-063,fa,0.0,0.0,0.0
BRAG-064,C,14.55,0.85,657.73
BRAG-065,Ne,10.55,1.15,64.92
BRAG-066,Ne,12.75,1.15,432.21
BRAG-067,Ne,10.4,1.15,108.48
BRAG-068,Ne,7.03,1.15,51.96
BRAG-069,pt,11.94,1.15,367.19
BRAG-070,Ne,7.4,1.15,40.74
BRAG-071,C,9.75,1.15,255.72
BRAG-072,C,0.0,0.0,39.79
BRAG-073,A,11.66,1.05,39.19
BRAG-074,pt,10.47,0.85,59.08
