short_alias,TP_CLS_ED,Qu_Gronda,Superficie,list_of_addresses,floors_est
DANI-001,A,12.32,53.94,"CS468A, CS468B",5
DANI-002,Nd,7.8,22.0,CS466B,3
DANI-003,pt,10.4,63.69,"CS467, CS468",4
DANI-004,Nd,7.27,230.59,"CS464, CS465, CS465A, CS466A, CS493, CS494, CS494A",3
DANI-005,A,9.21,31.46,"CS469, CS470",4
DANI-006,A,10.21,66.58,none,4
DANI-007,A,0.0,32.23,"CS470B, CS474",1
DANI-008,B,7.48,152.04,none,3
DANI-009, ,11.8,94.31,"CS491, CS492",4
DANI-010,Or,9.52,67.01,"CS470A, CS471, CS472",4
DANI-011, ,10.0,81.18,none,4
DANI-012, ,7.15,6.15,none,3
DANI-013, ,10.24,123.35,none,4
DANI-014,fa,9.0,91.92,"CS488A, CS489, CS490",3
DANI-015, ,11.68,115.42,none,4
DANI-016,A,7.8,53.56,CS479,3
DANI-017,Nr,13.85,79.75,"CS482, CS484",5
DANI-018,C,11.08,101.58,"CS486, CS487, CS488",4
DANI-019,B1,7.76,121.42,"CS478, CS478B, CS483A",3
DANI-020,B,14.64,168.99,"CS485, CS485B",5
DANI-021,B,7.76,54.05,none,3
DANI-022,Kna,9999.0,8694.31,none,3333
DANI-023,fa,4.25,13.48,none,2
DANI-024,Kna,3.72,41.56,none,2
DANI-025,fa,7.0,88.06,none,3
DANI-026,fa,9.18,86.29,"CS462, CS463",4
DANI-027,Kna,6.25,154.56,none,3
DANI-028,A1,0.0,49.33,CS461,1
DANI-029,A1,0.0,56.87,CS460,1
DANI-030,A1,12.3,57.12,CS458,5
DANI-031,A1,0.0,47.42,CS459,1
DANI-032,A1,13.4,83.67,"CS454A, CS455, CS455A, CS456, CS457",5
DANI-033,Nr,10.75,693.16,"CS400, CS400A, CS400B",4
DANI-034, ,4.68,39.96,none,2
DANI-035,Koa/O,14.61,487.5,"CS381, CS382, CS383, CS384, CS385, CS386, CS387, CS388, CS389, CS390, CS391, CS392, CS393, CS394",5
DANI-036,SM,0.0,374.78,CS454,1
DANI-037,B,9999.0,8677.11,none,3333
DANI-038,pt,11.56,96.31,"CS423, CS424, CS425, CS435",4
DANI-039,Nd,4.1,28.48,none,2
DANI-040, ,8.6,213.07,"CS419, CS420, CS421, CS422",3
DANI-041,fa,0.0,725.99,CS450,1
DANI-042,pt,7.78,173.46,CS436,3
DANI-043,Nd,0.0,5.47,none,1
DANI-044,A,8.93,53.02,"CS426, CS426A",3
DANI-045,A,9999.0,8655.81,"CS433, CS434",3333
DANI-046,Bg,0.0,110.52,"CS401, CS401A, CS407, CS411, CS412",1
DANI-047,SM,0.0,99.93,none,1
DANI-048,B,9.74,34.83,none,4
DANI-049,B,4.3,25.79,"CS449A, CS449C",2
DANI-050,Bg,0.0,103.29,"CS414, CS418",1
DANI-051,C,9999.0,8580.43,"CS427, CS432",3333
DANI-052,B,0.0,75.02,"CS449, CS449B",1
DANI-053,pt,8.94,188.86,"CS437, CS438, CS440, CS440A, CS441, CS441A",3
DANI-054,Bg,12.45,111.03,"CS408, CS408A, CS410",5
DANI-055,Bg,10.52,95.71,"CS415, CS416, CS417",4
DANI-056,C,6.6,67.65,"CS428, CS429, CS430, CS430A",3
DANI-057,C,9999.0,8515.27,CS431A,3333
DANI-058,B,0.0,77.35,CS448,1
DANI-059,B,7.1,69.06,"CS442, CS443, CS444, CS445, CS446, CS447, CS448A",3
DANI-060,A1,0.0,74.59,"CS402, CS403",1
DANI-061,B1,10.0,85.48,CS406,4
DANI-062,A1,12.68,35.06,"CS404, CS404A",5
DANI-063,Nr,5.3,281.37,none,2
DANI-064,C,4.84,5.8,none,2
DANI-065,Ne,4.95,639.61,none,2
DANI-066,C,11.83,89.68,"CS378, CS379",4
DANI-067,SM,0.0,897.07,none,1
DANI-068,SM,5.3,387.07,none,2
DANI-069,C,0.0,108.68,"CS375, CS376, CS377",1
DANI-070,Nd,13.65,357.11,none,5
DANI-071,C,0.0,127.25,"CS373, CS374",1
DANI-072,Nr,0.0,96.02,none,1
DANI-073,SM,0.0,2311.26,none,1
DANI-074,Kna,0.0,123.94,"CS371, CS372, CS372A",1
DANI-075,Nd,0.0,230.27,none,1
DANI-076,Kna,5.75,211.88,none,2
DANI-077,Nd,0.0,12.36,none,1
DANI-078,Kna,4.8,145.88,none,2
DANI-079,SM,0.0,42.33,none,1
DANI~NO_BUILDING,,,,"CS380, CS412A, CS413, CS476, CS477, CS480, CS481, CS483, CS483B, CS97",
