Full_sesti,short_alias
CS1,ELEN-238
CS1,ELEN-132
CS1,ELEN-129
CS1,ELEN-134
CS1,ELEN-040
CS1,
CS1,
CS1,
CS1,ELEN-241
CS1,ELEN-138
CS1,ELEN-182
CS1,ELEN-215
CS1,ELEN-231
CS1,ELEN-047
CS1,ELEN-168
CS1,ELEN-050
CS1,ELEN-122
CS1,ELEN-087
CS1,ELEN-120
CS1,ELEN-219
CS1,ELEN-066
CS1,ELEN-207
CS1,ELEN-208
CS1,ELEN-059
CS1,ELEN-056
CS1,ELEN-077
CS1,
CS1,
CS1,ELEN-183
CS1,
CS1,ELEN-238
CS1,ELEN-145
CS1,
CS1,ELEN-144
CS1A,
CS1A,ELEN-050
CS1A,ELEN-246
CS1A,ELEN-102
CS1B,ELEN-246
CS1B,ELEN-102
CS1B,ELEN-050
CS1C,
CS2,ELEN-217
CS2,ELEN-057
CS2,
CS2,ELEN-052
CS2,
CS2,ELEN-196
CS2,ELEN-243
CS2,ELEN-118
CS2,
CS2,ELEN-087
CS2,ELEN-163
CS2,
CS2,ELEN-236
CS2,ELEN-162
CS2,ELEN-159
CS2,ELEN-060
CS2,ELEN-152
CS2,ELEN-154
CS2,ELEN-090
CS2,ELEN-076
CS2,ELEN-155
CS2,ELEN-188
CS2,ELEN-145
CS2,ELEN-120
CS2,ELEN-166
CS2,ELEN-234
CS2,ELEN-230
CS2,ELEN-043
CS2,ELEN-044
CS2,ELEN-044
CS2,ELEN-143
CS2,
CS2,ELEN-133
CS2,ELEN-039
CS2,ELEN-245
CS2A,ELEN-090
CS2A,ELEN-143
CS2A,
CS3,
CS3,ELEN-066
CS3,ELEN-245
CS3,ELEN-145
CS3,ELEN-220
CS3,ELEN-215
CS3,
CS3,ELEN-168
CS3,ELEN-209
CS3,ELEN-176
CS3,ELEN-132
CS3,ELEN-087
CS3,ELEN-120
CS3,
CS3,ELEN-165
CS3,ELEN-044
CS3,ELEN-235
CS3,ELEN-186
CS3,
CS3,
CS3,
CS3,ELEN-245
CS3,
CS3,
CS3,ELEN-208
CS3,ELEN-238
CS3,ELEN-241
CS3,ELEN-188
CS3,ELEN-077
CS3,ELEN-148
CS3,ELEN-237
CS3,ELEN-056
CS3,ELEN-132
CS3,ELEN-059
CS3A,ELEN-142
CS3A,
CS3B,ELEN-142
CS4,ELEN-060
CS4,ELEN-212
CS4,ELEN-121
CS4,ELEN-076
CS4,ELEN-245
CS4,ELEN-230
CS4,ELEN-162
CS4,ELEN-245
CS4,ELEN-141
CS4,ELEN-187
CS4,ELEN-163
CS4,ELEN-154
CS4,ELEN-159
CS4,
CS4,
CS4,ELEN-196
CS4,ELEN-044
CS4,ELEN-052
CS4,ELEN-136
CS4,ELEN-235
CS4,ELEN-145
CS4,ELEN-057
CS4,ELEN-166
CS4,
CS4,
CS4,ELEN-122
CS4,ELEN-130
CS4,ELEN-236
CS4,ELEN-131
CS4,ELEN-086
CS4A,ELEN-122
CS4A,ELEN-212
CS5,
CS5,ELEN-079
CS5,ELEN-056
CS5,ELEN-241
CS5,ELEN-045
CS5,
CS5,ELEN-188
CS5,ELEN-071
CS5,ELEN-122
CS5,ELEN-148
CS5,ELEN-173
CS5,ELEN-149
CS5,ELEN-216
CS5,ELEN-176
CS5,ELEN-208
CS5,ELEN-230
CS5,
CS5,ELEN-232
CS5,ELEN-066
CS5,ELEN-144
CS5,ELEN-186
CS5,
CS5,ELEN-116
CS5,
CS5,ELEN-168
CS5A,ELEN-232
CS5A,ELEN-085
CS5A,
CS5B,ELEN-085
CS6,
CS6,ELEN-187
CS6,ELEN-162
CS6,ELEN-074
CS6,
CS6,ELEN-084
CS6,ELEN-070
CS6,ELEN-126
CS6,ELEN-166
CS6,ELEN-159
CS6,
CS6,ELEN-175
CS6,ELEN-060
CS6,ELEN-049
CS6,ELEN-154
CS6,ELEN-230
CS6,ELEN-232
CS6,ELEN-237
CS6,ELEN-245
CS6,ELEN-051
CS6,ELEN-230
CS6,ELEN-233
CS6,ELEN-236
CS6,ELEN-196
CS6,ELEN-122
CS7,ELEN-110
CS7,ELEN-123
CS7,
CS7,ELEN-049
CS7,ELEN-071
CS7,ELEN-173
CS7,ELEN-067
CS7,ELEN-176
CS7,ELEN-122
CS7,ELEN-216
CS7,ELEN-229
CS7,ELEN-114
CS7,ELEN-214
CS7,
CS7,ELEN-241
CS7,ELEN-232
CS7,ELEN-241
CS7,ELEN-232
CS7,ELEN-188
CS7,
CS7,ELEN-056
CS7,
CS7,ELEN-145
CS7,ELEN-084
CS7A,ELEN-067
CS8,ELEN-245
CS8,ELEN-115
CS8,ELEN-181
CS8,ELEN-227
CS8,
CS8,ELEN-149
CS8,ELEN-068
CS8,ELEN-122
