short_alias,TP_CLS_ED,Qu_Gronda,Superficie,list_of_addresses,floors_est
ELEN-001,Nd,5.07,11.28,none,2
ELEN-002,Kna,7.46,323.1,none,3
ELEN-003,Nd,4.1,9.05,none,2
ELEN-004,Knt,4.73,105.89,none,2
ELEN-005,Knt,7.5,315.52,none,3
ELEN-006,Kna,0.0,299.28,none,1
ELEN-007,Knt,0.0,293.04,none,1
ELEN-008,Knt,4.73,166.6,none,2
ELEN-009,Kna,0.0,303.86,none,1
ELEN-010,Kna,7.4,42.63,none,3
ELEN-011,Knt,9999.0,914.28,none,3333
ELEN-012,Knt,9999.0,1029.17,none,3333
ELEN-013,Knt,9999.0,1320.93,none,3333
ELEN-014,Knt,4.48,157.65,none,2
ELEN-015,Knt,9999.0,168.84,none,3333
ELEN-016,Kna,9999.0,1101.83,none,3333
ELEN-017,Kna,9999.0,739.59,none,3333
ELEN-018,Kna,9999.0,1325.43,none,3333
ELEN-019,Knt,9.29,319.21,none,4
ELEN-020,Knt,0.0,308.01,none,1
ELEN-021,Knt,0.0,317.35,none,1
ELEN-022,Nr,10.32,665.7,none,4
ELEN-023,Nd,8.64,96.27,none,3
ELEN-024,Nd,5.17,68.7,none,2
ELEN-025,Knt,7.35,599.52,none,3
ELEN-026,Nr,10.18,159.78,none,4
ELEN-027,Nr,6.44,115.98,none,3
ELEN-028,Knt,9.26,320.01,none,4
ELEN-029,Knt,0.0,313.19,none,1
ELEN-030, ,9.5,309.12,none,4
ELEN-031, ,7.93,173.24,none,3
ELEN-032,Knt,0.0,296.47,none,1
ELEN-033,Knt,0.0,320.63,none,1
ELEN-034,Kna,9.5,321.87,none,4
ELEN-035,Nd,0.0,41.16,none,1
ELEN-036,Nd,0.0,361.69,none,1
ELEN-037,Kna,0.0,302.77,none,1
ELEN-038,Kna,0.0,312.77,none,1
ELEN-039,Nd,6.14,130.44,none,3
ELEN-040,Nd,4.46,19.04,none,2
ELEN-041,Nd,4.64,15.73,none,2
ELEN-042,Nd,5.91,24.58,none,2
ELEN-043,Kna,5.42,320.64,none,2
ELEN-044,Nd,4.64,25.55,none,2
ELEN-045,Nd,4.9,39.4,none,2
ELEN-046,Nr,5.57,433.21,none,2
ELEN-047,Kna,6.84,370.14,none,3
ELEN-048,Nr,4.91,106.42,none,2
ELEN-049,Nd,6.81,193.21,none,3
ELEN-050,Nd,4.16,12.91,none,2
ELEN-051,Ne,15.2,119.42,"CS1, CS3",6
ELEN-052,Ne,12.14,109.25,"CS3, CS6",5
ELEN-053,Ne,12.31,158.27,"CS1, CS5",5
ELEN-054,Ne,15.67,157.82,"CS2, CS4, CS6",6
ELEN-055,Ne,14.77,120.66,"CS1, CS2, CS3, CS4, CS7, CS9",5
ELEN-056,Ne,11.68,112.31,"CS6, CS8",4
ELEN-057,Ne,12.07,86.37,none,5
ELEN-058,Ne,15.14,171.92,"CS11, CS13, CS15, CS17, CS19",6
ELEN-059,Ne,9999.0,1331.45,"CS21, CS23, CS25, CS3, CS5",3333
ELEN-060,Ne,13.66,102.27,CS2,5
ELEN-061,Ne,9999.0,1177.41,"CS3, CS4",3333
ELEN-062,Ne,12.39,265.76,"CS1, CS3, CS5, CS7, CS8",5
ELEN-063,Ne,10.41,26.47,none,4
ELEN-064,Ne,9.53,54.64,CS11,4
ELEN-065,Ne,12.52,108.08,"CS2, CS9",5
ELEN-066,Ne,9999.0,735.79,"CS11, CS7, CS9",3333
ELEN-067,Nr,16.33,498.21,"CS2, CS4, CS5, CS6",6
ELEN-068,Ne,9999.0,676.27,"CS1, CS13, CS17, CS19, CS3",3333
ELEN-069,Ne,9999.0,642.17,"CS11, CS5, CS7, CS9",3333
ELEN-070,Nr,12.15,132.58,"CS13, CS7",5
ELEN-071,Ne,9999.0,155.57,CS2,3333
ELEN-072,Ne,9.46,64.18,none,4
ELEN-073,Ne,9999.0,394.15,"CS10, CS21, CS9",3333
ELEN-074,Ne,9.22,60.81,CS8,4
ELEN-075,Nr,16.66,420.29,"CS1A, CS1B",6
ELEN-076,Ne,12.7,211.17,"CS5, CS5A, CS6, CS7, CS9",5
ELEN-077,Ne,15.05,109.87,CS1,6
ELEN-078,Ne,9.5,325.01,"CS2, CS3, CS4, CS6, CS8",4
ELEN-079,Nr,16.67,420.31,"CS3A, CS3B",6
ELEN-080,Ne,15.86,143.59,none,6
ELEN-081,Ne,12.46,170.61,CS2,5
ELEN-082,Ne,12.5,142.75,none,5
ELEN-083,Ne,16.2,96.8,CS1,6
ELEN-084,Ne,13.35,69.07,none,5
ELEN-085,Ne,16.32,186.38,CS2,6
ELEN-086,Nr,13.53,254.17,CS1,5
ELEN-087,Ne,13.5,89.51,none,5
ELEN-088,Ne,13.3,149.26,CS4,5
ELEN-089,Ne,13.2,141.23,"CS1, CS3",5
ELEN-090,Ne,16.52,111.31,CS4,6
ELEN-091,Ne,16.23,242.47,"CS2, CS2A",6
ELEN-092,Nr,13.03,138.67,CS1,5
ELEN-093,Ne,16.52,88.81,CS4,6
ELEN-094,Ne,12.5,94.61,none,5
ELEN-095,Ne,15.94,111.76,CS1,6
ELEN-096,Ne,12.52,187.9,CS2,5
ELEN-097,Nr,16.54,99.44,none,6
ELEN-098,Nr,9999.0,1494.85,none,3333
ELEN-099,Ne,15.78,240.11,"CS2, CS3, CS4",6
