short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
FAVA-001,Ka/D,16.65,1.05,257.91
FAVA-002,Ka/D,0.0,0.0,160.25
FAVA-003,pt,20.64,1.15,303.58
FAVA-004,A,12.8,1.15,132.68
FAVA-005,C,14.5,1.15,298.42
FAVA-006,C,0.0,0.0,147.32
FAVA-007,pt,9999.0,1.15,1326.98
FAVA-008,Nd,0.0,0.85,467.56
FAVA-009,Ne,0.0,0.0,165.21
FAVA-010,C,0.0,0.95,356.13
FAVA-011,pt,14.6,0.95,135.48
FAVA-012,Ne,14.93,0.85,325.27
FAVA-013,Ne,3.66,0.85,12.81
FAVA-014,Ne,9.18,0.85,49.5
FAVA-015,D,21.56,0.85,303.68
FAVA-016,C,17.32,0.85,281.43
FAVA-017,C,17.66,0.85,336.97
FAVA-018,B,13.9,0.85,198.68
FAVA-019,Nd,4.6,0.95,11.41
FAVA-020,C,13.29,0.95,157.72
FAVA-021,fa,10.28,0.95,146.45
FAVA-022,fa,8.7,0.95,41.58
FAVA-023,fa,8.7,0.95,39.92
FAVA-024,Bg,13.0,0.85,86.17
FAVA-025,Bg,0.0,0.0,115.04
FAVA-026,B,9999.0,0.85,1988.54
FAVA-027,C,12.71,0.85,140.97
FAVA-028,C,12.67,0.95,121.31
FAVA-029,B,10.2,0.95,62.61
FAVA-030,B,6.79,0.85,102.96
FAVA-031,C,0.0,0.0,104.64
FAVA-032,C,0.0,0.0,134.2
FAVA-033,Nd,0.0,0.85,1160.08
FAVA-034,C,16.14,0.85,138.29
FAVA-035,Nd,0.0,0.85,7.35
FAVA-036,Ne,16.26,0.95,211.44
FAVA-037,pt,13.98,0.85,86.48
FAVA-038,Bg,14.3,0.85,59.97
FAVA-039,Bg,9999.0,1.15,1360.38
FAVA-040,Bg,17.62,1.15,90.92
FAVA-041,fa,17.93,1.15,195.93
FAVA-042,C,9999.0,1.15,1462.98
FAVA-043,C,0.0,0.0,117.58
FAVA-044,fa,9999.0,0.85,1691.44
FAVA-045,fa,12.7,0.85,66.76
FAVA-046,Ne,9999.0,1.15,1825.38
FAVA-047,Ne,15.82,1.15,75.87
FAVA-048,D,17.23,1.15,173.17
FAVA-049,B1,14.05,1.15,119.08
FAVA-050,A,16.33,1.15,58.1
FAVA-051,A,11.08,1.15,36.98
FAVA-052,pt,14.83,1.15,156.2
FAVA-053,A,0.0,1.05,70.52
FAVA-054,A1,0.0,1.05,41.6
FAVA-055,B,0.0,1.05,60.28
FAVA-056,B,10.0,1.05,55.26
FAVA-057,B,10.0,1.05,140.32
FAVA-058,B,10.2,1.05,45.58
FAVA-059,Ka/D,6.98,1.05,47.5
FAVA-060,N,0.0,1.15,49.85
FAVA-061,B,13.12,1.15,28.76
FAVA-062,B,14.27,1.26,82.86
FAVA-063,B,13.93,1.15,564.98
FAVA-064,B,0.0,0.0,52.39
FAVA-065,B,13.23,1.15,107.41
FAVA-066,Bg,15.23,1.05,35.54
FAVA-067,Bg,0.0,0.0,62.12
FAVA-068,B,12.52,1.15,49.38
FAVA-069,B,0.0,0.0,49.52
FAVA-070,A1,16.05,1.05,43.61
FAVA-071,B,14.73,1.05,45.84
FAVA-072,B,12.9,0.95,83.85
FAVA-073,B,13.65,0.95,53.82
FAVA-074,Bg,16.16,0.95,59.84
FAVA-075,B,12.08,0.95,53.92
FAVA-076,B,15.8,0.95,313.31
FAVA-077,pt,4.05,1.05,291.47
FAVA-078,pt,17.15,1.15,225.78
FAVA-079,A,10.0,1.15,34.21
FAVA-080,Bg,0.0,0.0,121.98
FAVA-081,D,14.35,0.85,301.19
FAVA-082,D,0.0,0.0,385.25
FAVA-083,Nd,0.0,0.95,28.45
FAVA-084,B,0.0,0.95,209.22
FAVA-085,D,0.0,1.05,304.55
FAVA-086,Nd,7.14,0.95,37.84
FAVA-087,Nd,10.43,0.95,24.56
FAVA-088,A1,19.5,0.95,308.06
FAVA-089,A1,13.47,0.85,67.64
FAVA-090,A,11.2,0.85,118.72
FAVA-091,A1,14.5,0.67,46.6
FAVA-092,fa,14.87,0.85,66.06
FAVA-093,fa,10.12,0.85,10.05
FAVA-094,Nd,4.2,0.85,6.75
FAVA-095, ,13.56,0.67,100.12
FAVA-096, ,4.0,0.85,18.6
FAVA-097, ,0.0,0.85,7.03
FAVA-098,Or,13.47,0.85,190.97
FAVA-099,A1,11.09,0.85,175.58
FAVA-100,C,0.0,0.0,71.39
FAVA-101,C,14.6,0.85,113.62
FAVA-102,Bg,13.47,0.85,49.22
FAVA-103,Bg,15.24,0.85,65.9
FAVA-104,A,14.96,0.85,48.36
FAVA-105,C,15.24,0.85,347.25
FAVA-106,C,16.24,0.85,334.4
FAVA-107,Bg,0.0,0.0,46.77
FAVA-108,Bg,0.0,0.0,38.01
FAVA-109,A1,12.0,0.85,46.53
FAVA-110,Bg,0.0,0.85,303.14
FAVA-111,D,14.27,0.85,146.69
FAVA-112,C,17.59,0.85,280.03
FAVA-113,B,13.27,0.85,178.01
FAVA-114,A1,13.32,0.85,146.09
FAVA-115,A1,12.47,0.85,60.92
FAVA-116,A1,0.0,0.0,73.83
FAVA-117,A1,12.47,0.85,51.88
FAVA-118,A1,12.96,0.85,41.76
FAVA-119,A1,14.19,0.95,49.65
FAVA-120,A1,11.8,0.95,38.16
FAVA-121,A1,0.0,0.0,37.63
FAVA-122,A1,0.0,0.0,44.89
FAVA-123,A1,0.0,0.0,36.37
FAVA-124,A1,10.77,0.95,39.68
FAVA-125,A1,13.28,0.95,50.86
FAVA-126,A1,0.0,0.0,48.92
FAVA-127,A1,0.0,0.0,48.07
FAVA-128,A1,13.75,0.95,48.89
FAVA-129,A1,16.18,1.15,54.65
FAVA-130,Bg,16.18,0.95,48.34
FAVA-131,Or,11.28,0.85,216.23
FAVA-132,C,19.0,0.85,392.23
FAVA-133,A1,9.91,0.84,267.15
FAVA-134, ,5.19,0.85,39.81
FAVA-135,A1,11.05,0.85,123.8
FAVA-136,B,10.22,0.85,84.79
FAVA-137,fa,10.73,1.05,132.52
FAVA-138,A1,9.62,0.84,66.31
FAVA-139,A1,13.13,1.05,50.08
FAVA-140,B,0.0,0.0,85.16
FAVA-141,B,0.0,1.05,132.52
FAVA-142,fa,17.13,0.95,69.68
FAVA-143,Nd,11.7,0.95,48.69
FAVA-144,Nd,15.52,0.95,761.24
FAVA-145,B,0.0,0.0,29.95
FAVA-146, ,0.0,0.95,21.03
FAVA-147,B,0.0,0.0,43.76
FAVA-148,B,0.0,0.0,44.24
FAVA-149,B,0.0,1.05,75.46
FAVA-150,B,0.0,1.05,74.34
FAVA-151,B,0.0,0.0,83.55
FAVA-152,B,0.0,0.0,88.59
FAVA-153,fa,13.46,0.95,169.81
FAVA-154,fa,13.48,0.95,107.48
FAVA-155,B,0.0,0.95,95.23
FAVA-156,fa,13.6,0.95,86.84
FAVA-157,Nr,0.0,0.95,145.83
FAVA-158,fa,0.0,0.85,362.44
FAVA-159, ,9999.0,0.95,2253.0
FAVA-160,fa,9999.0,1.05,2202.46
FAVA-161,A1,12.46,1.05,44.43
FAVA-162,A1,14.28,1.05,31.71
FAVA-163,A1,0.0,1.05,21.25
FAVA-164,A1,11.43,1.05,18.08
FAVA-165,A1,12.25,0.95,39.36
FAVA-166,A1,0.0,0.0,51.69
FAVA-167,A1,14.59,1.05,51.48
FAVA-168,A,9999.0,1.05,2344.86
FAVA-169,A1,10.69,0.95,64.14
FAVA-170,A1,9999.0,0.95,2348.98
FAVA-171,A,9999.0,0.95,2402.34
FAVA-172,A,9.87,0.95,41.01
FAVA-173,A,11.1,0.95,37.83
FAVA-174,A,11.4,0.95,43.14
FAVA-175,A1,9999.0,0.95,2429.16
FAVA-176,A1,0.0,0.0,45.12
FAVA-177,A1,0.0,0.0,52.7
FAVA-178,A1,0.0,0.0,73.95
FAVA-179,A,0.0,0.0,38.14
FAVA-180,A,0.0,0.0,33.57
FAVA-181,A,10.5,0.95,21.76
FAVA-182,pt,12.44,1.15,39.75
FAVA-183,pt,14.68,1.15,170.56
FAVA-184,A1,13.2,1.15,77.68
FAVA-185,pt,10.35,1.15,80.74
FAVA-186,pt,0.0,0.0,51.47
FAVA-187,A,0.0,0.0,28.05
FAVA-188,A,0.0,0.0,25.18
FAVA-189,A,0.0,0.0,36.4
FAVA-190,A,11.04,1.15,40.61
FAVA-191,A,0.0,0.0,39.75
FAVA-192,A,9999.0,0.95,102.61
FAVA-193,A,0.0,0.0,52.32
FAVA-194,pt,13.2,1.15,100.97
FAVA-195,A1,13.4,1.15,95.78
FAVA-196,A1,0.0,1.15,70.22
FAVA-197,A1,10.24,1.15,114.33
FAVA-198,A,8.77,1.15,61.69
FAVA-199,Nr,6.69,1.15,50.4
FAVA-200,A1,9.69,1.15,61.87
FAVA-201,B,15.12,0.85,52.76
FAVA-202,B,0.0,0.0,66.53
FAVA-203,B,14.36,0.85,318.65
FAVA-204,Or,20.06,0.85,391.87
FAVA-205,Ne,8.2,0.85,127.56
FAVA-206,Ne,9999.0,0.95,15654.0
FAVA-207,fa,9999.0,0.95,15641.46
FAVA-208,A1,13.52,1.15,67.82
FAVA-209,A1,0.0,0.0,64.69
