short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
FILI-001,Nd,5.2,0.85,12.9
FILI-002,Nd,0.0,0.85,331.35
FILI-003,C,12.0,0.85,111.69
FILI-004, ,9999.0,0.95,14213.85
FILI-005,Nr,9999.0,0.85,14459.37
FILI-006,C,9999.0,0.95,13444.15
FILI-007,C,9999.0,0.85,14564.67
FILI-008,fa,9999.0,0.85,15450.81
FILI-009,C,9999.0,0.95,12942.19
FILI-010,A1,4.9,0.95,68.81
FILI-011,fa,9999.0,0.85,15103.81
FILI-012,pt,14.63,0.7,28.81
FILI-013, ,9999.0,0.95,13657.53
FILI-014,pt,0.0,0.85,66.81
FILI-015,B,18.43,0.85,83.76
FILI-016,A1,20.15,0.95,299.13
FILI-017,C,11.17,0.95,78.22
FILI-018,A1,6.6,0.95,39.26
FILI-019,pt,0.0,0.0,216.1
FILI-020,fa,0.0,0.0,0.0
FILI-021,A,14.33,0.95,36.25
FILI-022,pt,11.8,0.7,104.94
FILI-023,fa,11.68,0.85,202.06
FILI-024,fa,0.0,0.0,0.0
FILI-025,Nd,0.0,0.0,0.0
FILI-026,C,0.0,0.0,93.77
FILI-027, ,3.9,0.85,56.78
FILI-028, ,4.45,0.95,132.74
FILI-029,Nd,15.4,0.85,409.16
FILI-030,Bg,13.6,0.95,88.07
FILI-031,Kt,13.69,0.95,157.04
FILI-032, ,16.9,0.95,180.2
FILI-033,B,9.4,0.95,55.32
FILI-034,B,0.0,0.0,61.91
FILI-035,Bg,0.0,0.0,115.99
FILI-036,Nr,12.62,0.95,93.86
FILI-037,B,13.42,0.95,80.22
FILI-038,A,16.49,0.95,52.51
FILI-039,B,12.4,0.95,57.51
FILI-040,B,15.89,0.95,84.41
FILI-041,A1,0.0,0.85,187.29
FILI-042,Kt,6.3,0.95,110.49
FILI-043,A1,0.0,0.0,89.92
FILI-044,B1,9.42,0.95,65.18
FILI-045,B1,13.75,0.85,138.78
FILI-046,B,20.62,0.95,340.36
FILI-047,A1,13.59,0.95,92.68
FILI-048,B1,0.0,0.0,30.43
FILI-049,B,14.0,0.85,54.06
FILI-050,Ne,8.16,0.95,79.22
FILI-051,B1,13.6,1.95,262.47
FILI-052,B,0.0,0.0,67.44
FILI-053,SU,12.22,0.95,344.31
FILI-054,A,0.0,0.0,26.78
FILI-055,Bg,8.65,0.95,67.23
FILI-056,SU,13.45,0.95,66.33
FILI-057,Ne,14.66,0.95,123.73
FILI-058,B,10.39,0.95,90.44
FILI-059,fa,12.55,0.95,66.35
FILI-060,A1,16.43,0.85,191.11
FILI-061,A,0.0,0.0,28.14
FILI-062,A1,10.37,0.85,89.83
FILI-063,B,13.58,1.05,74.84
FILI-064,Or,0.0,0.75,1393.96
FILI-065,Or,15.06,1.05,179.82
FILI-066,B,13.0,0.85,74.44
FILI-067,D,0.0,0.0,55.93
FILI-068,B,0.0,0.0,113.72
FILI-069,D,0.0,0.0,56.47
FILI-070,D,18.36,0.85,634.11
FILI-071,A1,0.0,0.85,182.21
FILI-072,D,12.53,0.85,59.92
FILI-073,A1,0.0,0.0,63.91
FILI-074,fa,0.0,0.85,578.88
FILI-075, ,0.0,0.0,1183.46
FILI-076,Bg,0.0,0.0,82.11
FILI-077,A,18.76,1.05,67.12
FILI-078, ,8.27,1.05,61.4
FILI-079, ,13.9,1.05,69.31
FILI-080, ,0.0,0.0,69.34
FILI-081,B,0.0,1.15,70.87
FILI-082,A1,0.0,1.05,97.66
FILI-083,B,0.0,0.0,70.7
FILI-084,Bg,16.1,1.15,95.53
