short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
ISEP-001,Nd,0.0,1.25,9.46
ISEP-002,Nd,14.2,1.25,1085.41
ISEP-003,Nr,14.73,1.25,307.2
ISEP-004,Nr,11.65,1.15,395.79
ISEP-005,Nr,5.0,1.15,25.22
ISEP-006,fa,10.6,1.25,142.27
ISEP-007,fa,9.98,1.25,60.29
ISEP-008,A,5.9,1.25,61.14
ISEP-009,A,0.0,0.0,52.49
ISEP-010,A,6.92,1.25,60.37
ISEP-011,N,14.65,1.25,119.69
ISEP-012,A,8.4,1.25,61.05
ISEP-013,B,10.33,1.25,86.31
ISEP-014,A,11.94,1.25,50.22
ISEP-015,B,14.3,1.25,119.44
ISEP-016,A,12.26,1.25,54.05
ISEP-017,A1,12.38,1.25,55.45
ISEP-018,A1,10.46,1.25,85.62
ISEP-019,A1,10.46,1.25,76.79
ISEP-020,Nr,7.48,1.25,30.0
ISEP-021,A,12.4,1.15,64.34
ISEP-022,B,8.55,1.15,126.69
ISEP-023,pt,8.27,1.15,69.75
ISEP-024,pt,10.02,1.15,41.47
ISEP-025,fa,10.72,1.15,103.11
ISEP-026,B,6.84,1.15,58.32
ISEP-027,fa,9.64,1.25,163.49
ISEP-028,fa,10.12,1.35,35.02
ISEP-029,fa,10.12,1.35,32.7
ISEP-030,fa,11.0,1.35,63.66
ISEP-031,fa,13.65,1.35,75.17
ISEP-032,Knt,4.63,1.35,49.7
ISEP-033,pt,14.5,1.35,169.75
ISEP-034,A1,12.73,1.35,67.2
ISEP-035,A1,15.7,1.35,59.84
ISEP-036,A1,12.9,1.35,70.42
ISEP-037,fa,13.38,1.35,76.67
ISEP-038,Nd,4.75,1.15,13.96
ISEP-039,Nd,7.9,1.15,66.65
ISEP-040,A,7.95,1.15,58.1
ISEP-041,A,11.15,1.15,77.72
ISEP-042,A,0.0,0.0,67.82
ISEP-043,fa,10.57,1.15,61.3
ISEP-044,Nr,9.98,1.15,29.53
ISEP-045,A,11.7,1.15,62.69
ISEP-046,A,12.23,1.15,69.7
ISEP-047,A,7.16,1.15,73.86
ISEP-048,A,6.9,1.15,55.98
ISEP-049,A,13.1,1.15,39.78
ISEP-050,A,12.34,1.15,79.51
ISEP-051,A1,10.8,1.15,76.7
ISEP-052,pt,9.04,1.15,69.45
ISEP-053,Nr,7.6,1.55,68.61
ISEP-054,Nr,10.1,1.55,289.68
ISEP-055,Nr,9999.0,1.55,1528.95
ISEP-056,Nr,9.4,1.55,576.65
ISEP-057,Nr,0.0,1.55,266.88
ISEP-058,Nr,9999.0,1.85,3475.77
ISEP-059,Ne,0.0,1.75,312.03
ISEP-060,Nr,10.8,6.45,35.7
ISEP-061,Ne,17.5,5.75,560.82
ISEP-062,Nr,10.6,5.75,186.19
ISEP-063,Ne,15.33,5.75,417.86
ISEP-064,Ne,12.68,5.15,509.12
ISEP-065,Nr,11.75,5.05,224.4
ISEP-066,Nr,0.0,0.0,326.44
ISEP-067,Nr,11.7,5.45,109.62
ISEP-068,Ne,9999.0,1.55,2910.95
ISEP-069,Nr,7.58,2.05,682.55
ISEP-070,Nr,12.84,5.05,254.95
ISEP-071,Nr,9999.0,1.65,2064.04
ISEP-072,Nr,9999.0,1.55,655.8
ISEP-073,Nd,0.0,1.75,20.25
ISEP-074,Nr,0.0,0.0,21.65
ISEP-075,Nr,9.12,1.75,110.58
ISEP-076,Nd,7.36,1.75,36.03
ISEP-077,Nd,4.72,1.75,25.83
ISEP-078,Knt,4.72,1.75,79.11
ISEP-079,Nd,0.0,1.75,28.38
ISEP-080,Nd,0.0,1.85,71.68
ISEP-081,Knt,5.11,1.85,119.72
ISEP-082,Nr,16.66,1.35,248.09
ISEP-083,SU,0.0,0.0,738.7
ISEP-084,Nr,0.0,1.15,4189.44
ISEP-085,Nd,13.18,1.55,57.91
ISEP-086,Nd,7.12,1.55,13.16
ISEP-087,Nd,7.12,1.55,12.48
ISEP-088,Nr,0.0,1.55,4654.1
ISEP-089,Ne,8.76,1.45,435.7
ISEP-090,Nr,9999.0,1.55,2812.51
ISEP-091,Nr,5.38,1.55,87.51
ISEP-092,Nr,10.0,1.25,771.32
ISEP-093,N,10.3,1.25,387.54
ISEP-094,Nr,13.73,1.25,246.99
ISEP-095,Kna,5.6,1.15,166.97
ISEP-096,Nr,14.77,1.25,174.87
ISEP~NO_BUILDING,,,,
