short_alias,TP_CLS_ED,Qu_Gronda,Superficie,list_of_addresses,floors_est
LATE-001,C,0.0,574.46,CS6391,1
LATE-002,C,0.0,388.29,"CS6393, CS6394, CS6394A, CS6394B",1
LATE-003,A,0.0,37.04,CS6395A,1
LATE-004,fa,0.0,159.38,none,1
LATE-005,SM,0.0,172.98,"CS6395B, CS6395F",1
LATE-006,SM,0.0,1190.77,"CS6393D, CS6395C, CS6395E",1
LATE-007,C,0.0,426.07,"CS6378, CS6378A, CS6378B",1
LATE-008,B,0.0,118.91,"CS6379, CS6380, CS6381, CS6382, CS6383A",1
LATE-009,B,0.0,103.15,"CS6383, CS6384, CS6384A, CS6384B, CS6384C",1
LATE-010,C,0.0,63.88,none,1
LATE-011,C,0.0,240.78,"CS6385, CS6385A",1
LATE-012,C,0.0,272.56,none,1
LATE-013,B,0.0,146.86,"CS6386, CS6386A",1
LATE-014,O,0.0,147.9,"CS6389, CS6390",1
LATE-015,O,0.0,186.48,"CS6387, CS6388",1
LATE~NO_BUILDING,,,,"CS6388A, CS6392, CS6394C",
