short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
LORE-001,Kna,0.0,0.95,212.22
LORE-002,Nr,9999.0,1.05,1276.3
LORE-003,SU,15.3,1.05,913.98
LORE-004,Ne,9.43,0.95,282.11
LORE-005,Ne,4.62,0.95,192.59
LORE-006,Ne,11.27,0.95,334.5
LORE-007,Nd,0.0,0.85,26.35
LORE-008,B,15.75,0.85,408.88
LORE-009,pt,0.0,0.85,110.14
LORE-010,A,0.0,0.0,76.05
LORE-011,C,16.48,0.95,482.94
LORE-012,C,15.46,0.95,557.33
LORE-013,Nd,8.69,0.95,11.0
LORE-014,D,12.64,0.95,286.29
LORE-015,D,11.62,0.95,249.1
LORE-016,SU,18.65,0.85,441.57
LORE-017,A,14.59,0.85,444.34
LORE-018,B,13.0,0.85,98.4
LORE-019,B,13.0,0.85,112.11
LORE-020,B,14.89,0.95,377.15
LORE-021,A,6.93,0.95,30.4
LORE-022,A,17.7,0.95,245.13
LORE-023,SU,14.57,0.85,437.78
LORE-024,Or,13.3,0.75,351.11
LORE-025,SU,17.05,0.75,92.88
LORE-026,SU,0.0,0.85,952.29
LORE-027, ,0.0,0.85,17.81
LORE-028,SM,15.25,0.75,703.08
LORE-029,pt,14.15,1.15,735.31
LORE-030,B,9.29,1.95,47.07
LORE-031,pt,9.05,0.75,71.64
LORE-032,pt,9.72,1.95,203.37
LORE-033,Knt,5.24,0.95,185.15
LORE-034,C,16.0,0.95,676.41
LORE-035,Kt,5.24,0.85,97.23
LORE-036,Ne,9.43,0.85,131.56
LORE-037,A,12.6,0.85,114.2
LORE-038,Ne,12.89,0.85,95.75
LORE-039,Bg,13.0,0.85,71.3
LORE-040,fa,0.0,0.85,33.87
LORE-041,fa,31.22,0.85,24.62
LORE-042,SU,8.67,0.85,20.13
LORE-043,D,14.67,0.85,346.27
LORE-044,Or,10.62,0.75,75.58
LORE-045,fa,0.0,0.0,274.4
LORE-046,Or,8.28,0.65,91.09
LORE-047,fa,7.98,0.65,66.73
LORE-048,Kt,12.05,0.75,166.91
LORE-049,Kt,3.24,0.65,20.55
LORE-050,Kt,0.0,0.65,22.58
LORE-051,Kt,3.0,0.65,13.85
LORE-052,B,0.0,0.0,41.6
LORE-053,Bg,8.0,0.65,20.25
LORE-054,Bg,6.73,0.65,12.89
LORE-055,Bg,11.31,0.65,149.05
LORE-056,B,10.57,0.65,72.3
LORE-057,Kt,0.0,0.75,409.2
LORE-058,B,10.53,1.95,64.34
LORE-059,D,13.9,0.65,401.23
LORE-060,D,16.14,1.05,92.86
LORE-061,C,15.64,1.05,103.33
LORE-062,Bg,0.0,0.0,108.09
LORE-063,C,0.0,0.0,131.58
LORE-064,Nr,0.0,0.0,105.68
LORE-065,A,4.0,1.05,64.9
LORE-066,pt,9.17,1.05,97.66
LORE-067,fa,9.38,1.05,130.64
LORE-068,A,9.21,1.05,44.41
LORE-069,A,13.71,1.05,59.27
LORE-070,Bg,0.0,0.0,53.06
LORE-071,Bg,0.0,0.0,86.02
LORE-072,C,17.58,1.05,110.61
LORE-073,D,18.04,0.95,246.94
LORE-074,D,14.36,0.95,170.97
LORE-075,C,15.4,0.95,272.73
LORE-076,Bg,12.36,1.05,75.02
LORE-077,A,8.0,1.05,97.25
LORE-078,A1,12.6,1.05,29.65
LORE-079,A1,13.12,1.05,36.56
LORE-080,A1,0.0,1.05,41.46
LORE-081,pt,15.02,1.05,45.44
LORE-082,A,12.25,1.05,43.86
LORE-083,A1,12.17,1.05,33.54
LORE-084,Bg,13.08,1.05,82.51
LORE-085,B,12.77,1.05,85.29
LORE-086,Ne,7.78,1.05,86.05
LORE-087,A1,9.68,1.05,67.95
LORE-088,A1,10.2,1.05,112.11
LORE-089,A,0.0,0.0,35.32
LORE-090,A,0.0,0.0,115.45
