short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
MRTN-001,A1,0.0,1.05,56.46
MRTN-002,A1,9.41,1.05,50.25
MRTN-003,fa,10.63,1.05,170.39
MRTN-004,fa,15.5,1.05,149.04
MRTN-005,fa,12.9,1.05,48.65
MRTN-006,A,0.0,0.0,46.12
MRTN-007,B,12.67,1.05,69.18
MRTN-008,B,13.02,1.05,205.33
MRTN-009,A1,10.26,1.05,34.91
MRTN-010,B,7.18,1.05,83.68
MRTN-011,B,4.0,1.05,17.12
MRTN-012,A1,9.1,1.05,29.02
MRTN-013,fa,12.4,1.05,50.32
MRTN-014,A,9.0,1.05,22.0
MRTN-015,A,9.68,1.05,40.02
MRTN-016,A,7.23,1.15,49.66
MRTN-017,A,9.6,1.15,65.9
MRTN-018,B,0.0,0.0,60.77
MRTN-019,B,10.22,1.15,77.18
MRTN-020,B,7.3,1.15,59.05
MRTN-021,A,0.0,1.05,34.97
MRTN-022,A1,10.23,1.25,141.66
MRTN-023,A,9.44,1.25,53.29
MRTN-024,A,9.69,1.25,39.41
MRTN-025,A,9.68,1.25,41.59
MRTN-026,A,9.48,1.25,46.73
MRTN-027,A,9.52,1.25,26.22
MRTN-028,A,8.62,1.25,36.21
MRTN-029,B,9.08,1.25,33.89
MRTN-030,B,12.14,1.25,102.76
MRTN-031,B,10.14,1.05,54.5
MRTN-032,B,6.61,1.05,63.19
MRTN-033,A,7.13,1.05,34.52
MRTN-034,A,7.13,1.05,31.8
MRTN-035,A,7.13,1.05,31.27
MRTN-036,A,6.31,1.05,34.98
MRTN-037,A1,12.55,1.05,65.3
MRTN-038,A,8.74,1.05,16.19
MRTN-039,A,6.98,1.05,24.53
MRTN-040,B,12.3,1.05,60.01
MRTN-041,B,10.47,1.05,83.25
MRTN-042,B,9.51,1.05,73.36
MRTN-043,B,0.0,0.0,56.94
MRTN-044,C,14.16,1.05,64.13
MRTN-045,A,11.08,1.05,116.86
MRTN-046,A,8.18,1.05,30.16
MRTN-047,B,0.0,0.0,63.44
MRTN-048,Or,7.72,1.05,73.51
MRTN-049,Or,9.72,1.05,108.54
MRTN-050,A1,15.25,1.05,52.7
MRTN-051,B,14.13,1.05,74.6
MRTN-052,C,10.77,1.05,86.76
MRTN-053,D,16.49,1.05,261.74
MRTN-054,D,16.68,1.05,288.47
MRTN-055,pt,10.67,1.05,180.34
MRTN-056,D,14.15,1.05,199.37
MRTN-057,D,13.67,1.05,285.68
MRTN-058,fa,9.12,1.05,163.8
MRTN-059,A,8.32,1.05,18.74
MRTN-060,A,10.24,1.05,19.59
MRTN-061,A,10.24,1.05,35.81
MRTN-062,A,9.32,1.05,10.59
MRTN-063,A,10.6,1.15,140.86
MRTN-064,pt,0.0,1.15,233.03
MRTN-065,D,10.68,1.15,252.58
MRTN-066,C,10.8,1.15,252.92
MRTN-067,B,13.55,1.05,1314.67
MRTN-068,C,14.9,1.15,288.59
MRTN-069,P,9999.0,1.15,21895.78
MRTN-070, ,7.53,1.05,88.37
MRTN-071, ,5.2,1.05,30.36
MRTN-072,fa,11.36,1.05,85.73
MRTN-073,B,0.0,0.0,65.64
MRTN-074,Ne,13.28,1.05,88.52
MRTN-075, ,8.6,1.05,62.48
MRTN-076,SU,30.65,1.05,26.51
MRTN-077,SU,10.72,1.05,149.04
MRTN-078,fa,0.0,1.05,924.02
MRTN-079,SU,8.05,1.05,221.99
MRTN-080,pt,0.0,1.05,58.08
MRTN-081,pt,0.0,1.05,122.26
MRTN-082,fa,5.2,1.05,16.23
MRTN-083,Or,17.37,1.05,80.34
MRTN-084,A1,9.59,1.05,63.54
MRTN-085,Or,17.98,1.05,191.92
MRTN-086,D,14.0,1.05,448.27
MRTN-087,pt,12.0,1.05,58.7
MRTN~NO_BUILDING,,,,
