Full_sesti,short_alias
CS1,PIER-073
CS1B,PIER-073
CS2,PIER-035
CS2A,PIER-035
CS3,PIER-036
CS4,PIER-036
CS5A,PIER-078
CS5B,PIER-078
CS5C,PIER-079
CS6,PIER-080
CS6A,PIER-080
CS6B,PIER-080
CS6C,PIER-080
CS6D,PIER-080
CS6E,PIER-080
CS6F,PIER-080
CS7,
CS7A,
CS7B,
CS7C,
CS7D,PIER-082
CS7L,PIER-087
CS8,
CS8A,
CS8B,
CS8C,
CS8D,
CS8E,
CS8F,
CS8G,
CS8H,PIER-090
CS8I,
CS9,
CS9A,
CS9B,PIER-092
CS10A,PIER-095
CS10B,
CS11,PIER-096
CS11A,PIER-096
CS11B,
CS11C,
CS11D,
CS11E,
CS11F,
CS11G,
CS11H,
CS11L,PIER-087
CS11M,PIER-087
CS11N,PIER-087
CS11O,PIER-093
CS11P,PIER-093
CS11Q,
CS11R,PIER-083
CS11S,PIER-083
CS11V,PIER-087
CS11Z,
CS13,
CS14,PIER-037
CS15,PIER-038
CS16,PIER-038
CS17,PIER-039
CS18,PIER-039
CS19,PIER-039
CS20,
CS21,
CS22,PIER-074
CS23,PIER-074
CS24,
CS25,PIER-040
CS26,PIER-040
CS28,PIER-040
CS29,PIER-040
CS30,PIER-040
CS31,PIER-041
CS32,PIER-041
CS32A,PIER-024
CS32B,PIER-024
CS40A,PIER-043
CS40B,
CS40C,PIER-022
CS41,PIER-044
CS41A,PIER-044
CS41B,PIER-021
CS41C,PIER-022
CS41D,
CS41E,
CS41F,PIER-071
CS41G,PIER-021
CS42,
CS42A,PIER-046
CS43,PIER-046
CS44,
CS45,PIER-018
CS45A,PIER-046
CS47,PIER-017
CS49,
CS50,PIER-063
CS51,
CS53,PIER-058
CS54,PIER-047
CS54A,
CS55,PIER-048
CS55A,PIER-048
CS56,PIER-049
CS57,PIER-050
CS58,PIER-052
CS58A,PIER-051
CS59,PIER-051
CS59A,PIER-056
CS59B,PIER-056
CS59C,PIER-056
CS60,PIER-057
CS61,PIER-057
CS61A,
CS61B,PIER-065
CS61C,
CS62,PIER-102
CS63,PIER-102
CS64,PIER-103
CS64A,PIER-103
CS65,PIER-067
CS65A,PIER-068
CS65B,PIER-068
CS65C,PIER-068
CS66,PIER-069
CS66A,PIER-069
CS66B,PIER-069
CS67,PIER-070
CS67A,PIER-070
CS68,PIER-070
CS68A,PIER-070
CS69,PIER-103
CS70,PIER-014
CS71,PIER-007
CS71A,PIER-007
CS72,PIER-006
CS73,PIER-005
CS73B,PIER-105
