short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
RUGA-001,pt,7.79,1.15,167.39
RUGA-002,C,11.75,1.15,194.95
RUGA-003,B,7.43,1.15,52.1
RUGA-004,B,7.54,1.15,140.71
RUGA-005,C,10.08,1.15,146.81
RUGA-006,Bg,10.7,1.15,158.34
RUGA-007,Bg,10.86,1.15,98.76
RUGA-008,B,13.18,1.15,131.0
RUGA-009,Or,0.0,0.0,95.83
RUGA-010,B,10.65,1.15,173.23
RUGA-011,A,9.4,1.35,36.81
RUGA-012,A,10.04,1.25,108.21
RUGA-013,B,10.4,1.15,52.32
RUGA-014,pt,8.84,1.15,44.04
RUGA-015,A1,10.88,1.15,123.14
RUGA-016,Bg,13.6,1.15,127.56
RUGA-017,Bg,5.88,1.05,19.01
RUGA-018,pt,7.4,1.05,69.41
RUGA-019,fa,10.57,1.05,161.44
RUGA-020,fa,0.0,0.0,77.19
RUGA-021,Bg,10.12,0.95,71.73
RUGA-022,Bg,9999.0,0.95,7611.01
RUGA-023,A1,9999.0,0.0,92.63
RUGA-024,B,10.8,0.95,132.24
RUGA-025,A,0.0,0.0,69.5
RUGA-026,A,0.0,0.0,35.11
RUGA-027,A,0.0,0.0,87.62
RUGA-028,B,10.69,0.95,44.96
RUGA-029,B,0.0,0.0,61.08
RUGA-030,B,0.0,0.0,53.7
RUGA-031,B,13.15,0.95,55.64
RUGA-032,B,12.66,0.95,97.7
RUGA-033,B,12.63,0.95,79.93
RUGA-034,Or,10.18,0.95,65.97
RUGA-035,A1,0.0,0.0,73.44
RUGA-036,A1,10.7,0.95,71.23
RUGA-037,Bg,0.0,0.0,89.32
RUGA-038,Bg,0.0,0.0,86.93
RUGA-039,Bg,7.88,0.95,102.2
RUGA-040,C,9999.0,0.95,8378.61
RUGA-041,B,9999.0,0.95,46.66
RUGA-042,A1,0.0,0.95,37.83
RUGA-043,pt,8.5,0.95,34.33
RUGA-044,pt,8.5,0.95,205.77
RUGA-045,Nr,10.03,1.15,90.11
RUGA-046,Bg,10.76,1.05,62.89
RUGA-047,B1,6.76,1.05,40.91
RUGA-048,Ne,13.15,1.05,394.7
RUGA-049,Ne,0.0,1.05,85.4
RUGA-050,B,11.04,1.25,79.53
RUGA-051,B,11.04,1.25,79.19
RUGA-052,A,6.3,1.25,50.62
RUGA-053,Nd,3.37,1.35,8.9
RUGA-054,Nd,3.36,1.35,6.73
RUGA-055,B,8.66,1.35,174.55
RUGA-056,B,9.08,1.15,46.27
