Full_sesti,short_alias
CS4979,SEVE-017
CS4979A,SEVE-017
CS4979B,SEVE-017
CS4980,SEVE-017
CS4980A,SEVE-017
CS4981,SEVE-018
CS4981A,SEVE-018
CS4981B,SEVE-018
CS4982,SEVE-019
CS4982A,SEVE-019
CS4983,
CS4984,
CS4985,SEVE-022
CS4986,SEVE-023
CS4987,SEVE-023
CS4987A,SEVE-023
CS4988,SEVE-023
CS4989,SEVE-024
CS4990,SEVE-024
CS4991,SEVE-024
CS4992,SEVE-024
CS4993,SEVE-025
CS4994,SEVE-025
CS4995,SEVE-025
CS4996,SEVE-026
CS4996A,SEVE-027
CS4997,
CS4998,SEVE-018
CS4999,SEVE-017
CS5000,SEVE-017
CS5001,SEVE-006
CS5002,SEVE-007
CS5003,SEVE-007
CS5004,SEVE-008
CS5005,SEVE-008
CS5006,SEVE-009
CS5007,SEVE-009
CS5008,SEVE-010
CS5009,SEVE-010
CS5010,SEVE-010
CS5011,SEVE-011
CS5012,SEVE-012
CS5013,SEVE-012
CS5014,SEVE-013
CS5015,SEVE-013
CS5016,SEVE-014
CS5016A,SEVE-014
CS5016B,SEVE-014
CS5017,SEVE-016
CS5018,SEVE-016
CS5019,SEVE-016
CS5020,SEVE-029
CS5021,SEVE-029
CS5022,SEVE-028
CS5023,SEVE-028
CS5024,SEVE-030
CS5025,SEVE-030
CS5026,SEVE-031
CS5027,SEVE-031
CS5028,SEVE-039
CS5029,SEVE-039
CS5029A,SEVE-039
CS5030,SEVE-038
CS5031,SEVE-038
CS5032,SEVE-038
CS5033,SEVE-038
CS5034,SEVE-032
CS5035,SEVE-032
CS5037A,SEVE-030
CS5038,SEVE-028
CS5039,
CS5040,SEVE-034
CS5041,SEVE-034
CS5042,SEVE-034
CS5044,SEVE-037
CS5045,SEVE-037
CS5046,SEVE-037
CS5047,SEVE-040
CS5048,SEVE-052
CS5049,SEVE-041
CS5049A,SEVE-041
CS5049B,SEVE-041
CS5050,SEVE-042
CS5051,SEVE-042
CS5052,SEVE-043
CS5053,SEVE-043
CS5053A,SEVE-043
CS5054,SEVE-082
CS5054A,SEVE-082
CS5054B,SEVE-080
CS5056,SEVE-083
CS5076,SEVE-080
CS5076A,SEVE-046
CS5077,SEVE-046
CS5077A,SEVE-046
CS5078,SEVE-047
CS5079,SEVE-104
CS5080,SEVE-105
CS5081,SEVE-056
CS5081A,SEVE-056
CS5082,SEVE-057
CS5082A,SEVE-059
CS5083,SEVE-059
CS5083A,SEVE-060
CS5084,SEVE-060
CS5085,SEVE-063
CS5086,SEVE-064
CS5087,SEVE-007
CS5087A,SEVE-007
CS5088,SEVE-007
CS5088A,SEVE-007
CS5089,SEVE-006
CS5089A,SEVE-006
CS5089B,SEVE-006
CS5090,SEVE-006
CS5091,SEVE-066
CS5091A,SEVE-066
CS5092,SEVE-065
CS5093,SEVE-065
CS5094,SEVE-070
CS5095,SEVE-071
CS5096,SEVE-072
CS5097,SEVE-073
CS5098,SEVE-074
CS5098A,SEVE-074
CS5099,SEVE-075
CS5100,SEVE-076
CS5101,SEVE-077
CS5102,SEVE-078
CS5103,SEVE-079
CS5104,SEVE-079
CS5105,SEVE-084
CS5106,SEVE-084
CS5107,SEVE-085
CS5108,SEVE-079
CS5109,SEVE-086
CS5109A,SEVE-086
CS5109B,SEVE-086
CS5110,
CS5111,SEVE-086
CS5111A,SEVE-086
CS5112,SEVE-078
CS5113,SEVE-087
CS5113A,SEVE-103
CS5114,SEVE-077
CS5115,SEVE-076
CS5116,SEVE-076
CS5117,SEVE-087
CS5118,SEVE-088
CS5118A,SEVE-088
CS5119,SEVE-075
CS5120,SEVE-074
CS5121,SEVE-073
CS5122,SEVE-089
CS5123,
CS5123A,SEVE-089
CS5124,SEVE-072
CS5125,
CS5126,SEVE-090
CS5127,SEVE-090
CS5129,SEVE-069
CS5130,SEVE-070
CS5131,SEVE-065
CS5132,SEVE-069
CS5133,SEVE-066
CS5133A,SEVE-066
CS5134,SEVE-068
CS5134A,SEVE-067
CS5135,SEVE-006
CS5135A,SEVE-006
CS5136,SEVE-005
CS5136A,SEVE-005
CS5137,SEVE-005
CS5138,SEVE-005
CS5139,SEVE-005
CS5140,SEVE-067
CS5141,SEVE-091
CS5141A,SEVE-091
CS5142,SEVE-092
CS5143,SEVE-092
CS5144,SEVE-092
CS5146,SEVE-004
CS5147,SEVE-093
CS5150,SEVE-093
CS5151,SEVE-091
CS5152,SEVE-101
CS5153,
CS5153A,
CS5154,SEVE-097
CS5155,SEVE-097
CS5156,SEVE-097
CS5157,SEVE-097
CS5158,SEVE-097
CS5159,SEVE-098
CS5160,SEVE-098
CS5160A,SEVE-098
CS5161,SEVE-096
CS5162,SEVE-096
CS5162A,SEVE-096
CS5163,
CS5164,SEVE-096
CS5165,
CS5166,SEVE-099
CS5167,SEVE-094
CS5167A,SEVE-094
CS5168,SEVE-002
CS5169,SEVE-095
CS5170,
CS5171,
