short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
SEVE-001,C,0.0,1.05,473.49
SEVE-002, ,0.0,0.0,100.33
SEVE-003, ,0.0,1.05,82.21
SEVE-004,pt,0.0,1.05,95.43
SEVE-005,pt,9999.0,1.05,990.91
SEVE-006,Bg,14.5,0.85,357.27
SEVE-007,Bg,19.76,0.95,387.4
SEVE-008,C,14.32,0.95,117.28
SEVE-009,Bg,0.0,0.95,244.38
SEVE-010,C,14.4,0.95,387.6
SEVE-011,C,12.24,1.05,377.24
SEVE-012,C,11.33,1.05,258.17
SEVE-013,B,10.22,1.05,184.33
SEVE-014,B,12.24,1.05,330.42
SEVE-015,fa,8.95,1.05,437.14
SEVE-016,SMo,9.74,0.95,159.78
SEVE-017,C,18.12,0.95,582.31
SEVE-018,Bg,14.3,0.95,307.58
SEVE-019,B,14.0,0.95,145.65
SEVE-020,B,14.34,0.95,119.74
SEVE-021, ,3.38,0.95,30.26
SEVE-022, ,11.01,0.95,118.47
SEVE-023,C,13.6,0.95,150.02
SEVE-024,Or,10.65,0.95,193.93
SEVE-025,B1,11.0,0.95,91.53
SEVE-026,B1,10.09,0.95,94.23
SEVE-027,A,7.17,0.95,79.62
SEVE-028,B1,10.83,0.95,119.99
SEVE-029,SMo,9.38,0.95,131.73
SEVE-030,Bg,10.03,0.95,101.69
SEVE-031,Or,10.25,0.95,104.04
SEVE-032,B,8.97,0.85,119.37
SEVE-033, ,9.47,0.85,15.93
SEVE-034,B,7.29,0.85,96.41
SEVE-035,Nd,4.6,0.85,11.48
SEVE-036,Kt,0.0,0.85,7.01
SEVE-037,C,10.52,0.85,221.43
SEVE-038,B,0.0,0.0,101.7
SEVE-039,Or,10.27,0.95,121.44
SEVE-040,C,11.9,0.85,236.38
SEVE-041,C,12.02,0.85,437.26
SEVE-042,C,15.11,0.85,282.96
SEVE-043,B,16.38,0.85,492.66
SEVE-044,fa,8.12,0.95,34.4
SEVE-045,fa,0.0,0.95,15.09
SEVE-046,fa,0.0,0.0,76.37
SEVE-047,Bg,0.0,0.0,71.44
SEVE-048, ,3.11,0.95,11.92
SEVE-049, ,0.0,0.95,33.86
SEVE-050,C,4.61,1.05,134.91
SEVE-051,C,4.21,1.05,35.7
SEVE-052,fa,9.54,1.05,361.43
SEVE-053,pt,7.9,1.05,85.37
SEVE-054,pt,10.1,1.05,71.67
SEVE-055,Nd,3.58,1.05,21.44
SEVE-056,Bg,0.0,0.0,70.41
SEVE-057,Bg,0.0,0.0,65.03
SEVE-058, ,3.57,1.05,30.65
SEVE-059,Bg,0.0,0.0,69.98
SEVE-060,Bg,0.0,0.0,64.84
SEVE-061, ,6.75,0.95,19.3
SEVE-062, ,4.12,0.95,43.92
SEVE-063,Bg,0.0,0.0,73.5
SEVE-064,Bg,11.45,0.95,68.25
SEVE-065,Bg,0.0,0.0,97.79
SEVE-066,Bg,0.0,0.95,90.94
SEVE-067,A1,0.0,0.0,54.44
SEVE-068,A1,9.9,0.95,46.32
SEVE-069,Knt,5.39,1.05,92.34
SEVE-070,Bg,0.0,0.0,91.64
SEVE-071,Bg,0.0,0.0,89.86
SEVE-072,Bg,0.0,0.0,87.86
SEVE-073,Bg,0.0,0.0,85.06
SEVE-074,Bg,0.0,0.0,84.61
SEVE-075,Bg,0.0,0.0,78.54
SEVE-076,Bg,0.0,0.0,76.05
SEVE-077,Bg,0.0,0.0,80.43
SEVE-078,Bg,0.0,0.0,83.68
SEVE-079,Bg,0.0,0.0,59.49
SEVE-080,fa,8.82,0.95,117.49
SEVE-081,fa,0.0,0.95,2.95
SEVE-082,B,10.18,1.05,85.49
SEVE-083,B,8.96,1.05,117.51
SEVE-084,Bg,0.0,0.0,99.99
SEVE-085,C,12.39,0.95,264.53
SEVE-086,C,9999.0,0.95,2061.53
SEVE-087, ,10.35,0.95,161.18
SEVE-088,B,0.0,0.95,199.36
SEVE-089,B,9999.0,1.05,1618.31
SEVE-090,B,9999.0,1.05,1403.95
SEVE-091,Or,9999.0,1.05,1334.73
SEVE-092,C,9999.0,1.05,1007.07
SEVE-093,Ne,0.0,1.05,152.18
SEVE-094, ,0.0,1.05,103.25
SEVE-095, ,0.0,1.05,52.78
SEVE-096,C,0.0,1.05,55.66
SEVE-097,fa,0.0,1.05,118.12
SEVE-098,C,0.0,1.05,159.09
SEVE-099,C,0.0,0.0,249.99
SEVE-100,C,0.0,1.05,239.61
SEVE-101,C,0.0,1.05,355.35
SEVE-102,C,0.0,1.05,171.4
SEVE-103,C,9999.0,1.05,2025.67
SEVE-104,Bg,0.0,0.0,63.55
SEVE-105,Bg,0.0,0.0,63.23
SEVE~NO_BUILDING,,,,
