Full_sesti,short_alias
CS2428,TERN-091
CS2429,TERN-091
CS2430,TERN-091
CS2431,TERN-090
CS2432,TERN-090
CS2432A,TERN-092
CS2433,TERN-080
CS2433A,TERN-090
CS2434A,TERN-080
CS2434B,TERN-081
CS2435,TERN-079
CS2435A,TERN-081
CS2435B,TERN-079
CS2436,TERN-079
CS2437,TERN-089
CS2438,TERN-089
CS2439,TERN-092
CS2440,TERN-092
CS2441,TERN-092
CS2442,TERN-093
CS2442A,TERN-093
CS2444,TERN-095
CS2445,TERN-096
CS2445A,TERN-096
CS2446,TERN-098
CS2447,TERN-099
CS2448,TERN-099
CS2449,TERN-097
CS2450,TERN-093
CS2451,
CS2452,
CS2452A,TERN-076
CS2453,TERN-087
CS2454,TERN-087
CS2455,TERN-076
CS2456,TERN-077
CS2457,TERN-078
CS2457A,TERN-078
CS2458,TERN-082
CS2459,TERN-083
CS2460,TERN-083
CS2461,TERN-082
CS2461A,TERN-082
CS2462,TERN-082
CS2463,TERN-036
CS2463A,TERN-036
CS2464,TERN-035
CS2465,TERN-035
CS2466,TERN-085
CS2467,TERN-084
CS2468,TERN-084
CS2469,TERN-084
CS2470,TERN-101
CS2471,TERN-101
CS2472,TERN-101
CS2474,TERN-100
CS2475,TERN-100
CS2476,TERN-100
CS2478,TERN-084
CS2479,TERN-073
CS2480A,TERN-074
CS2481,TERN-074
CS2482,TERN-075
CS2483,TERN-075
CS2484,TERN-102
CS2485,TERN-102
CS2486,TERN-102
CS2489,TERN-102
CS2490,TERN-102
CS2491,TERN-102
CS2492,TERN-102
CS2493,TERN-102
CS2493A,TERN-102
CS2495,TERN-103
CS2496,TERN-103
CS2497,TERN-103
CS2498,TERN-103
CS2499,TERN-103
CS2500,TERN-071
CS2501,TERN-072
CS2502,TERN-072
CS2503,TERN-072
CS2504,TERN-072
CS2505,TERN-085
CS2506,TERN-085
CS2507,TERN-086
CS2508,TERN-086
CS2509,TERN-086
CS2510,TERN-086
CS2511,TERN-035
CS2512,TERN-035
CS2513,TERN-035
CS2514,TERN-036
CS2515,TERN-037
CS2516,TERN-037
CS2517,TERN-038
CS2517A,TERN-037
CS2518,TERN-038
CS2519,TERN-039
CS2520,TERN-039
CS2521,TERN-054
CS2522,
CS2523,TERN-033
CS2524,TERN-034
CS2525,TERN-034
CS2527,TERN-033
CS2528,TERN-033
CS2529,TERN-032
CS2530,TERN-032
CS2531,TERN-031
CS2532,TERN-031
CS2534,TERN-030
CS2534A,TERN-030
CS2535,TERN-056
CS2536,TERN-055
CS2537,TERN-057
CS2538,
CS2539,TERN-059
CS2539A,TERN-059
CS2540,TERN-069
CS2541,TERN-070
CS2542,TERN-027
CS2543,TERN-027
CS2545,TERN-030
CS2546,TERN-029
CS2547,TERN-029
CS2548,TERN-135
CS2549,TERN-104
CS2550,TERN-104
CS2551,TERN-104
CS2552,TERN-104
CS2553,TERN-107
CS2554,TERN-107
CS2557,TERN-107
CS2558,TERN-106
CS2559,
CS2560,TERN-108
CS2561,TERN-108
CS2562,TERN-108
CS2563,TERN-108
CS2564,TERN-109
CS2565,TERN-110
CS2565A,
CS2566,TERN-114
CS2567,TERN-112
CS2567A,TERN-112
CS2567B,TERN-112
CS2568,TERN-113
CS2569,TERN-113
CS2570,TERN-135
CS2571,TERN-011
CS2572,TERN-012
CS2573,TERN-015
CS2574,TERN-016
CS2575,TERN-014
CS2575A,TERN-015
CS2576,TERN-013
CS2577,TERN-024
CS2578,
CS2579,TERN-017
CS2580,TERN-017
CS2581,TERN-115
CS2582,TERN-017
CS2584,TERN-018
CS2588,TERN-019
CS2589,TERN-020
CS2590,TERN-021
CS2591,TERN-116
CS2593,TERN-117
CS2593A,TERN-006
CS2594,TERN-005
CS2595,TERN-006
CS2596,TERN-006
CS2597,TERN-007
CS2598,TERN-007
CS2599,TERN-008
CS2600,TERN-008
CS2601,TERN-009
CS2602,TERN-009
CS2603,TERN-009
CS2604,TERN-010
CS2605,TERN-010
CS2606,TERN-011
CS2607,TERN-025
CS2607A,TERN-025
CS2608,TERN-025
CS2609,TERN-025
