short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
TERN-001,C,16.31,0.95,295.17
TERN-002,C,0.0,0.0,84.15
TERN-003,Bg,12.28,0.95,78.66
TERN-004,Ne,11.1,0.95,1169.96
TERN-005,Bg,8.53,1.15,102.69
TERN-006,B,11.77,1.15,133.85
TERN-007,B,8.3,1.15,81.07
TERN-008,B,7.42,1.15,84.85
TERN-009,A,10.82,1.15,101.53
TERN-010,A,8.62,1.05,29.89
TERN-011,A,4.23,1.05,32.95
TERN-012,A,0.0,1.05,4.63
TERN-013,A,7.56,1.05,26.56
TERN-014,A,0.0,0.0,17.32
TERN-015,pt,0.0,0.0,24.14
TERN-016,B,10.5,1.05,23.8
TERN-017,B,10.67,1.05,58.67
TERN-018,B,0.0,0.0,57.12
TERN-019,B,7.92,1.05,29.78
TERN-020,B,10.9,1.05,38.89
TERN-021,B,0.0,0.0,36.22
TERN-022,B,9.01,1.05,32.25
TERN-023,A,0.0,1.05,27.2
TERN-024,A,6.37,1.05,26.02
TERN-025,Bg,12.3,1.25,158.21
TERN-026,Bg,14.64,1.25,318.87
TERN-027,Bg,13.67,1.15,79.69
TERN-028,Bg,0.0,0.0,75.02
TERN-029,C,11.33,1.15,87.06
TERN-030,A,0.0,0.0,96.69
TERN-031,A,0.0,0.0,71.12
TERN-032,Bg,0.0,0.0,81.35
TERN-033,Bg,0.0,0.0,76.78
TERN-034,Bg,9.8,0.85,82.27
TERN-035,Or,11.41,1.05,145.94
TERN-036,B1,12.27,1.05,76.64
TERN-037,fa,13.2,0.95,285.0
TERN-038,fa,7.4,0.95,66.83
TERN-039,fa,10.22,0.85,84.17
TERN-040,D,11.35,0.95,145.03
TERN-041,Nr,16.17,1.05,232.12
TERN-042,fa,10.66,1.05,68.73
TERN-043,fa,0.0,0.0,47.41
TERN-044,Nr,8.17,1.05,128.83
TERN-045,D,10.48,0.95,113.94
TERN-046,A,7.72,1.15,32.97
TERN-047,C,0.0,0.0,95.1
TERN-048,C,9.37,1.15,100.4
TERN-049,C,10.5,1.15,144.21
TERN-050,Bg,16.0,1.05,230.18
TERN-051,Bg,6.58,0.75,109.04
TERN-052,D,10.5,1.05,156.37
TERN-053,D,13.76,1.05,133.21
TERN-054,D,0.0,0.85,90.69
TERN-055,A,0.0,0.0,36.19
TERN-056,A,0.0,0.0,31.92
TERN-057,B,8.0,1.15,31.51
TERN-058,A,0.0,0.0,88.85
TERN-059,A,10.0,1.15,54.66
TERN-060,D,12.74,1.25,210.88
TERN-061,B,13.95,1.15,101.5
TERN-062,Bg,15.18,1.25,139.23
TERN-063,Bg,0.0,0.0,135.45
TERN-064,Bg,12.68,1.15,96.7
TERN-065,C,12.2,0.95,224.37
TERN-066,B1,8.98,1.05,133.92
TERN-067,C,7.17,1.05,98.46
TERN-068,Bg,10.2,1.05,104.87
TERN-069,A,9.63,1.15,54.34
TERN-070,A1,0.0,0.0,57.79
TERN-071,A,6.65,1.95,21.08
TERN-072,pt,9.96,1.05,126.28
TERN-073,pt,7.31,1.05,30.88
TERN-074,B,7.56,1.05,33.12
TERN-075,D,0.0,1.05,45.78
TERN-076,A1,13.33,1.05,62.1
TERN-077,B,0.0,0.0,27.18
TERN-078,A,9.08,1.05,37.14
TERN-079,B,0.0,0.0,63.65
TERN-080,B,8.28,1.05,126.9
TERN-081,C,15.97,1.05,185.87
TERN-082,A,14.1,1.05,375.63
TERN-083,B1,6.63,1.05,63.27
TERN-084,D,9.35,1.05,108.48
TERN-085,C,0.0,0.0,45.13
TERN-086,C,12.4,1.05,90.48
TERN-087,A1,8.28,1.05,70.39
TERN-088,Nr,9.23,1.05,26.9
TERN-089,B,0.0,1.05,73.69
TERN-090,pt,10.72,1.05,134.6
TERN-091,B,12.06,1.05,292.88
TERN-092,pt,10.0,1.05,44.71
TERN-093,Nr,13.84,1.02,100.08
TERN-094,Nr,13.78,1.05,46.12
TERN-095,Nr,13.67,1.05,44.01
TERN-096,pt,7.68,1.05,42.53
TERN-097,A,0.0,1.05,62.58
TERN-098,A,10.03,1.05,39.99
TERN-099,A,0.0,1.05,52.95
TERN-100,B,9.49,1.05,78.62
TERN-101,B,9.81,1.05,86.27
TERN-102,D,0.0,1.05,194.28
TERN-103,D,9.84,1.05,108.28
TERN-104,fa,0.0,0.0,65.11
TERN-105,SM,12.12,1.05,56.36
TERN-106,fa,0.0,0.0,83.75
TERN-107,fa,8.17,1.05,104.88
TERN-108,pt,10.21,0.95,121.98
TERN-109,pt,0.0,0.95,135.4
TERN-110,B1,8.12,0.95,167.98
TERN-111,Nr,7.36,1.05,34.74
TERN-112,B,10.77,1.05,93.35
TERN-113,A1,0.0,0.0,44.65
