Full_sesti,short_alias
CS2719,VIGN-054
CS2720,
CS2721,
CS2723,
CS2723A,
CS2724,VIGN-060
CS2726,VIGN-061
CS2727,VIGN-061
CS2728,VIGN-058
CS2730,
CS2731,VIGN-062
CS2732,VIGN-062
CS2733,VIGN-062
CS2734,VIGN-065
CS2734A,VIGN-063
CS2735,VIGN-098
CS2736,VIGN-098
CS2737,VIGN-099
CS2737A,VIGN-099
CS2737B,
CS2737C,VIGN-099
CS2737D,VIGN-099
CS2737E,VIGN-099
CS2737F,VIGN-133
CS2738,VIGN-130
CS2738A,VIGN-130
CS2738B,VIGN-097
CS2738C,VIGN-097
CS2738D,VIGN-097
CS2738E,VIGN-097
CS2739,VIGN-068
CS2739A,VIGN-068
CS2739B,VIGN-069
CS2739C,VIGN-069
CS2739D,VIGN-093
CS2739E,VIGN-069
CS2740,
CS2740A,
CS2742,VIGN-072
CS2743,VIGN-072
CS2744,
CS2745,VIGN-092
CS2746,VIGN-086
CS2746A,VIGN-086
CS2746B,VIGN-086
CS2746C,
CS2747,VIGN-071
CS2748,VIGN-071
CS2749,VIGN-071
CS2749A,VIGN-071
CS2749B,VIGN-071
CS2749C,VIGN-071
CS2750,VIGN-070
CS2750A,VIGN-070
CS2751,VIGN-070
CS2751A,VIGN-093
CS2751B,VIGN-093
CS2751C,
CS2751D,VIGN-070
CS2752,VIGN-090
CS2752A,VIGN-090
CS2753,VIGN-091
CS2754,VIGN-074
CS2755,VIGN-074
CS2756,VIGN-074
CS2757,VIGN-074
CS2758,VIGN-073
CS2759,VIGN-073
CS2760,VIGN-073
CS2760A,VIGN-075
CS2760B,VIGN-075
CS2761,VIGN-074
CS2762,VIGN-074
CS2763,VIGN-074
CS2764,VIGN-074
CS2765,VIGN-074
CS2766,VIGN-074
CS2767,VIGN-074
CS2768,VIGN-074
CS2769,VIGN-074
CS2770,VIGN-074
CS2771,VIGN-074
CS2772,VIGN-074
CS2773,VIGN-074
CS2774,VIGN-074
CS2775,VIGN-074
CS2776,
CS2777,
CS2778,VIGN-049
CS2778A,VIGN-049
CS2779,VIGN-048
CS2779A,VIGN-048
CS2779B,VIGN-048
CS2779C,VIGN-048
CS2780,VIGN-041
CS2780A,
CS2780B,
CS2781,VIGN-041
CS2782,VIGN-041
CS2782A,VIGN-041
CS2783,VIGN-042
CS2784,VIGN-042
CS2785,VIGN-043
CS2785A,VIGN-041
CS2786,
CS2786A,
CS2786B,
CS2787,VIGN-043
CS2790,VIGN-021
CS2790A,VIGN-021
CS2791,
CS2791A,VIGN-017
CS2792,VIGN-022
CS2792A,VIGN-022
CS2793,VIGN-022
CS2793A,VIGN-022
CS2794,VIGN-027
CS2795,VIGN-028
CS2795A,VIGN-028
CS2796A,VIGN-027
CS2797,VIGN-027
CS2798,VIGN-022
CS2799,VIGN-022
CS2800,VIGN-022
CS2801,VIGN-022
CS2802,VIGN-017
CS2803,VIGN-016
CS2804,VIGN-016
CS2805,VIGN-015
CS2805A,VIGN-015
CS2806,VIGN-015
CS2807,VIGN-015
CS2808,VIGN-023
CS2809,VIGN-023
CS2810,VIGN-023
CS2811,VIGN-023
CS2812,VIGN-023
CS2817,VIGN-026
CS2818,VIGN-025
CS2819,VIGN-025
CS2820,VIGN-008
CS2820A,VIGN-008
CS2821,
CS2821A,
CS2821B,VIGN-141
CS2821D,
CS2821L,VIGN-001
CS2821N,VIGN-142
CS2822,VIGN-009
CS2824,VIGN-025
CS2825,VIGN-025
CS2826,VIGN-025
CS2827,VIGN-025
CS2828,VIGN-024
CS2829,VIGN-024
CS2830,VIGN-011
CS2831,
CS2832,VIGN-012
CS2833,
CS2833B,
CS2834,VIGN-140
CS2834A,VIGN-140
CS2835,
CS2839,VIGN-013
CS2840,VIGN-013
CS2840A,VIGN-013
CS2841,VIGN-013
CS2841A,VIGN-013
