short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
VIGN-001,Nr,0.0,1.65,182.96
VIGN-002,Kna,0.0,1.15,163.87
VIGN-003,Nd,0.0,1.95,33.57
VIGN-004,Kot,0.0,1.85,199.41
VIGN-005,Kot,9999.0,1.85,3449.85
VIGN-006,Nd,0.0,1.85,23.17
VIGN-007,Ne,0.0,1.25,160.25
VIGN-008,C,0.0,1.15,86.92
VIGN-009,pt,0.0,1.15,15.65
VIGN-010,pt,0.0,1.15,39.29
VIGN-011,B,0.0,1.15,38.03
VIGN-012,pt,0.0,1.15,254.56
VIGN-013,B,0.0,1.15,178.82
VIGN-014,D,0.0,1.15,76.95
VIGN-015,D,0.0,1.15,5.34
VIGN-016,A,0.0,1.15,81.63
VIGN-017,A,0.0,1.15,20.54
VIGN-018,A,9999.0,1.65,426.91
VIGN-019,Bg,11.61,1.65,98.52
VIGN-020,Bg,15.47,1.65,180.96
VIGN-021,Bg,9999.0,1.65,1273.35
VIGN-022,fa,0.0,1.15,211.31
VIGN-023,D,0.0,1.15,184.17
VIGN-024,C,0.0,1.15,126.69
VIGN-025,Kt,0.0,1.15,156.14
VIGN-026,Kt,0.0,1.15,130.72
VIGN-027,A1,0.0,1.15,81.31
VIGN-028,A1,0.0,1.15,47.76
VIGN-029,Nr,9999.0,1.75,1754.13
VIGN-030,Nr,5.78,1.95,63.71
VIGN-031,Nd,9999.0,1.95,3139.69
VIGN-032,Knt,7.0,2.25,128.01
VIGN-033,Nd,8.37,2.35,583.22
VIGN-034,Knt,8.17,2.35,53.27
VIGN-035,Knt,4.44,1.25,41.47
VIGN-036,Ka,2.95,1.25,152.71
VIGN-037,Knt,3.42,1.25,15.53
VIGN-038,SP,0.0,1.35,18.68
VIGN-039,SP,9.36,0.95,2570.55
VIGN-040,SP,0.0,1.35,2262.6
VIGN-041,pt,0.0,1.65,646.6
VIGN-042,C,13.06,1.65,135.08
VIGN-043,Or,0.0,0.0,1015.54
VIGN-044,Nr,11.71,1.95,363.29
VIGN-045,SU,15.6,1.45,253.5
VIGN-046,B,11.64,1.35,128.19
VIGN-047,Or,13.36,1.35,123.91
VIGN-048,Or,8.3,1.35,92.26
VIGN-049,Ne,0.0,1.35,64.26
VIGN-050,C,0.0,1.15,6.82
VIGN-051,C,8.43,1.15,45.6
VIGN-052,A,9999.0,0.95,147.56
VIGN-053,Ne,15.15,1.15,120.52
VIGN-054,fa,9999.0,0.95,542.22
VIGN-055,Ne,11.9,1.15,95.42
VIGN-056,Ne,9999.0,1.15,1407.02
VIGN-057,Kt,9999.0,1.56,1491.14
VIGN-058, ,9999.0,0.95,1493.36
VIGN-059,B1,8.0,1.05,83.24
VIGN-060,Ne,12.03,1.05,128.76
VIGN-061, ,9999.0,1.15,1496.48
VIGN-062,Or,7.22,1.55,214.36
VIGN-063,Or,11.07,1.55,65.21
VIGN-064,Or,11.07,1.55,101.92
VIGN-065,Or,11.11,1.55,59.71
VIGN-066,Ne,13.0,1.23,399.67
VIGN-067,Ne,19.07,1.25,10.14
VIGN-068,Nr,15.8,1.25,379.59
VIGN-069,Nr,15.77,1.25,207.89
VIGN-070,C,15.5,1.55,222.03
VIGN-071,C,0.0,0.0,189.83
VIGN-072,Ne,13.6,1.15,174.72
VIGN-073,C,0.0,0.0,181.89
VIGN-074,Ne,9.28,1.35,540.18
VIGN-075,Ne,13.9,3.14,121.68
VIGN-076,SU,11.65,1.35,45.1
VIGN-077,SU,9.0,1.52,85.49
VIGN-078,SU,44.16,1.35,78.95
VIGN-079,pt,8.7,1.35,33.64
VIGN-080,SM,0.0,0.0,365.84
VIGN-081,Knt,16.25,1.35,352.92
VIGN-082,Knt,4.71,1.35,171.0
VIGN-083,Nd,3.49,1.25,18.43
VIGN-084,Nd,4.75,1.25,26.39
VIGN-085,Nd,4.05,1.25,11.93
VIGN-086,Nr,15.62,1.25,528.11
VIGN-087,SU,6.96,1.55,38.69
VIGN-088,SU,9999.0,1.55,146.91
VIGN-089,SU,9999.0,1.55,255.13
VIGN-090,Nr,15.77,1.25,373.7
VIGN-091,Nr,12.45,1.25,247.19
VIGN-092,Nr,12.45,1.25,242.57
VIGN-093,Nr,15.4,1.25,470.98
VIGN-094,Nd,6.5,3.85,31.58
VIGN-095,Kot,9.08,3.85,712.01
VIGN-096,Nd,6.6,3.85,85.45
VIGN-097,Nr,15.4,1.25,657.59
VIGN-098,Nr,10.44,1.25,143.69
VIGN-099,SM,9999.0,1.85,4439.09
VIGN-100,SM,0.0,0.0,183.72
VIGN-101, ,6.34,1.85,120.41
VIGN-102, ,11.9,1.35,244.52
VIGN-103,SU,9.73,1.35,397.93
VIGN-104,Ka,8.5,1.45,334.95
VIGN-105,,4.2,1.45,46.59
VIGN-106,,4.88,1.45,72.61
VIGN-107,Ka,4.44,1.25,19.29
VIGN-108,Ka,4.4,1.25,67.73
VIGN-109,Ka,7.78,1.25,27.96
VIGN-110,Ka,9.86,1.15,718.7
VIGN-111,Ka,0.0,0.0,824.34
VIGN-112,Ka,0.0,0.0,845.31
VIGN-113,Nr,7.0,1.15,225.48
VIGN-114,SU,13.0,1.15,812.86
VIGN-115,SU,0.0,0.0,342.43
VIGN-116,C,0.0,0.0,341.77
VIGN-117,C,10.78,1.15,461.75
VIGN-118,Kot,11.26,1.15,70.65
VIGN-119,Kot,6.02,1.15,101.22
VIGN-120,Nr,5.2,1.15,109.48
VIGN-121,SU,9.76,1.15,324.33
VIGN-122,Nd,14.83,1.15,9.02
VIGN-123,SU,13.67,1.05,26.22
VIGN-124,Ka,6.62,1.28,380.21
VIGN-125,Ka,9.0,1.25,309.44
VIGN-126,Ka,0.0,0.0,591.42
VIGN-127,Ka,0.0,0.0,619.5
VIGN-128,SM,9999.0,0.0,396.47
VIGN-129, ,0.0,1.65,12.13
VIGN-130,Nr,15.4,1.25,248.33
VIGN-131,SU,11.07,1.65,674.74
VIGN-132, ,7.05,1.65,107.64
VIGN-133,Ka,0.0,0.0,1494.87
VIGN-134,Ka,0.0,0.0,985.29
VIGN-135,Ka,14.6,1.75,1494.4
VIGN-136,Nd,3.0,3.85,18.99
VIGN-137,Kot,9.08,3.85,695.76
VIGN-138,Nd,3.5,3.85,40.88
VIGN-139,Nr,9999.0,1.65,1926.3
VIGN-140,SU,0.0,1.15,692.88
VIGN-141,Ne,9999.0,0.0,3718.65
VIGN-142,Nr,0.0,1.65,189.57
VIGN~NO_BUILDING,,,,
