short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
ZACC-001,C,12.13,0.85,74.67
ZACC-002,A1,9.1,0.85,73.87
ZACC-003,C,18.59,0.95,359.32
ZACC-004,Or,9.35,0.85,126.54
ZACC-005,C,13.28,0.85,74.39
ZACC-006,C,12.07,0.85,375.04
ZACC-007,C,12.62,1.25,214.74
ZACC-008,pt,19.57,0.93,305.45
ZACC-009,A1,0.0,0.85,192.43
ZACC-010,fa,8.11,0.85,19.92
ZACC-011,fa,9.55,0.85,35.82
ZACC-012,A,0.0,1.05,25.61
ZACC-013,pt,11.29,1.25,187.71
ZACC-014,Ne,12.73,0.95,127.47
ZACC-015,Ne,14.18,0.85,443.21
ZACC-016,A1,11.6,1.2,147.0
ZACC-017,B,0.0,0.0,109.04
ZACC-018, ,14.6,1.05,132.45
ZACC-019,B,11.1,1.05,95.33
ZACC-020,B,10.9,0.95,110.59
ZACC-021,Nr,10.98,0.85,103.86
ZACC-022,pt,16.49,0.85,132.07
ZACC-023,Nr,15.05,0.85,98.62
ZACC-024,fa,14.19,0.95,244.92
ZACC-025,pt,7.66,0.85,62.4
ZACC-026,Ne,10.26,0.85,115.03
ZACC-027,Ne,10.26,0.85,56.76
ZACC-028,Nr,5.31,0.85,28.74
ZACC-029,Nr,8.61,0.84,19.86
ZACC-030,B,11.93,0.85,93.89
ZACC-031,pt,10.0,0.95,88.66
ZACC-032,Ne,20.28,0.85,71.39
ZACC-033,pt,0.0,0.85,35.03
ZACC-034,B,10.2,0.85,74.01
ZACC-035,C,13.42,0.95,417.73
ZACC-036, ,12.2,1.05,22.19
ZACC-037,Nr,14.6,0.85,64.29
ZACC-038,Or,15.1,0.85,73.52
ZACC-039,A1,0.0,0.85,40.01
ZACC-040,Nr,4.0,0.85,42.32
ZACC-041,fa,9.84,1.15,19.95
ZACC-042,A1,9.49,0.95,32.08
ZACC-043,B,15.47,0.95,125.67
ZACC-044, ,0.0,0.85,431.38
ZACC-045,Nr,9.62,1.05,43.46
ZACC-046,B,18.67,0.95,179.93
ZACC-047,Nr,7.27,0.85,210.43
ZACC-048,SM,8.65,0.83,458.0
ZACC-049, ,6.72,0.85,44.61
ZACC-050,B,0.0,0.95,202.96
ZACC-051,B,13.0,1.3,768.17
ZACC-052,B,0.0,0.95,211.36
ZACC-053,A,8.37,0.95,85.12
ZACC-054,Or,14.75,0.95,382.81
ZACC-055,SU,6.34,0.95,22.26
ZACC-056,SU,0.0,0.85,1060.63
ZACC-057,SU,0.0,0.0,707.01
ZACC-058,Nd,8.37,1.15,154.38
ZACC-059,Or,16.16,0.85,122.56
ZACC-060,C,0.0,1.05,389.97
ZACC-061,SM,4.6,1.15,6.86
ZACC-062, ,16.3,0.85,110.1
ZACC-063, ,4.3,0.85,13.21
ZACC-064,Nr,5.5,1.05,55.41
ZACC-065,SM,0.0,0.0,3418.21
ZACC-066,Or,16.68,0.85,185.29
ZACC-067,Nr,6.07,1.05,266.1
ZACC-068,Nr,14.27,1.05,243.0
ZACC-069,Or,15.65,0.85,181.11
ZACC-070,Nr,15.68,1.15,576.78
ZACC-071,C,11.74,1.25,222.14
ZACC-072,Or,20.0,0.85,811.32
ZACC-073, ,19.2,0.85,509.47
ZACC-074, ,4.3,0.85,103.02
ZACC-075, ,7.6,0.85,14.47
ZACC~NO_BUILDING,,,,
