short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
ZANI-001,SM,18.92,1.15,1062.55
ZANI-002,SM,9.68,1.25,199.33
ZANI-003,SU,0.0,1.25,4243.34
ZANI-004,SU,14.3,1.05,124.95
ZANI-005,Nd,13.73,1.25,7862.61
ZANI-006,SU,10.26,0.95,347.33
ZANI-007,fa,11.66,0.95,126.11
ZANI-008,SM,17.75,1.25,782.78
ZANI-009, ,7.2,1.25,7.99
ZANI-010,Nd,4.35,1.25,127.03
ZANI-011,Nd,5.0,1.35,238.47
ZANI-012,Nr,10.2,1.35,148.03
ZANI-013,SU,14.77,1.25,2256.91
ZANI-014,SU,10.27,1.35,27.3
ZANI-015,SM,0.0,0.95,709.9
ZANI-016,SU,14.17,1.15,267.27
ZANI-017,Nr,5.13,1.45,153.91
ZANI-018,Nd,5.49,1.45,26.04
ZANI-019,Nd,4.92,1.35,177.24
ZANI-020,Nd,0.0,1.35,11.69
ZANI-021,fa,11.0,1.25,104.17
ZANI-022,Nr,9.6,1.05,147.08
ZANI-023,Nr,0.0,1.25,40.71
ZANI-024,pt,17.0,1.15,163.36
ZANI-025,Nd,0.0,1.25,9.18
ZANI-026,SU,13.08,1.25,112.25
ZANI-027, ,0.0,1.35,8.35
ZANI-028,Nr,17.0,1.15,2336.87
ZANI-029,Nr,0.0,0.0,1714.38
ZANI-030, ,0.0,0.0,25.49
ZANI-031,Nr,5.46,1.65,197.58
ZANI-032,Nr,10.5,1.45,284.94
ZANI-033,Nr,0.0,1.65,2429.11
ZANI-034,Nr,6.23,1.45,28.97
ZANI-035,fa,0.0,1.15,661.28
ZANI-036,Nr,20.45,1.45,663.44
ZANI-037,Nd,0.0,1.65,19.98
ZANI-038,pt,15.6,1.15,81.73
ZANI-039,Nr,5.47,1.45,57.05
ZANI-040,Nr,17.0,1.35,180.45
ZANI-041,C,18.21,1.15,294.31
ZANI-042,Nr,0.0,0.0,0.0
ZANI-043,,4.72,1.45,15.04
ZANI-044,pt,17.2,1.15,220.45
ZANI-045,Nr,13.5,1.65,1880.58
ZANI-046,fa,15.0,1.15,476.75
ZANI-047,Nr,0.0,1.55,909.74
ZANI-048,fa,6.32,1.55,63.7
ZANI-049,B,12.53,1.15,207.72
ZANI-050,Nr,16.67,1.95,913.51
ZANI-051,Nr,5.7,1.95,1030.56
ZANI-052,Nr,12.7,1.15,200.96
ZANI-053,,4.13,1.65,9.7
ZANI-054,Nr,6.84,1.35,74.68
ZANI-055,Nd,19.3,1.65,551.68
ZANI-056,Nr,5.91,1.95,149.03
ZANI-057,A,15.24,1.15,172.32
ZANI-058,Nr,0.0,1.65,8.76
ZANI-059,Nd,10.5,1.85,32.04
ZANI-060,Nd,0.0,1.85,12.84
ZANI-061,Nd,5.52,1.85,49.49
ZANI-062,A,15.0,1.15,63.21
ZANI-063,Nd,4.9,1.85,17.66
ZANI-064,Nd,5.52,1.85,63.53
ZANI-065,B1,8.0,1.25,61.9
ZANI-066,Nr,24.9,1.55,1116.21
ZANI-067,Nr,12.1,1.75,311.8
ZANI-068,Nr,13.89,1.45,137.04
ZANI-069,Nd,5.8,1.85,129.52
ZANI-070,Nd,4.81,1.85,22.35
