short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
ACCA-001,Ne,10.69,0.75,57.92
ACCA-002,Ne,11.33,0.75,120.67
ACCA-003,fa,10.68,0.85,149.09
ACCA-004,A1,12.62,0.95,162.46
ACCA-005,A1,9.52,0.95,146.92
ACCA-006,Or,5.04,1.05,191.53
ACCA-007,C,19.4,0.85,625.95
ACCA-008,B1,8.4,0.85,141.38
ACCA-009,A,10.45,0.85,64.19
ACCA-010,fa,12.42,0.85,125.72
ACCA-011,Or,3.92,1.05,26.17
ACCA-012,B1,10.97,0.85,300.54
ACCA-013,Or,8.02,1.05,81.28
ACCA-014,Or,0.0,0.0,32.72
ACCA-015,Or,0.0,0.0,45.46
ACCA-016,Or,4.74,0.85,127.96
ACCA-017,C,12.26,1.05,289.64
ACCA-018,B,8.2,0.95,65.22
ACCA-019,Or,11.66,0.95,215.76
ACCA-020,B,9.26,0.95,137.73
ACCA-021,pt,10.3,0.75,102.19
ACCA-022,A1,7.63,0.95,99.99
ACCA-023, ,8.47,0.75,80.57
ACCA-024,A1,10.71,0.95,54.09
ACCA-025,A1,0.0,0.0,47.84
ACCA-026,pt,0.0,0.0,39.52
ACCA-027,B1,10.71,0.95,71.41
ACCA-028,fa,8.26,0.95,48.96
ACCA-029,pt,0.0,0.0,46.84
ACCA-030,fa,9.1,0.95,53.96
ACCA-031,C,0.0,0.95,75.26
ACCA-032,C,15.26,0.85,468.64
ACCA-033,B,9999.0,0.85,25061.68
ACCA-034,pt,9999.0,1.15,24907.36
ACCA-035,fa,7.4,0.75,108.34
ACCA-036,fa,13.23,0.75,93.49
ACCA-037,Nr,4.0,0.75,12.37
ACCA-038,C,12.55,0.95,154.71
ACCA-039,fa,13.0,0.85,59.66
ACCA-040,C,13.11,0.85,195.61
ACCA-041,Ne,13.25,0.75,148.61
ACCA-042,Or,11.24,0.85,106.68
ACCA-043,Or,14.3,0.85,71.76
ACCA-044,pt,17.2,0.85,108.3
ACCA-045,pt,18.61,0.85,167.45
ACCA-046,B,13.95,1.05,58.15
ACCA-047,D,0.0,0.0,54.27
ACCA-048,C,11.78,1.05,48.58
ACCA-049,B,13.34,0.95,262.45
ACCA-050,A1,11.14,1.95,44.73
ACCA-051,B,13.52,1.05,120.09
ACCA-052,C,7.0,1.05,31.66
ACCA-053,D,12.12,1.05,27.55
ACCA-054,B,12.74,1.05,86.95
ACCA-055,D,9.65,1.05,55.38
ACCA-056,D,15.25,1.05,116.99
ACCA-057,B,0.0,0.0,91.02
ACCA-058,B,0.0,0.0,93.54
ACCA-059,B,13.5,1.05,117.1
ACCA-060,Bg,9999.0,0.95,23772.24
ACCA-061,Nd,9999.0,1.15,24345.26
ACCA-062,fa,15.0,1.15,343.11
ACCA-063,B,9.0,1.15,11.43
ACCA-064,Nr,0.0,1.15,168.02
ACCA-065,Nd,4.75,0.95,25.24
ACCA-066,Ne,15.13,1.15,233.96
ACCA-067,C,0.0,1.05,194.22
ACCA-068,Nr,15.5,0.95,196.37
ACCA-069,B,7.8,0.95,72.75
ACCA-070,C,4.45,0.95,100.16
ACCA-071,fa,0.0,0.0,220.02
ACCA-072,Nr,5.55,1.06,59.71
ACCA-073,A,8.1,0.95,174.67
ACCA-074,fa,4.05,1.05,14.26
ACCA-075,A,9999.0,0.95,329.58
ACCA-076,B,0.0,0.0,105.62
ACCA-077,Or,12.18,1.05,193.21
ACCA-078,Nr,15.2,0.85,261.0
ACCA-079,Kt/pt,15.0,1.15,244.73
ACCA-080,Nr,7.78,1.06,82.53
ACCA-081,fa,11.9,1.05,139.01
ACCA-082,Or,11.05,1.05,185.02
ACCA-083,Nr,4.18,0.85,67.39
ACCA-084,A,8.15,1.05,37.14
ACCA-085,B,0.0,0.0,62.06
ACCA-086,B,7.66,1.15,45.19
ACCA-087,C,14.4,1.05,201.63
ACCA-088,A,0.0,0.0,25.48
ACCA-089,Kt/pt,8.92,1.15,96.06
ACCA-090,A,0.0,0.0,17.35
ACCA-091,A,0.0,0.0,29.67
ACCA-092,Or,12.0,1.05,228.64
ACCA-093,A,9.52,1.05,25.29
ACCA-094,pt,15.93,1.05,79.84
ACCA-095,pt,5.2,1.05,29.93
ACCA-096,C,10.05,0.85,61.64
ACCA-097,C,22.5,0.85,579.07
ACCA-098,Nr,0.0,0.85,900.47
ACCA-099,C,0.0,0.95,816.69
ACCA-100,Kt,13.06,0.95,211.16
ACCA-101,fa,9999.0,0.95,22736.38
ACCA-102,Kt,4.92,0.95,43.05
ACCA-103,fa,6.69,0.95,47.54
ACCA-104,Or,12.95,1.05,83.28
ACCA-105,B,12.64,1.05,263.15
ACCA-106,Nd,5.34,1.05,70.03
ACCA-107,C,19.75,1.05,141.98
ACCA-108,B,0.0,0.0,102.45
ACCA-109,C,16.35,1.05,469.0
ACCA-110,C,12.25,1.05,333.24
ACCA-111,C,0.0,1.05,829.8
ACCA-112,fa,13.0,0.85,323.13
ACCA-113,C,19.62,0.85,108.17
ACCA-114,C,16.72,0.85,515.49
ACCA-115,C,0.0,0.0,321.24
ACCA-116,C,18.23,0.85,315.27
ACCA-117,pt,0.0,1.05,41.86
ACCA-118,fa,8.92,1.15,48.15
ACCA-119,fa,0.0,0.0,75.3
ACCA-120,fa,10.58,1.05,113.99
ACCA-121,B,10.62,1.15,98.39
ACCA-122,fa,10.43,1.05,22.65
ACCA-123,B,12.07,0.95,95.87
ACCA-124,C,0.0,0.0,121.52
ACCA-125,Or,17.0,0.85,228.31
ACCA-126,Or,16.22,0.85,81.08
ACCA-127,B1,16.0,1.05,254.49
ACCA-128,Or,15.0,0.85,134.67
ACCA-129, ,10.68,0.85,25.41
ACCA-130,B,10.25,0.85,81.2
ACCA-131,B1,12.5,0.95,186.8
ACCA-132,Bg,12.3,0.85,90.28
ACCA-133,B1,14.45,0.85,226.56
ACCA-134,A1,11.22,0.85,80.17
ACCA-135,B1,11.22,0.85,93.16
ACCA-136,B1,14.75,0.75,193.8
ACCA-137,Bg,15.05,0.75,313.2
ACCA-138,B1,13.59,0.85,147.32
ACCA-139,Bg,12.9,0.88,97.14
ACCA-140,B1,15.39,0.85,138.11
ACCA-141,fa,9.5,0.95,102.98
ACCA-142,B,7.55,0.95,72.4
ACCA-143,Ne,12.22,0.85,90.6
ACCA-144,B,0.0,0.0,57.6
ACCA-145,A1,10.52,0.95,78.59
ACCA-146,A1,14.46,0.85,140.49
ACCA-147,A1,0.0,0.0,54.4
ACCA-148,A1,13.62,0.95,51.51
ACCA-149,fa,13.26,0.75,57.53
ACCA-150,A,0.0,0.75,49.86
ACCA-151,A,0.0,0.0,49.49
ACCA-152,C,0.0,0.0,56.95
ACCA-153,C,7.62,0.75,108.44
ACCA-154,C,10.97,1.05,84.52
ACCA-155,Nd,4.12,0.7,9.22
ACCA-156,A,0.0,1.15,283.23
ACCA-157,C,13.79,0.75,334.5
ACCA-158,A1,10.5,1.05,61.97
ACCA-159,A1,0.0,1.15,58.42
ACCA-160,B1,0.0,0.0,51.02
ACCA-161,A,7.27,0.75,280.49
ACCA-162,A,6.38,1.15,47.41
ACCA-163,Knt,5.02,1.05,93.98
ACCA-164,B1,7.4,0.75,113.57
ACCA-165, ,12.7,0.75,74.9
ACCA-166,pt,9.5,1.15,99.16
ACCA-167,Knt,4.5,1.05,35.21
ACCA-168, ,0.0,0.85,45.65
ACCA-169,SM,0.0,0.75,431.31
ACCA-170,Knt,4.52,1.05,31.89
ACCA-171,Knt,0.0,1.05,306.7
ACCA-172,Knt,5.39,1.6,104.44
ACCA-173, ,8.98,1.15,30.31
ACCA-174, ,11.95,1.05,111.93
ACCA-175,SP,0.0,0.85,20.26
ACCA-176, ,9.98,1.45,45.46
ACCA-177,C,0.0,0.75,764.79
ACCA-178,SM,10.0,0.75,955.16
ACCA-179,Kt/pt,7.42,1.05,100.18
ACCA-180,Knt,4.95,1.05,19.44
ACCA-181,Knt,6.64,1.05,209.87
ACCA-182,SP,0.0,0.75,1992.93
ACCA-183,SU,15.0,1.0,1310.77
ACCA-184,Knt,15.37,1.05,163.0
ACCA-185,Bg,7.89,1.05,103.88
ACCA-186,A,12.24,0.95,62.07
ACCA-187,A1,12.7,0.95,71.42
ACCA-188,Nr,15.4,0.95,608.51
ACCA-189,A1,12.78,1.05,129.29
ACCA-190,SM,0.0,1.05,200.07
ACCA-191,C,9999.0,1.15,23369.08
ACCA-192,Or,13.09,0.75,322.01
ACCA-193,Or,15.27,0.75,389.99
ACCA-194,A,7.0,1.15,35.31
ACCA-195,Nr,9999.0,0.95,4568.16
ACCA~NO_BUILDING,,,,
