short_alias,list_of_addresses
BARN-001,none
BARN-002,"DD2632C, DD2632G"
BARN-003,DD2632B
BARN-004,DD2632A
BARN-005,"DD2632, DD2633"
BARN-006,"DD2632D, DD2632F"
BARN-007,DD2632H
BARN-008,"DD2631, DD2631A"
BARN-009,none
BARN-010,none
BARN-011,"DD2628, DD2629, DD2630"
BARN-012,DD2627D
BARN-013,"DD2623, DD2623A, DD2623B"
BARN-014,DD2627C
BARN-015,"DD2624, DD2625, DD2626, DD2626B"
BARN-016,"DD2626A, DD2626D, DD2627, DD2627A, DD2627B"
BARN-017,none
BARN-018,"DD2809, DD2887"
BARN-019,"DD2885, DD2886"
BARN-020,"DD2880, DD2881, DD2882, DD2883"
BARN-021,"DD2812, DD2813"
BARN-022,"DD2814, DD2815, DD2816, DD2817"
BARN-023,DD2818
BARN-024,none
BARN-025,"DD2819, DD2819A, DD2820"
BARN-026,DD2878A
BARN-027,none
BARN-028,none
BARN-029,"DD2874, DD2875, DD2876, DD2877"
BARN-030,none
BARN-031,none
BARN-032,"DD2821, DD2822, DD2823"
BARN-033,none
BARN-034,"DD2870, DD2870B, DD2871"
BARN-035,"DD2825, DD2826"
BARN-036,DD2870A
BARN-037,"DD2868, DD2869A"
BARN-038,none
BARN-039,"DD2866A, DD2866B, DD2867, DD2867A"
BARN-040,"DD2829, DD2830, DD2831, DD2832"
BARN-041,none
BARN-042,"DD2865, DD2866, DD2866C"
BARN-043,"DD2863, DD2864"
BARN-044,DD2833
BARN-045,none
BARN-046,none
BARN-047,DD2861
BARN-048,"DD2834A, DD2835, DD2835A"
BARN-049,none
BARN-050,"DD2858, DD2859, DD2860"
BARN-051,"DD2836, DD2837"
BARN-052,DD2838
BARN-053,"DD2855, DD2856, DD2857"
BARN-054,DD2847
BARN-055,DD2839
BARN-056,DD2846
BARN-057,none
BARN-058,"DD2845, DD2848, DD2849, DD2850, DD2853, DD2853A, DD2854"
BARN-059,"DD2840, DD2841, DD2842, DD2842A"
BARN-060,"DD2843, DD2844, DD2852"
BARN-061,"DD2714, DD2715"
BARN-062,"DD2712, DD2713"
BARN-063,DD2715B
BARN-064,"DD2709, DD2710, DD2711"
BARN-065,"DD2715A, DD2715C"
BARN-066,DD2715D
BARN-067,DD2716
BARN-068,DD2716B
BARN-069,"DD2717, DD2718"
BARN-070,DD2720A
BARN-071,"DD2721, DD2722"
BARN-072,"DD2719, DD2719A"
BARN-073,"DD2727A, DD2727B"
BARN-074,none
BARN-075,"DD2720, DD2724, DD2724A, DD2725, DD2725A, DD2725B, DD2726"
BARN-076,none
BARN-077,"DD2728, DD2729"
BARN-078,DD2731
BARN-079,none
BARN-080,"DD2733, DD2734, DD2735A, DD2736, DD2736A, DD2737, DD2738, DD2739, DD2740, DD2741"
BARN-081,"DD2744B, DD2746, DD2747, DD2747A, DD2748, DD2749"
BARN-082,"DD2743A, DD2744, DD2745, DD2746A"
BARN-083,"DD2742, DD2743, DD2750D"
BARN-084,"DD2751, DD2752, DD2753, DD2753A"
BARN-085,"DD2750, DD2750A, DD2750B"
BARN-086,none
BARN-087,"DD2754, DD2754A, DD2754B, DD2755, DD2755A"
BARN-088,none
BARN-089,"DD2756A, DD2756B, DD2757"
BARN-090,"DD2757A, DD2758, DD2759, DD2759A, DD2760"
BARN-091,"DD2761, DD2762"
BARN-092,none
BARN-093,DD2765
BARN-094,"DD2762A, DD2762B, DD2763, DD2767, DD2768, DD2768A"
BARN-095,"DD2769, DD2770, DD2771"
BARN-096,none
BARN-097,"DD2772, DD2772A, DD2773"
BARN-098,none
BARN-099,none
BARN-100,DD2774
BARN-101,"DD2775, DD2776, DD2777"
BARN-102,DD2806
BARN-103,"DD2807, DD2808"
BARN-104,none
BARN-105,none
BARN-106,none
BARN-107,none
BARN-108,none
BARN-109,none
BARN-110,"DD2804A, DD2805"
BARN-111,none
BARN-112,"DD2800B, DD2801, DD2802, DD2803, DD2804"
BARN-113,none
BARN-114,"DD2800, DD2800A"
BARN-115,none
BARN-116,none
BARN-117,"DD2799A, DD2799B"
BARN-118,none
BARN-119,DD2799
BARN-120,DD2798A
BARN-121,DD2798
BARN-122,"DD2796, DD2796A, DD2797"
BARN-123,"DD2793, DD2793A"
BARN-124,"DD2794, DD2795A"
BARN-125,"DD2778, DD2779, DD2780"
BARN-126,"DD2781, DD2782"
BARN-127,"DD2783A, DD2784"
BARN-128,"DD2785, DD2786"
BARN-129,none
BARN-130,"DD2788, DD2789"
BARN-131,DD2791
BARN-132,DD2792B
BARN-133,DD2635A
BARN-134,"DD2636B, DD2636C, DD2636D"
BARN-135,"DD2636E, DD2636F"
BARN-136,DD2645
BARN-137,none
BARN-138,DD2643A
BARN-139,"DD2634, DD2635, DD2647, DD2647A"
BARN-140,none
BARN-141,"DD2639, DD2640, DD2642A"
BARN-142,none
BARN-143,"DD2648, DD2648A, DD2648B"
BARN-144,"DD2649A, DD2649B, DD2649C"
BARN-145,"DD2638A, DD2650, DD2651"
BARN-146,DD2649
BARN-147,"DD2637, DD2652, DD2653, DD2654"
BARN-148,"DD2657, DD2658, DD2659, DD2660, DD2660A"
BARN-149,"DD2661A, DD2664"
BARN-150,"DD2655, DD2656"
BARN-151,none
BARN-152,none
BARN-153,"DD2671, DD2672, DD2673, DD2674"
BARN-154,"DD2675, DD2675A, DD2675B"
BARN-155,DD2675C
BARN-156,"DD2686, DD2687"
BARN-157,none
BARN-158,"DD2683A, DD2684"
BARN-159,"DD2676, DD2677, DD2678, DD2680, DD2681"
BARN-160,"DD2688, DD2688A, DD2688B"
BARN-161,DD2689A
BARN-162,"DD2695A, DD2696C"
BARN-163,"DD2690, DD2691, DD2692, DD2693B"
BARN-164,"DD2693, DD2693A, DD2694, DD2695"
BARN-165,"DD2700, DD2700A"
BARN-166,"DD2697, DD2698, DD2699"
BARN-167,DD2701
BARN-168,DD2702
BARN-169,DD2703
BARN-170,DD2704
BARN-171,"DD2705, DD2706"
BARN-172,"DD2707, DD2708A"
