short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
CARM-001,Kna,0.0,1.15,141.38
CARM-002,Ne,8.66,1.15,59.43
CARM-003,Nd,5.69,1.15,61.0
CARM-004,Or,11.5,1.15,282.21
CARM-005,A1,13.45,1.15,117.24
CARM-006,A1,16.0,1.15,165.22
CARM-007,B,13.5,1.15,99.09
CARM-008,Nr,9.56,1.15,150.17
CARM-009,A1,9.45,1.15,124.96
CARM-010,B,10.5,1.15,105.67
CARM-011,Bg,0.0,0.0,119.84
CARM-012,Bg,0.0,0.0,93.92
CARM-013,B,0.0,0.0,156.45
CARM-014,fa,0.0,1.15,315.3
CARM-015,C,11.64,1.05,68.77
CARM-016,fa,0.0,1.05,180.94
CARM-017,Ka,3.62,0.95,136.88
CARM-018,Ka,15.25,0.85,314.61
CARM-019,C,3.75,0.85,67.19
CARM-020, ,10.82,0.85,5.66
CARM-021, ,14.04,0.85,29.59
CARM-022,Ne,0.0,0.0,147.29
CARM-023, ,13.3,0.85,299.13
CARM-024, ,16.2,0.85,388.54
CARM-025, ,29.92,0.85,64.64
CARM-026, ,14.23,0.85,1548.77
CARM-027,SM,0.0,0.85,3.81
CARM-028,Nr,5.32,0.95,30.4
CARM-029,Nr,4.92,0.95,75.09
CARM-030,Nr,7.27,0.95,142.82
CARM-031,Nr,9.08,0.95,37.56
CARM-032,Nr,4.52,1.25,50.62
CARM-033,Nd,9999.0,1.15,26685.78
CARM-034,Nr,9999.0,1.15,26726.72
CARM-035,SU,11.15,0.85,156.32
CARM-036,A,0.0,0.0,17.84
CARM-037,A,8.5,0.85,48.89
CARM-038,Nd,9999.0,0.85,3121.53
CARM-039,B1,9999.0,0.85,3167.25
CARM-040, ,3.4,0.95,60.27
CARM-041, ,12.62,0.95,148.76
CARM-042,A1,0.0,0.0,46.0
CARM-043,A1,0.0,0.0,56.27
CARM-044,A1,0.0,0.0,66.18
CARM-045,A1,0.0,0.0,45.68
CARM-046,A1,6.73,0.85,61.16
CARM-047,fa,11.78,0.75,400.29
CARM-048,A1,7.0,0.75,67.37
CARM-049,A1,0.0,0.0,64.13
CARM-050,A1,0.0,0.0,64.7
CARM-051,A1,0.0,0.0,64.24
CARM-052,A1,0.0,0.0,60.37
CARM-053,A1,0.0,0.0,65.2
CARM-054,A1,0.0,0.0,84.66
CARM-055,Or,8.57,0.95,79.2
CARM-056,Nd,9999.0,0.75,25810.48
CARM-057,Nd,9999.0,0.75,281.18
CARM-058,Ka,9999.0,0.0,220.42
CARM-059,Ka,9999.0,0.0,151.22
CARM-060,A,6.24,1.05,44.3
CARM-061,fa,8.17,1.15,29.89
CARM-062,fa,10.18,1.15,121.85
CARM-063,fa,10.18,1.15,121.85
CARM-064,Knt,8.12,1.15,80.37
CARM-065,Knt,6.68,0.85,589.72
CARM-066,Knt,13.68,0.75,265.43
CARM-067,C,9999.0,1.05,25378.76
CARM-068,pt,14.2,1.05,293.81
CARM-069,SU,13.42,1.05,330.36
CARM-070,B,12.1,1.05,122.02
CARM-071,Or,12.24,1.05,177.56
CARM-072,Knt,7.0,1.05,83.34
CARM-073,Knt,4.53,1.09,55.75
CARM-074,B,12.6,1.05,437.16
CARM-075,Nd,0.0,1.15,21.4
CARM-076,C,16.2,1.05,263.89
CARM-077,C,16.4,1.05,127.55
CARM-078,Nr,16.2,1.15,132.37
CARM-079,C,16.3,1.05,443.11
CARM-080,Ne,15.46,1.05,539.87
CARM-081,Ne,15.0,1.05,492.58
CARM-082,Nr,17.6,1.05,370.49
CARM-083,Nr,4.48,1.05,43.33
CARM-084,C,15.45,1.05,749.53
CARM-085,O,0.0,0.85,519.94
CARM-086,Nr,19.2,0.85,799.41
CARM-087,Koa,9.4,0.85,142.52
CARM-088,Koa,11.94,0.85,273.25
CARM-089,O,9.62,0.85,92.63
CARM-090,O,0.0,0.0,30.8
CARM-091,O,0.0,0.0,31.45
CARM-092,O,8.87,0.85,43.99
CARM-093,Koa,16.52,0.85,329.8
CARM-094,Koa,0.0,0.85,87.04
CARM-095,Koa,0.0,0.0,242.77
CARM-096,Koa,0.0,0.0,721.86
CARM-097,Koa,6.9,0.85,433.16
CARM-098,Nr,0.0,0.72,23.51
CARM-099,Bg,11.85,0.85,78.42
CARM-100,Bg,0.0,0.0,94.82
CARM-101,Kot,5.78,0.85,170.22
CARM-102,pt,10.47,0.85,63.58
CARM-103,pt,8.4,0.85,56.87
CARM-104,pt,11.84,0.85,278.78
CARM-105,Bg,0.0,0.0,78.69
CARM-106,C,16.44,0.85,112.78
CARM-107,C,12.0,1.15,303.48
CARM-108,Nr,10.63,1.15,131.55
CARM-109,Kna,0.0,1.53,54.22
CARM-110,Kna,7.05,1.15,67.93
CARM-111,Nr,7.5,1.05,23.73
CARM-112,Nr,17.0,1.15,880.87
CARM-113,Kt,6.93,1.15,183.0
CARM-114,B,12.76,1.15,54.31
CARM-115,B,0.0,0.0,67.18
CARM-116,A,0.0,0.0,63.63
CARM-117,B,0.0,0.0,28.55
CARM-118,pt,10.26,1.25,86.97
CARM-119,pt,14.08,0.95,99.14
CARM-120,pt,0.0,0.0,106.8
CARM-121,B,8.75,0.95,132.94
CARM-122,Nr,6.6,0.95,53.5
CARM-123,Knt,5.0,0.95,29.55
CARM-124,Knt,7.0,0.95,63.97
CARM-125,B1,5.4,0.95,91.55
CARM-126,B1,8.62,0.95,115.89
CARM-127,Ne,9.28,0.95,171.52
CARM-128,B1,10.0,0.95,86.39
CARM-129,B,9.0,1.23,33.28
CARM-130,B,9.3,0.95,102.29
CARM-131,Or,6.62,1.05,42.52
CARM-132,Or,13.08,1.05,71.01
CARM-133,pt,9.72,1.05,136.76
CARM-134,Knt,12.53,1.05,209.38
CARM-135,Knt,9999.0,1.05,25472.86
CARM-136,Knt,6.75,0.75,43.59
CARM-137,D,4.0,1.1,62.11
CARM-138,D,9999.0,0.75,25627.62
